RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.20,607.85,-475.40,604.54
2,0,01810,Phil Mickelson,8.54,375.85,-335.82,367.29
3,0,06527,Steve Stricker,6.89,310.02,-197.67,333.56
4,0,20396,Lee Westwood,6.76,351.73,-203.36,299.54
5,0,20766,Padraig Harrington,5.75,304.76,-264.69,215.02
6,0,10809,Jim Furyk,5.70,285.03,-190.74,265.05
7,0,25364,Paul Casey,5.55,244.05,-161.89,282.86
8,0,21528,Henrik Stenson,5.54,260.48,-216.84,234.25
9,0,28237,Rory McIlroy,4.97,283.19,-102.90,283.06
10,0,01945,Kenny Perry,4.91,255.30,-190.18,247.21
11,0,21209,Sergio Garcia,4.88,253.77,-290.52,122.94
12,0,24138,Ian Poulter,4.75,242.13,-151.37,226.68
13,0,27408,Martin Kaymer,4.64,241.34,-155.73,225.58
14,0,22046,Geoff Ogilvy,4.63,231.40,-210.03,228.29
15,0,20229,Stewart Cink,4.38,205.74,-175.55,192.59
16,0,24140,Sean O'Hair,4.36,218.22,-137.76,241.54
17,0,06522,Ernie Els,4.27,226.10,-221.08,189.91
18,0,27896,Ross Fisher,4.14,211.36,-128.22,188.34
19,0,20157,Retief Goosen,4.06,235.53,-135.32,239.10
20,0,25900,Lucas Glover,3.95,209.52,-78.96,234.68
21,0,10885,Robert Allenby,3.95,237.01,-145.90,196.20
22,0,24024,Zach Johnson,3.75,194.84,-133.57,214.36
23,0,27770,Camilo Villegas,3.66,190.37,-182.40,128.01
24,0,29718,Anthony Kim,3.65,190.01,-174.74,137.91
25,0,20848,Ángel Cabrera,3.60,179.92,-141.04,195.39
26,0,06567,Vijay Singh,3.50,161.14,-271.79,67.42
27,0,19970,Robert Karlsson,3.29,138.35,-186.48,55.22
28,0,23983,Luke Donald,3.22,135.04,-119.53,139.23
29,0,24781,Hunter Mahan,3.18,168.56,-130.96,165.09
30,0,30852,Ryo Ishikawa,3.10,167.36,-48.67,133.13
31,0,24663,Y.E. Yang,3.07,181.15,-40.41,203.03
32,0,27095,Nick Watney,3.02,163.01,-81.81,197.43
33,0,26908,Yuta Ikeda,2.91,116.43,-15.58,114.15
34,0,24502,Adam Scott,2.86,134.49,-155.24,118.58
35,0,22986,Søren Kjeldsen,2.80,151.42,-109.14,128.67
36,0,10423,Mike Weir,2.78,141.58,-144.71,115.48
37,0,23135,Tim Clark,2.74,153.53,-128.15,126.11
38,0,25572,Graeme McDowell,2.66,146.25,-121.26,109.63
39,0,27506,Oliver Wilson,2.64,137.52,-109.51,108.14
40,0,25198,Francesco Molinari,2.64,147.79,-72.67,128.93
41,0,02206,David Toms,2.64,123.91,-73.63,142.26
42,0,10860,Justin Leonard,2.51,130.72,-151.55,107.09
43,0,24512,Simon Dyson,2.47,145.96,-69.20,139.85
44,0,19846,Brian Gay,2.46,147.57,-92.62,155.39
45,0,26882,Michael Sim,2.45,98.03,-32.98,107.94
46,0,20859,Anders Hansen,2.43,119.09,-84.14,127.03
47,0,19958,Miguel Angel Jiménez,2.43,135.91,-147.41,102.60
48,0,23624,Soren Hansen,2.41,127.55,-110.25,112.05
49,0,22621,Ben Curtis,2.37,104.06,-106.72,63.99
50,0,27072,Alvaro Quiros,2.32,127.69,-71.95,127.02
51,0,26596,Ryan Moore,2.31,120.21,-58.67,121.89
52,0,30925,Dustin Johnson,2.29,126.09,-58.07,139.31
53,0,22792,Peter Hanson,2.27,120.14,-93.22,91.63
54,0,27349,Alex Noren,2.26,110.74,-62.38,93.89
55,0,23814,Edoardo Molinari,2.24,109.66,-14.91,115.30
56,0,06004,Stephen Ames,2.22,104.16,-109.14,86.22
57,0,20218,Shingo Katayama,2.21,121.50,-118.87,83.52
58,0,20686,Jeev Milkha Singh,2.20,144.92,-144.20,85.20
59,0,24511,Thongchai Jaidee,2.19,129.10,-78.00,116.43
60,0,02239,Scott Verplank,2.16,105.81,-89.63,99.15
61,0,12510,Chad Campbell,2.15,116.02,-98.10,104.55
62,0,23108,Matt Kuchar,2.14,111.09,-57.59,104.53
63,0,25191,Gonzalo Fernandez-Castaño,2.13,112.64,-83.57,104.54
64,0,21284,Hiroyuki Fujita,2.10,102.66,-61.40,88.44
65,0,26331,Charl Schwartzel,2.09,116.89,-86.93,96.50
66,0,23621,Rory Sabbatini,2.07,113.96,-151.42,116.29
67,0,30004,Ross McGowan,2.05,110.61,-49.21,106.76
68,0,25686,Jason Dufner,2.05,102.39,-21.88,112.42
69,0,25396,Kevin Na,2.03,111.88,-61.80,131.38
70,0,22405,Justin Rose,2.03,105.45,-159.60,100.39
71,0,22293,Heath Slocum,1.94,114.50,-70.92,103.72
72,0,22000,Chris Wood,1.87,74.93,-27.52,65.93
73,0,27119,Koumei Oda,1.86,93.15,-42.01,78.94
74,0,20940,Kenichi Kuboya,1.86,91.07,-33.10,75.47
75,0,20645,John Senden,1.86,117.03,-83.38,114.82
76,0,23725,Brendan Jones,1.84,79.00,-79.38,56.88
77,0,20574,Mathew Goggin,1.84,106.55,-90.67,71.71
78,0,22034,Yasuharu Imano,1.83,73.11,-28.51,57.77
79,0,01706,Davis Love III,1.81,90.50,-63.12,80.42
80,0,08075,Jerry Kelly,1.77,102.69,-86.19,103.36
81,0,06595,Kevin Sutherland,1.72,91.40,-88.91,65.07
82,0,22540,Anthony Wall,1.72,94.65,-66.96,81.76
83,0,24748,WC Liang,1.71,82.25,-55.52,62.26
84,0,20669,James Kingston,1.70,90.11,-78.70,68.53
85,0,28158,Steve Marino,1.69,110.08,-79.00,102.35
86,0,24357,K.J. Choi,1.68,82.13,-179.20,62.84
87,0,22913,John Rollins,1.66,91.33,-65.12,100.45
88,0,26525,Grégory Bourdy,1.64,90.39,-54.87,77.10
89,0,24361,Pat Perez,1.61,80.41,-88.05,80.38
90,0,26329,Louis Oosthuizen,1.59,82.93,-77.18,98.68
91,0,24080,Scott Strange,1.59,85.62,-61.37,73.04
92,0,20572,Rod Pampling,1.57,98.89,-101.44,70.60
93,0,24459,Richard Sterne,1.54,74.14,-86.92,32.88
94,0,22080,Prayad Marksaeng,1.54,98.49,-108.34,62.71
95,0,27649,Brandt Snedeker,1.54,83.10,-103.72,67.92
96,0,25804,Bubba Watson,1.52,80.66,-68.15,79.25
97,0,20624,David Smail,1.52,75.94,-65.53,61.54
98,0,06643,Paul Goydos,1.52,78.81,-55.51,67.39
99,0,23541,Ben Crane,1.51,78.59,-57.41,78.81
100,0,27784,Wen-Tang Lin,1.51,60.40,-58.69,25.29
101,0,20098,Stuart Appleby,1.51,84.51,-117.84,53.09
102,0,21878,Mark Wilson,1.50,85.78,-66.56,83.01
103,0,26851,Marc Leishman,1.50,89.78,-27.11,82.56
104,0,22032,Tomohiro Kondo,1.49,70.04,-45.53,60.16
105,0,01226,Fred Couples,1.48,59.04,-42.85,62.58
106,0,25562,Andres Romero,1.47,70.68,-125.31,46.96
107,0,12662,Thomas Levet,1.47,74.92,-49.98,75.11
108,0,27936,Martin Laird,1.47,82.20,-30.09,72.08
109,0,23800,Bryce Molder,1.45,77.07,-23.06,75.87
110,0,24236,Nick Dougherty,1.45,75.54,-83.07,72.00
111,0,22951,Azuma Yano,1.45,76.95,-56.42,41.00
112,0,19825,Darren Clarke,1.44,80.46,-75.82,51.63
113,0,28258,K.T. Kim,1.42,68.34,-21.34,61.89
114,0,27060,John Mallinger,1.41,78.99,-60.12,80.15
115,0,26289,Boo Weekley,1.41,67.60,-112.87,52.95
116,0,25398,Ryuichi Oda,1.38,66.21,-10.49,66.54
117,0,21731,Freddie Jacobson,1.38,67.38,-70.35,52.43
118,0,24507,Jason Bohn,1.37,54.93,-35.69,51.74
119,0,27141,J.B. Holmes,1.36,69.21,-89.57,67.88
120,0,02256,Tom Watson,1.35,54.13,-6.07,60.00
121,0,12716,Charley Hoffman,1.35,77.12,-58.62,91.10
122,0,22378,Trevor Immelman,1.35,58.17,-140.38,18.31
123,0,22348,Nick O'Hern,1.35,75.44,-74.08,66.76
124,0,27088,Johan Edfors,1.35,72.74,-54.47,73.15
125,0,20569,Richard Green,1.34,62.91,-72.58,44.32
126,0,07867,Woody Austin,1.34,72.11,-109.81,58.54
127,0,31141,Gareth Maybin,1.34,66.75,-39.39,44.56
128,0,20394,Steve Webster,1.33,65.14,-61.83,58.95
129,0,26499,Rafa Cabrera Bello,1.33,76.85,-32.21,67.76
130,0,19991,Peter Hedblom,1.32,69.75,-57.47,50.07
131,0,12680,Shigeki Maruyama,1.29,69.83,-35.86,62.06
132,0,23452,Nicolas Colsaerts,1.28,51.15,-4.08,54.33
133,0,20832,Raphael Jacquelin,1.27,72.37,-45.51,73.64
134,0,24490,George McNeill,1.26,70.34,-59.81,62.84
135,0,33204,Shane Lowry,1.25,50.13,-7.91,58.04
136,0,27118,Toshinori Muto,1.25,57.34,-36.45,33.77
137,0,22371,Aaron Baddeley,1.23,60.48,-120.31,50.33
138,0,32139,Danny Willett,1.21,48.44,-14.20,54.32
139,0,21961,Charles Howell III,1.21,72.61,-70.66,77.32
140,0,28089,Jason Day,1.21,55.56,-40.30,58.41
141,0,24461,Thomas Aiken,1.19,61.88,-25.20,67.41
142,0,30924,Rhys Davies,1.19,65.42,-17.39,61.35
143,0,20160,Charlie Wi,1.19,66.57,-65.85,55.54
144,0,29926,Danny Lee,1.18,47.34,-19.21,58.31
145,0,24925,Jonathan Byrd,1.18,61.50,-56.78,64.63
146,0,20593,Greg Chalmers,1.18,69.74,-46.84,64.45
147,0,23969,Graeme Storm,1.18,63.59,-57.51,57.76
148,0,29221,Webb Simpson,1.17,51.67,-22.30,52.09
149,0,26539,Robert Rock,1.17,59.55,-32.89,53.45
150,0,27933,John Merrick,1.16,65.13,-58.86,65.40
151,0,21470,Daisuke Maruyama,1.15,64.65,-28.73,53.50
152,0,21498,Hideto Tanihara,1.15,57.46,-64.88,34.02
153,0,21691,Robert-Jan Derksen,1.14,59.19,-53.37,52.36
154,0,28259,Sangmoon Bae,1.14,45.44,-27.34,36.78
155,0,23623,Bo Van Pelt,1.13,69.92,-47.05,72.28
156,0,21998,Peter Lawrie,1.13,63.02,-47.85,54.53
157,0,21753,Brian Davis,1.12,75.35,-56.64,75.09
158,0,20935,Toru Taniguchi,1.12,50.39,-70.51,40.89
159,0,20772,Toru Suzuki,1.12,51.44,-16.13,46.20
160,0,22075,Ricardo Gonzalez,1.12,53.54,-28.30,46.08
161,0,22983,Bradley Dredge,1.11,55.29,-46.26,51.60
162,0,24179,David Drysdale,1.10,66.09,-24.12,69.88
163,0,25369,Jamie Donaldson,1.09,56.81,-34.88,51.84
164,0,21350,Ryuji Imada,1.09,57.82,-97.24,40.24
165,0,24503,Jeff Klauk,1.09,60.87,-41.89,58.98
166,0,12714,Chris Tidland,1.08,45.46,-20.63,42.66
167,0,28697,Gaganjeet Bhullar,1.07,42.83,-11.90,45.92
168,0,23580,Tetsuji Hiratsuka,1.07,57.78,-28.10,61.14
169,0,23788,D.J. Trahan,1.06,61.50,-87.67,46.85
170,0,29910,Blake Adams,1.06,42.30,-7.23,44.73
170,0,01948,Tim Petrovic,1.06,66.61,-38.79,63.06
172,0,22793,Christian Nilsson,1.05,41.90,-16.33,38.15
173,0,20601,Gary Orr,1.05,42.92,-29.50,35.08
174,0,25720,Chad Collins,1.04,51.01,-12.80,50.18
175,0,25818,Scott Piercy,1.04,50.98,-32.17,47.01
176,0,26301,James Nitties,1.03,41.14,-15.78,51.40
177,0,20566,Kaname Yokoo,1.02,51.23,-27.28,41.53
178,0,20498,Briny Baird,1.02,59.36,-72.25,50.68
179,0,07749,Brett Quigley,1.02,55.03,-43.62,58.48
180,0,21590,Damian McGrane,1.01,61.53,-54.30,54.09
181,0,20598,Christian Cévaër,1.00,51.19,-30.95,52.81
182,0,27120,Troy Matteson,1.00,59.94,-45.14,52.48
183,0,24034,Kazuhiro Yamashita,.99,46.72,-7.98,43.50
184,0,28475,Jeff Overton,.99,59.16,-40.39,57.36
185,0,25240,D.A. Points,.98,56.03,-34.97,53.47
186,0,22056,Cameron Percy,.98,48.05,-13.11,48.35
187,0,08725,Tom Gillis,.95,37.88,-10.54,37.83
188,0,27330,Josh Teater,.95,37.85,-1.68,39.53
189,0,27687,Masaya Tomida,.93,43.88,-20.27,40.84
190,0,20070,Matt Bettencourt,.93,57.88,-33.24,41.53
191,0,01797,Rocco Mediate,.93,45.68,-66.63,24.14
192,0,28155,Jose-Filipe Lima,.93,46.55,-18.19,43.35
193,0,10585,Scott McCarron,.93,45.61,-25.52,41.54
194,0,24846,Ricky Barnes,.93,46.38,-20.40,45.93
195,0,09011,David Duval,.92,38.84,-8.76,43.33
196,0,31577,Tano Goya,.92,46.78,-31.72,41.61
197,0,20213,Katsumasa Miyamoto,.92,44.88,-34.91,32.88
198,0,24924,Bill Haas,.91,54.81,-41.53,52.47
199,0,01320,Bob Estes,.91,46.48,-35.39,47.71
200,0,19904,Paul Lawrie,.90,46.83,-42.07,31.92
201,0,06575,Dudley Hart,.90,35.94,-57.96,6.67
202,0,20585,Niclas Fasth,.89,49.62,-73.65,48.69
203,0,20473,Ignacio Garrido,.88,50.36,-31.21,44.28
204,0,27214,Kevin Streelman,.88,53.53,-38.15,40.80
205,0,25345,Carl Pettersson,.87,50.61,-93.17,21.86
206,0,23718,Nathan Green,.87,57.39,-57.46,53.35
207,0,07457,Steve Flesch,.87,49.43,-77.18,38.05
208,0,28143,Chapchai Nirat,.85,52.91,-46.13,48.12
209,0,27898,Oskar Henningsson,.85,34.00,-5.73,33.56
210,0,27797,Derek Lamely,.85,33.99,-2.11,36.10
211,0,06197,Michael Allen,.85,42.29,-37.37,32.15
212,0,27436,Graham DeLaet,.84,33.72,-15.96,37.23
213,0,22110,Thaworn Wiratchant,.84,42.59,-43.69,23.09
214,0,21099,David Lynn,.83,45.79,-42.94,26.68
215,0,20472,Alex Cejka,.83,47.42,-42.02,44.94
216,0,22117,Jyoti Randhawa,.83,45.65,-58.72,46.36
217,0,12461,Paul McGinley,.83,42.26,-55.29,24.13
218,0,25190,Jeff Quinney,.82,44.49,-74.33,29.44
219,0,20773,Taichi Teshima,.82,36.91,-39.15,20.85
220,0,20436,Garrett Willis,.81,34.08,-13.92,37.33
221,0,24083,Marcus Fraser,.81,39.56,-31.82,31.38
222,0,25335,Marcus Both,.80,37.57,-7.51,35.49
223,0,20596,Michael Jonzon,.80,42.26,-21.55,35.38
224,0,27124,Chris Baryla,.80,31.82,-4.01,32.86
225,0,26695,Michael Letzig,.79,45.72,-43.52,40.02
226,0,24162,Shintaro Kai,.79,40.94,-39.10,14.20
227,0,30909,David Horsey,.78,44.63,-39.78,32.54
228,0,01035,Tommy Armour III,.78,34.41,-46.32,25.10
229,0,20104,Ken Duke,.78,48.43,-76.01,18.88
230,0,24912,Will MacKenzie,.78,35.67,-33.93,29.00
231,0,26420,Richard Johnson,.77,38.61,-27.06,35.68
