RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,24502,Adam Scott,1.609,.472,1.164,-.027,52
2,0,06567,Vijay Singh,1.494,.369,.979,.145,57
3,0,06527,Steve Stricker,1.383,.191,.773,.419,56
4,0,10809,Jim Furyk,1.159,.150,.641,.367,60
5,0,01810,Phil Mickelson,1.151,.185,.738,.228,57
6,0,23623,Bo Van Pelt,1.091,.724,.260,.107,87
7,0,27770,Camilo Villegas,1.087,.210,.755,.122,56
8,0,10885,Robert Allenby,1.014,.403,.642,-.031,61
9,0,06522,Ernie Els,.992,.215,.735,.043,55
10,0,24924,Bill Haas,.985,.464,.515,.005,75
11,0,23788,D.J. Trahan,.963,.692,.450,-.179,82
12,0,22405,Justin Rose,.952,.338,.168,.447,70
13,0,28237,Rory McIlroy,.944,.698,.271,-.025,40
14,0,24357,K.J. Choi,.927,.151,.507,.269,61
15,0,20157,Retief Goosen,.917,.337,.185,.395,53
16,0,12716,Charley Hoffman,.889,.638,.317,-.065,77
17,0,30925,Dustin Johnson,.869,.760,.288,-.179,63
18,0,27141,J.B. Holmes,.868,.729,.026,.113,88
19,0,22293,Heath Slocum,.837,.156,.546,.134,73
20,0,23108,Matt Kuchar,.827,.158,.336,.334,75
21,0,27095,Nick Watney,.806,.593,.517,-.304,69
22,0,20766,Padraig Harrington,.799,-.104,.524,.379,44
23,0,06621,Joe Durant,.775,.597,.296,-.118,57
24,0,25804,Bubba Watson,.770,.798,.140,-.168,67
25,0,23638,Brendon de Jonge,.757,.160,.721,-.125,91
26,0,28089,Jason Day,.752,.254,.054,.444,71
26,0,27436,Graham DeLaet,.752,.678,.111,-.038,76
28,0,12510,Chad Campbell,.750,.102,.606,.042,81
29,0,20645,John Senden,.749,.372,.455,-.078,87
30,0,22913,John Rollins,.710,.560,-.074,.224,75
31,0,24140,Sean O'Hair,.697,.431,.198,.068,65
32,0,01706,Davis Love III,.680,.297,.364,.019,66
33,0,32102,Rickie Fowler,.665,.408,.395,-.138,83
34,0,08075,Jerry Kelly,.658,.051,.246,.361,82
35,0,01945,Kenny Perry,.645,.605,.151,-.111,56
36,0,24912,Will MacKenzie,.644,.363,.177,.103,68
37,0,20229,Stewart Cink,.628,.431,.309,-.111,65
38,0,23983,Luke Donald,.619,-.506,.661,.464,53
39,0,25686,Jason Dufner,.606,.435,.176,-.006,69
40,0,24781,Hunter Mahan,.596,.642,.069,-.115,67
41,0,23541,Ben Crane,.594,.169,.379,.046,66
42,0,25364,Paul Casey,.587,.215,.483,-.111,44
43,0,24846,Ricky Barnes,.580,-.244,.675,.149,83
44,0,23135,Tim Clark,.564,-.025,.591,-.003,68
45,0,26851,Marc Leishman,.563,.074,.417,.072,72
46,0,06595,Kevin Sutherland,.558,.201,.054,.303,78
46,0,26289,Boo Weekley,.558,.662,.058,-.162,74
