RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,33448,Justin Thomas,457,WGC-Mexico,3,10,240
2,0,25804,Bubba Watson,455,U.S. Open,2,2,666
3,0,36699,Patrick Rodgers,428,Safeway Open,4,13,552
4,0,51766,Wyndham Clark,424,Safeway Open,4,13,552
4,0,46442,Maverick McNealy,424,Safeway Open,4,13,552
6,0,34310,Alexander Björk,423,WGC-Mexico,3,10,240
7,0,46970,Jon Rahm,421,Sentry,2,17,656
8,0,27349,Alex Noren,418,WGC-Mexico,1,10,240
9,0,35506,Mackenzie Hughes,415,Safeway Open,4,13,552
9,0,40042,Tyler McCumber,415,Safeway Open,4,13,552
11,0,39977,Max Homa,413,Safeway Open,4,13,552
12,0,36689,Brooks Koepka,412,WGC-Mexico,2,10,240
12,0,35104,Tom Lewis,412,WGC-Mexico,1,12,240
14,0,25364,Paul Casey,411,WGC-Mexico,3,4,240
14,0,30911,Tommy Fleetwood,411,WGC-Mexico,3,10,240
14,0,29970,Dylan Frittelli,411,Safeway Open,4,13,552
17,0,28237,Rory McIlroy,410,WGC-Mexico,4,11,240
18,0,52372,Cameron Champ,409,Sentry,2,12,656
18,0,27141,J.B. Holmes,409,Safeway Open,4,13,552
18,0,31323,Gary Woodland,409,Sentry,2,17,656
21,0,47856,Seth Reeves,406,Safeway Open,4,13,552
21,0,29221,Webb Simpson,406,Sentry,2,17,656
21,0,49964,Aaron Wise,406,Sentry,4,6,656
24,0,33968,Thorbjørn Olesen,405,WGC-Mexico,2,11,240
24,0,48081,Xander Schauffele,405,Sentry,3,17,656
26,0,30925,Dustin Johnson,404,WGC-Mexico,4,11,240
26,0,26851,Marc Leishman,404,Sentry,3,17,656
28,0,33141,Keegan Bradley,403,WGC-Mexico,1,11,240
28,0,32333,Kevin Tway,403,Sentry,3,17,656
30,0,29725,Tony Finau,402,WGC-Mexico,1,12,240
30,0,35617,Martin Trainer,402,Safeway Open,4,13,552
32,0,45157,Cam Davis,401,Safeway Open,4,13,552
32,0,27556,Ted Potter Jr.,401,Sentry,4,17,656
34,0,26499,Rafa Cabrera Bello,400,WGC-Mexico,1,11,240
34,0,35891,Cameron Smith,400,WGC-Mexico,2,10,240
36,0,36852,Jim Knous,399,Safeway Open,4,13,552
36,0,24964,Ryan Vermeer,399,Valspar,1,10,665
38,0,27129,Luke List,398,Safeway Open,4,16,552
38,0,34360,Patrick Reed,398,WGC-Mexico,4,11,240
40,0,01810,Phil Mickelson,397,Safeway Open,4,9,552
41,0,24924,Bill Haas,396,Safeway Open,4,13,552
41,0,25198,Francesco Molinari,396,Sentry,1,17,656
41,0,25562,Andres Romero,396,John Deere,1,2,669
44,0,21209,Sergio Garcia,395,WGC-Mexico,1,2,240
45,0,35450,Patrick Cantlay,394,WGC-Mexico,3,12,240
45,0,24138,Ian Poulter,394,Sentry,2,17,656
47,0,33948,Byeong Hun An,393,WGC-Mexico,2,5,240
48,0,32839,Hideki Matsuyama,392,Phoenix Open,1,13,510
49,0,32640,Troy Merritt,391,Sentry,3,6,656
49,0,29518,Brendan Steele,391,Safeway Open,4,13,552
49,0,27963,Chris Stroud,391,Pebble Beach,4,10,005
