RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,01381,Fred Funk,81.84,1167,1426,-0.18
2,0,02239,Scott Verplank,78.89,852,1080,-0.18
3,0,10809,Jim Furyk,78.18,781,999,-0.18
4,0,22293,Heath Slocum,78.07,851,1090,-0.11
5,0,08931,Glen Day,77.25,1049,1358,-0.13
6,0,01014,Fulton Allem,77.21,647,838,-0.04
7,0,08545,Glen Hnatiuk,77.15,969,1256,-0.18
8,0,01139,Olin Browne,77.13,1052,1364,-0.15
9,0,01968,Nick Price,76.79,559,728,-0.21
10,0,06621,Joe Durant,76.66,772,1007,-0.15
11,0,02214,Kirk Triplett,76.22,689,904,-0.18
12,0,01797,Rocco Mediate,76.01,605,796,-0.25
13,0,01219,John Cook,75.67,765,1011,-0.17
14,0,01142,Bart Bryant,75.56,671,888,-0.18
15,0,06643,Paul Goydos,75.54,624,826,-0.14
16,0,01724,Jeff Maggert,75.23,747,993,-0.10
17,0,07721,Pat Bates,74.98,917,1223,-0.14
18,0,01928,Corey Pavin,74.97,689,919,-0.14
19,0,20548,Hidemichi Tanaka,74.80,941,1258,-0.15
20,0,23135,Tim Clark,74.60,652,874,-0.19
21,0,20029,Notah Begay III,74.58,751,1007,-0.14
21,0,01157,Tom Byrum,74.58,716,960,-0.11
23,0,10860,Justin Leonard,74.30,792,1066,-0.24
24,0,06498,Matt Peterson,74.17,804,1084,-0.13
25,0,01766,Billy Mayfair,74.04,827,1117,-0.14
26,0,02010,Loren Roberts,73.52,872,1186,-0.19
27,0,01475,Donnie Hammond,73.23,547,747,-0.19
28,0,23108,Matt Kuchar,73.10,693,948,-0.17
29,0,19972,José Coceres,73.08,399,546,-0.11
30,0,08553,Lee Porter,73.06,830,1136,-0.10
31,0,06315,Pete Jordan,72.79,749,1029,-0.07
32,0,01771,Blaine McCallister,72.68,697,959,-0.11
33,0,01307,Joel Edwards,72.50,944,1302,-0.19
34,0,23338,David Gossett,72.49,888,1225,-0.14
35,0,22913,John Rollins,72.44,1133,1564,-0.19
36,0,12510,Chad Campbell,72.32,1011,1398,-0.19
36,0,23983,Luke Donald,72.32,959,1326,-0.17
38,0,02170,Hal Sutton,72.19,636,881,-0.10
39,0,19881,Robert Damron,72.00,823,1143,-0.14
40,0,10885,Robert Allenby,71.98,799,1110,-0.19
41,0,10962,Bradley Hughes,71.95,554,770,-0.10
42,0,01569,Peter Jacobsen,71.94,628,873,-0.15
43,0,02002,John Riegger,71.91,804,1118,-0.18
44,0,01175,Jim Carter,71.72,842,1174,-0.12
45,0,12826,Paul Claxton,71.67,774,1080,-0.14
46,0,10457,Frank Nobilo,71.65,905,1263,-0.15
47,0,20498,Briny Baird,71.63,1040,1452,-0.13
48,0,08633,Per-Ulrik Johansson,71.45,826,1156,-0.18
49,0,01388,Robert Gamez,71.35,625,876,-0.17
50,0,01320,Bob Estes,71.15,730,1026,-0.18
51,0,01920,Craig Parry,71.08,607,854,-0.19
51,0,06078,Esteban Toledo,71.08,934,1314,-0.13
53,0,01527,Scott Hoch,71.06,577,812,-0.17
54,0,06809,Bob Burns,70.99,903,1272,-0.13
55,0,19846,Brian Gay,70.88,1032,1456,-0.17
56,0,02133,Craig Stadler,70.82,551,778,-0.17
57,0,01619,Skip Kendall,70.80,936,1322,-0.19
58,0,08075,Jerry Kelly,70.73,829,1172,-0.23
59,0,02206,David Toms,70.65,852,1206,-0.29
60,0,20127,Chris Riley,70.64,835,1182,-0.23
61,0,01132,Mark Brooks,70.42,795,1129,-0.13
62,0,10425,Jay Williamson,70.15,839,1196,-0.16
63,0,20157,Retief Goosen,70.04,395,564,-0.24
64,0,12652,Cameron Beckman,70.00,749,1070,-0.19
65,0,20436,Garrett Willis,69.99,751,1073,-0.12
66,0,08123,Jeff Brehaut,69.96,785,1122,-0.17
67,0,21961,Charles Howell III,69.85,915,1310,-0.21
68,0,01761,Len Mattiace,69.80,899,1288,-0.20
69,0,19958,Miguel Angel Jiménez,69.77,434,622,-0.11
70,0,01361,Dan Forsman,69.63,745,1070,-0.19
71,0,06016,Brad Lardon,69.59,515,740,-0.06
72,0,01707,Steve Lowery,69.57,775,1114,-0.16
73,0,01945,Kenny Perry,69.53,826,1188,-0.23
74,0,11032,Frank Lickliter II,69.48,742,1068,-0.18
75,0,01553,John Huston,69.44,852,1227,-0.22
76,0,01599,Steve Jones,69.42,579,834,-0.11
77,0,23353,J.J. Henry,69.32,983,1418,-0.17
78,0,12753,David Morland IV,69.29,501,723,-0.16
79,0,02106,Chris Smith,69.27,850,1227,-0.16
80,0,01938,David Peoples,69.25,973,1405,-0.21
81,0,01577,Lee Janzen,69.24,772,1115,-0.21
82,0,01098,Jay Don Blake,69.20,955,1380,-0.16
