RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,27129,Luke List,34.47,81,235,-84,-13.00
2,0,46550,Brandon Hagy,32.68,50,153,-54,-1.00
3,0,29518,Brendan Steele,32.10,52,162,-51,-2.00
4,0,34099,Harris English,31.67,38,120,-35,+13.00
5,0,27095,Nick Watney,31.13,33,106,-35,-4.00
6,0,46501,Ollie Schniederjans,30.91,51,165,-52,-6.00
7,0,20157,Retief Goosen,30.77,24,78,-24,+8.00
8,0,27436,Graham DeLaet,30.41,45,148,-51,-2.00
9,0,31416,Derek Fathauer,30.30,30,99,-30,-6.00
10,0,30944,Jason Kokrak,29.61,61,206,-55,+15.00
11,0,27770,Camilo Villegas,29.41,25,85,-23,-11.00
11,0,26289,Boo Weekley,29.41,35,119,-33,-7.00
13,0,29725,Tony Finau,29.39,77,262,-84,+10.00
14,0,33120,Mark Anderson,29.03,18,62,-18,-6.00
14,0,23497,Tag Ridings,29.03,27,93,-25,+10.00
16,0,28093,Miguel Angel Carballo,28.77,21,73,-29,+10.00
17,0,34264,Hudson Swafford,28.57,44,154,-43,-10.00
18,0,25804,Bubba Watson,28.36,38,134,-40,-1.00
19,0,26596,Ryan Moore,28.33,34,120,-35,-19.00
20,0,36801,Mark Hubbard,28.18,31,110,-34,+4.00
21,0,39324,J.J. Spaun,28.13,36,128,-39,+3.00
22,0,35300,Andrew Loupe,28.00,28,100,-34,+20.00
23,0,27141,J.B. Holmes,27.97,40,143,-43,-7.00
24,0,26758,David Hearn,27.78,25,90,-25,-16.00
25,0,29221,Webb Simpson,27.74,38,137,-42,-4.00
26,0,10809,Jim Furyk,27.66,13,47,-14,-12.00
27,0,23621,Rory Sabbatini,27.45,28,102,-30,-8.00
28,0,30925,Dustin Johnson,27.27,42,154,-45,-15.00
28,0,33204,Shane Lowry,27.27,24,88,-25,+3.00
30,0,37189,Harold Varner III,27.17,47,173,-44,-5.00
31,0,01810,Phil Mickelson,27.01,37,137,-40,-22.00
32,0,22046,Geoff Ogilvy,27.00,27,100,-27,-3.00
33,0,12716,Charley Hoffman,26.92,63,234,-61,-13.00
33,0,32150,Michael Thompson,26.92,14,52,-17,-2.00
35,0,46970,Jon Rahm,26.63,45,169,-44,-16.00
36,0,29740,Brad Fritsch,26.56,17,64,-17,-6.00
36,0,22405,Justin Rose,26.56,34,128,-36,-2.00
38,0,47128,Richy Werenski,26.47,27,102,-30,-5.00
39,0,25900,Lucas Glover,26.34,49,186,-51,-5.00
40,0,24358,Robert Garrigus,26.32,35,133,-32,-6.00
40,0,25818,Scott Piercy,26.32,25,95,-27,-3.00
42,0,31323,Gary Woodland,26.29,46,175,-42,-1.00
43,0,39975,Michael Kim,26.17,39,149,-37,-11.00
44,0,29485,Brett Stegmaier,26.00,26,100,-30,-2.00
45,0,25686,Jason Dufner,25.98,33,127,-34,-19.00
46,0,24357,K.J. Choi,25.97,20,77,-20,-17.00
47,0,48084,Wesley Bryan,25.96,27,104,-33,-22.00
48,0,48822,Sebastián Muñoz,25.93,21,81,-19,+4.00
49,0,12510,Chad Campbell,25.78,33,128,-29,-26.00
50,0,33419,Cameron Tringale,25.77,25,97,-27,-7.00
51,0,28307,Matt Every,25.44,29,114,-29,-8.00
51,0,30692,Scott Stallings,25.44,29,114,-28,-6.00
53,0,35891,Cameron Smith,25.34,37,146,-43,-18.00
54,0,33413,Ben Martin,25.19,33,131,-32,-6.00
55,0,28420,Ryan Brehm,25.16,39,155,-42,+7.00
56,0,33448,Justin Thomas,25.15,42,167,-48,-9.00
57,0,27064,Jhonattan Vegas,25.13,49,195,-46,+4.00
58,0,29420,Billy Horschel,25.00,36,144,-36,-1.00
59,0,34046,Jordan Spieth,24.84,39,157,-35,-8.00
60,0,21961,Charles Howell III,24.62,32,130,-32,-10.00
61,0,27974,Sung Kang,24.60,46,187,-49,-17.00
62,0,24846,Ricky Barnes,24.59,30,122,-36,-11.00
62,0,28500,Martin Flores,24.59,30,122,-35,+2.00
64,0,25396,Kevin Na,24.53,26,106,-25,-18.00
65,0,20229,Stewart Cink,24.32,36,148,-42,-18.00
65,0,23320,Ryan Palmer,24.32,27,111,-21,+5.00
67,0,26851,Marc Leishman,24.26,41,169,-42,-3.00
68,0,32448,James Hahn,24.07,39,162,-42,-3.00
68,0,32839,Hideki Matsuyama,24.07,39,162,-41,-9.00
70,0,31420,Anirban Lahiri,23.88,32,134,-35,+6.00
71,0,48081,Xander Schauffele,23.75,38,160,-38,-12.00
72,0,36689,Brooks Koepka,23.71,46,194,-48,-3.00
73,0,26329,Louis Oosthuizen,23.64,26,110,-30,-11.00
74,0,29223,Sam Saunders,23.58,25,106,-21,-19.00
