RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
157,0,29740,Brad Fritsch,41.83,64,89,-32,-6
158,0,25396,Kevin Na,41.73,106,148,-64,-18
159,0,24357,K.J. Choi,41.40,77,109,-44,-17
160,0,33120,Mark Anderson,41.33,62,88,-37,-6
161,0,27466,Spencer Levin,40.69,94,137,-49,-21
162,0,37454,Whee Kim,40.48,85,125,-52,-16
163,0,25274,Steven Bowditch,40.13,61,91,-19,+12
164,0,26476,Chez Reavie,40.06,125,187,-58,-20
165,0,27770,Camilo Villegas,39.72,85,129,-42,-11
166,0,25349,Tim Wilkinson,39.61,61,93,-35,-8
167,0,20104,Ken Duke,38.97,83,130,-37,-29
168,0,25345,Carl Pettersson,38.38,71,114,-41,-9
169,0,25720,Chad Collins,38.02,73,119,-45,-12
170,0,34466,Peter Malnati,37.94,96,157,-48,-19
171,0,26758,David Hearn,37.55,89,148,-55,-16
172,0,20593,Greg Chalmers,37.50,96,160,-38,-24
173,0,24024,Zach Johnson,37.26,98,165,-47,-15
174,0,48084,Wesley Bryan,37.05,103,175,-53,-22
175,0,29222,Billy Hurley III,36.86,94,161,-54,-26
176,0,40058,Zac Blair,36.10,100,177,-59,-16
177,0,06522,Ernie Els,35.82,48,86,-31,+2
178,0,37278,Nicholas Lindheim,35.63,57,103,-35,+4
179,0,25572,Graeme McDowell,35.48,66,120,-31,-14
180,0,32150,Michael Thompson,34.90,52,97,-28,-2
181,0,24507,Jason Bohn,34.72,75,141,-37,-1
182,0,22986,Søren Kjeldsen,34.38,44,84,-25,-2
183,0,32200,Roberto Castro,34.18,67,129,-30,-17
184,0,19846,Brian Gay,33.93,76,148,-52,-28
185,0,23983,Luke Donald,32.88,48,98,-28,-13
186,0,31560,Brian Stuard,32.40,81,169,-36,-17
187,0,19803,Ryan Armour,29.45,48,115,-30,-16
188,0,20771,Steven Alker,29.38,52,125,-31,-7
189,0,10809,Jim Furyk,27.81,47,122,-27,-12
190,0,23800,Bryce Molder,26.58,63,174,-29,-29
