RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,08793,Tiger Woods,69.00,1380,20
2,0,01810,Phil Mickelson,69.10,2073,30
3,0,10809,Jim Furyk,69.32,2565,37
4,0,23983,Luke Donald,69.54,1947,28
5,0,26420,Richard Johnson,69.55,1391,20
6,0,12782,Tim Herron,69.76,3488,50
6,0,06567,Vijay Singh,69.76,2581,37
8,0,01142,Bart Bryant,69.86,3074,44
9,0,02206,David Toms,69.91,2307,33
10,0,20098,Stuart Appleby,69.94,2168,31
11,0,22405,Justin Rose,69.96,3218,46
12,0,01706,Davis Love III,69.97,2239,32
13,0,12680,Shigeki Maruyama,70.00,3290,47
13,0,01766,Billy Mayfair,70.00,3850,55
13,0,24502,Adam Scott,70.00,2100,30
16,0,06575,Dudley Hart,70.03,2591,37
16,0,01945,Kenny Perry,70.03,2031,29
16,0,02239,Scott Verplank,70.03,2801,40
19,0,01677,Tom Lehman,70.06,2452,35
20,0,20378,Mathias Grönberg,70.07,1892,27
20,0,21961,Charles Howell III,70.07,3083,44
22,0,20498,Briny Baird,70.08,3574,51
23,0,12602,Dean Wilson,70.13,2665,38
24,0,01320,Bob Estes,70.17,3719,53
25,0,24507,Jason Bohn,70.18,2807,40
26,0,01139,Olin Browne,70.26,3232,46
27,0,24604,Hunter Haas,70.27,2881,41
27,0,21350,Ryuji Imada,70.27,2881,41
29,0,21805,Harrison Frazar,70.28,3303,47
30,0,23541,Ben Crane,70.29,2460,35
31,0,01361,Dan Forsman,70.30,1898,27
32,0,01313,Steve Elkington,70.38,2393,34
33,0,20645,John Senden,70.40,3872,55
33,0,23322,Brett Wetterich,70.40,2464,35
35,0,06595,Kevin Sutherland,70.43,3240,46
36,0,23135,Tim Clark,70.45,2818,40
37,0,02010,Loren Roberts,70.46,1691,24
38,0,22046,Geoff Ogilvy,70.47,3030,43
39,0,23623,Bo Van Pelt,70.48,4088,58
40,0,21407,Arjun Atwal,70.50,2538,36
41,0,20229,Stewart Cink,70.51,3314,47
42,0,10860,Justin Leonard,70.52,2186,31
43,0,06251,Chris DiMarco,70.55,2328,33
43,0,24980,Scott Gutschewski,70.55,3316,47
45,0,25345,Carl Pettersson,70.56,3669,52
45,0,07749,Brett Quigley,70.56,3175,45
47,0,08537,J.P. Hayes,70.58,2188,31
47,0,20691,Greg Owen,70.58,2329,33
49,0,22293,Heath Slocum,70.61,3954,56
50,0,12510,Chad Campbell,70.62,3319,47
51,0,01329,Brad Faxon,70.63,2472,35
52,0,01161,Mark Calcavecchia,70.67,3604,51
52,0,20628,Arron Oberholser,70.67,1908,27
54,0,20157,Retief Goosen,70.68,1979,28
55,0,24024,Zach Johnson,70.70,3252,46
56,0,01707,Steve Lowery,70.71,3465,49
57,0,01928,Corey Pavin,70.74,2476,35
58,0,20850,Daniel Chopra,70.77,4034,57
59,0,02223,Bob Tway,70.78,2902,41
60,0,21209,Sergio Garcia,70.79,1699,24
60,0,06373,José María Olazábal,70.79,1699,24
62,0,12823,Carlos Franco,70.81,2620,37
63,0,20099,Doug Barron,70.83,2550,36
63,0,20382,Stephen Leaney,70.83,2975,42
63,0,01797,Rocco Mediate,70.83,2833,40
66,0,20474,Phillip Price,70.84,3046,43
67,0,01024,Billy Andrade,70.85,2763,39
68,0,01941,Tom Pernice Jr.,70.86,4039,57
69,0,23353,J.J. Henry,70.87,3898,55
70,0,10117,Bob Heintz,70.88,2268,32
70,0,02104,Jeff Sluman,70.88,3473,49
72,0,01249,John Daly,70.89,2481,35
72,0,10733,Kent Jones,70.89,3757,53
72,0,21951,Joey Snyder III,70.89,3757,53
72,0,22295,Darron Stiles,70.89,2552,36
76,0,01388,Robert Gamez,70.90,3545,50
77,0,10885,Robert Allenby,70.91,3262,46
77,0,12660,Jesper Parnevik,70.91,3049,43
79,0,19824,Craig Barlow,70.93,2837,40
80,0,25396,Kevin Na,70.95,2696,38
81,0,07223,Brian Bateman,70.96,3548,50
81,0,01381,Fred Funk,70.96,3974,56
81,0,19846,Brian Gay,70.96,3477,49
81,0,21731,Freddie Jacobson,70.96,1987,28
85,0,01035,Tommy Armour III,70.97,4116,58
85,0,23788,D.J. Trahan,70.97,2697,38
87,0,22913,John Rollins,70.98,3407,48
87,0,23325,Vaughn Taylor,70.98,3549,50
89,0,08123,Jeff Brehaut,71.00,2201,31
89,0,12826,Paul Claxton,71.00,2982,42
89,0,01553,John Huston,71.00,2982,42
89,0,23108,Matt Kuchar,71.00,1988,28
93,0,06332,Neal Lancaster,71.02,3764,53
93,0,08385,Omar Uresti,71.02,3409,48
95,0,07867,Woody Austin,71.04,3623,51
96,0,01226,Fred Couples,71.05,2629,37
96,0,21753,Brian Davis,71.05,2842,40
96,0,20548,Hidemichi Tanaka,71.05,4050,57
