RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,10809,Jim Furyk,68.60,1715,25
2,0,01810,Phil Mickelson,68.74,1306,19
3,0,26420,Richard Johnson,68.82,757,11
4,0,02239,Scott Verplank,69.25,1662,24
5,0,01139,Olin Browne,69.32,1733,25
6,0,01766,Billy Mayfair,69.49,2571,37
7,0,08793,Tiger Woods,69.50,556,8
8,0,20382,Stephen Leaney,69.57,1461,21
9,0,01361,Dan Forsman,69.63,1114,16
9,0,06567,Vijay Singh,69.63,1323,19
11,0,06575,Dudley Hart,69.64,1532,22
12,0,20098,Stuart Appleby,69.65,1393,20
13,0,22405,Justin Rose,69.68,1951,28
14,0,23983,Luke Donald,69.76,1186,17
14,0,22293,Heath Slocum,69.76,2372,34
16,0,24502,Adam Scott,69.78,1256,18
17,0,12782,Tim Herron,69.85,2375,34
18,0,24604,Hunter Haas,69.86,1537,22
19,0,08123,Jeff Brehaut,69.89,1258,18
19,0,19846,Brian Gay,69.89,1957,28
21,0,01320,Bob Estes,69.94,2448,35
22,0,01706,Davis Love III,69.95,1329,19
23,0,01142,Bart Bryant,69.97,2309,33
24,0,24507,Jason Bohn,70.00,1680,24
25,0,20498,Briny Baird,70.12,1823,26
26,0,01313,Steve Elkington,70.13,1613,23
27,0,02206,David Toms,70.16,1333,19
28,0,07223,Brian Bateman,70.17,2105,30
29,0,06595,Kevin Sutherland,70.18,1965,28
29,0,23623,Bo Van Pelt,70.18,2386,34
31,0,23135,Tim Clark,70.19,1825,26
32,0,21805,Harrison Frazar,70.21,1966,28
33,0,23322,Brett Wetterich,70.24,1194,17
34,0,20099,Doug Barron,70.29,1687,24
35,0,23541,Ben Crane,70.33,1688,24
36,0,10860,Justin Leonard,70.35,1407,20
36,0,20691,Greg Owen,70.35,1618,23
36,0,12602,Dean Wilson,70.35,1407,20
39,0,10885,Robert Allenby,70.38,1830,26
39,0,08545,Glen Hnatiuk,70.38,1478,21
41,0,21753,Brian Davis,70.39,1619,23
41,0,20378,Mathias Grönberg,70.39,1267,18
43,0,01677,Tom Lehman,70.40,1760,25
44,0,06251,Chris DiMarco,70.46,1691,24
44,0,12680,Shigeki Maruyama,70.46,1832,26
46,0,25345,Carl Pettersson,70.47,2114,30
47,0,01329,Brad Faxon,70.48,1621,23
48,0,20229,Stewart Cink,70.50,1974,28
49,0,01249,John Daly,70.52,1763,25
49,0,07749,Brett Quigley,70.52,1763,25
51,0,20645,John Senden,70.53,2539,36
52,0,21961,Charles Howell III,70.56,1905,27
52,0,02010,Loren Roberts,70.56,1129,16
54,0,21350,Ryuji Imada,70.58,1835,26
55,0,24024,Zach Johnson,70.59,2047,29
56,0,01035,Tommy Armour III,70.62,2754,39
57,0,01127,Danny Briggs,70.64,989,14
57,0,24980,Scott Gutschewski,70.64,1978,28
59,0,01945,Kenny Perry,70.69,1131,16
60,0,20634,Peter Lonard,70.72,1768,25
61,0,08537,J.P. Hayes,70.75,1415,20
62,0,24781,Hunter Mahan,70.76,2335,33
63,0,01707,Steve Lowery,70.77,2477,35
64,0,23621,Rory Sabbatini,70.78,1628,23
65,0,23353,J.J. Henry,70.79,2053,29
65,0,20812,Tjaart van der Walt,70.79,1699,24
67,0,10733,Kent Jones,70.80,2478,35
68,0,12454,Mario Tiziani,70.81,1841,26
69,0,21731,Freddie Jacobson,70.83,1275,18
69,0,02246,Duffy Waldorf,70.83,2125,30
71,0,06527,Steve Stricker,70.84,1346,19
72,0,01381,Fred Funk,70.86,2480,35
72,0,10117,Bob Heintz,70.86,1488,21
72,0,22295,Darron Stiles,70.86,1488,21
75,0,25900,Lucas Glover,70.88,2339,33
76,0,01388,Robert Gamez,70.91,2269,32
77,0,23108,Matt Kuchar,70.93,993,14
78,0,06373,José María Olazábal,70.94,1135,16
79,0,20850,Daniel Chopra,70.95,2838,40
80,0,01928,Corey Pavin,70.96,1774,25
81,0,12510,Chad Campbell,71.00,2201,31
81,0,06332,Neal Lancaster,71.00,2201,31
81,0,23497,Tag Ridings,71.00,1846,26
81,0,22913,John Rollins,71.00,1775,25
85,0,07867,Woody Austin,71.02,3054,43
85,0,01161,Mark Calcavecchia,71.02,2912,41
87,0,02104,Jeff Sluman,71.03,2060,29
87,0,08385,Omar Uresti,71.03,2060,29
89,0,02106,Chris Smith,71.04,1634,23
90,0,19824,Craig Barlow,71.05,1563,22
91,0,21878,Mark Wilson,71.06,1279,18
92,0,11032,Frank Lickliter II,71.07,2061,29
93,0,12823,Carlos Franco,71.08,1706,24
94,0,02101,Joey Sindelar,71.10,2062,29
95,0,24227,Justin Bolli,71.11,1280,18
95,0,27095,Nick Watney,71.11,1991,28
97,0,21407,Arjun Atwal,71.13,1636,23
97,0,20623,Gavin Coles,71.13,1707,24
97,0,01941,Tom Pernice Jr.,71.13,2774,39
97,0,26679,Kevin Stadler,71.13,2205,31
101,0,22046,Geoff Ogilvy,71.14,1992,28
101,0,20572,Rod Pampling,71.14,2063,29
101,0,21951,Joey Snyder III,71.14,2632,37
104,0,23325,Vaughn Taylor,71.18,2420,34
105,0,01219,John Cook,71.19,1495,21
105,0,02223,Bob Tway,71.19,1922,27
107,0,20160,Charlie Wi,71.20,1424,20
108,0,20157,Retief Goosen,71.21,1353,19
108,0,20548,Hidemichi Tanaka,71.21,2706,38
110,0,01797,Rocco Mediate,71.22,1638,23
110,0,22548,Patrick Sheehan,71.22,2920,41
112,0,19881,Robert Damron,71.23,2137,30
112,0,01553,John Huston,71.23,1852,26
112,0,01887,Mark O'Meara,71.23,1567,22
115,0,25396,Kevin Na,71.24,1496,21
116,0,12826,Paul Claxton,71.25,1710,24
116,0,01226,Fred Couples,71.25,1425,20
116,0,20628,Arron Oberholser,71.25,1425,20
119,0,12660,Jesper Parnevik,71.28,2281,32
120,0,20433,Mark Hensby,71.29,1497,21
121,0,12652,Cameron Beckman,71.31,2567,36
121,0,24925,Jonathan Byrd,71.31,2496,35
123,0,24140,Sean O'Hair,71.32,2425,34
124,0,21209,Sergio Garcia,71.33,1070,15
125,0,07457,Steve Flesch,71.34,2069,29
126,0,23320,Ryan Palmer,71.35,2426,34
127,0,23725,Brendan Jones,71.36,1784,25
128,0,21959,Ted Purdy,71.39,3141,44
129,0,06034,Marco Dawson,71.41,2285,32
129,0,26287,Roland Thatcher,71.41,1214,17
131,0,01024,Billy Andrade,71.42,1357,19
131,0,01666,Bernhard Langer,71.42,1357,19
131,0,01685,J.L. Lewis,71.42,2571,36
134,0,23788,D.J. Trahan,71.45,1572,22
135,0,10425,Jay Williamson,71.47,1358,19
136,0,20094,Jonathan Kaye,71.48,1930,27
137,0,20472,Alex Cejka,71.50,1859,26
137,0,19972,José Coceres,71.50,1144,16
137,0,20502,Michael Long,71.50,1573,22
137,0,20663,Brenden Pappas,71.50,1001,14
141,0,08725,Tom Gillis,71.52,1645,23
142,0,06004,Stephen Ames,71.54,1717,24
