RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,30925,Dustin Johnson,12,3,2,3
2,0,29725,Tony Finau,11,3
2,0,22405,Justin Rose,11,2,3,1
4,0,33448,Justin Thomas,10,3,1
5,0,47959,Bryson DeChambeau,9,3,1,1
5,0,29221,Webb Simpson,9,1,1
7,0,27644,Brian Harman,8,1
8,0,35450,Patrick Cantlay,7,1
8,0,34563,Chesson Hadley,7,1,1
8,0,28237,Rory McIlroy,7,1,1
8,0,34360,Patrick Reed,7,1,1
8,0,48081,Xander Schauffele,7,2,2
8,0,35891,Cameron Smith,7,3
8,0,08793,Tiger Woods,7,1,2
15,0,30911,Tommy Fleetwood,6,1
15,0,32102,Rickie Fowler,6,2
15,0,19846,Brian Gay,6,1
15,0,31646,Emiliano Grillo,6,2
15,0,29420,Billy Horschel,6,1,2,2
15,0,36689,Brooks Koepka,6,2,2
15,0,26851,Marc Leishman,6,2
15,0,01810,Phil Mickelson,6,1,1,1
15,0,25804,Bubba Watson,6,3
24,0,45526,Abraham Ancer,5
24,0,33141,Keegan Bradley,5,1,1
24,0,26499,Rafa Cabrera Bello,5,1
24,0,25364,Paul Casey,5,1,1
24,0,28089,Jason Day,5,2,1
24,0,35461,Beau Hossler,5,2
24,0,37455,Si Woo Kim,5,1,1
24,0,33410,Andrew Landry,5,1,1
24,0,27129,Luke List,5,1,1
24,0,25198,Francesco Molinari,5,2,1
24,0,26596,Ryan Moore,5
24,0,34256,Andrew Putnam,5,1,1
24,0,46970,Jon Rahm,5,1,1
24,0,34046,Jordan Spieth,5,2
24,0,30110,Kyle Stanley,5,2
24,0,21528,Henrik Stenson,5,1
24,0,27214,Kevin Streelman,5
41,0,33948,Byeong Hun An,4,2
41,0,32366,Kevin Chappell,4
41,0,34363,Tyrrell Hatton,4,1
41,0,21961,Charles Howell III,4
41,0,30926,Chris Kirk,4
41,0,29478,Kevin Kisner,4,2
41,0,32757,Patton Kizzire,4,2
41,0,30944,Jason Kokrak,4,1
41,0,23108,Matt Kuchar,4
41,0,31420,Anirban Lahiri,4
41,0,32839,Hideki Matsuyama,4
41,0,39546,Keith Mitchell,4,1,1
41,0,25396,Kevin Na,4,1,1
41,0,45486,Joaquin Niemann,4
41,0,24361,Pat Perez,4,1,1
41,0,24138,Ian Poulter,4,1
41,0,29223,Sam Saunders,4
41,0,27649,Brandt Snedeker,4,1,1
41,0,39324,J.J. Spaun,4,1,2
41,0,29484,Peter Uihlein,4
41,0,25632,Jimmy Walker,4,1
41,0,49964,Aaron Wise,4,1,1
63,0,19803,Ryan Armour,3,1,1
63,0,20229,Stewart Cink,3,1
63,0,46435,Austin Cook,3,1
63,0,34076,Joel Dahmen,3,1
63,0,21209,Sergio Garcia,3
63,0,33399,Adam Hadwin,3,1
63,0,35421,Brandon Harkins,3
63,0,34098,Russell Henley,3
63,0,35532,Tom Hoge,3,1
