RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,02206,David Toms,68.60,1372,20
2,0,27649,Brandt Snedeker,68.83,1239,18
3,0,10505,Shane Bertsch,68.93,965,14
4,0,27466,Spencer Levin,69.06,2486,36
5,0,21961,Charles Howell III,69.38,2012,29
6,0,06527,Steve Stricker,69.42,833,12
7,0,21209,Sergio Garcia,69.47,1042,15
8,0,21731,Freddie Jacobson,69.60,2088,30
9,0,21753,Brian Davis,69.61,1949,28
9,0,24781,Hunter Mahan,69.61,1601,23
11,0,23983,Luke Donald,69.70,697,10
11,0,23320,Ryan Palmer,69.70,1882,27
11,0,27963,Chris Stroud,69.70,1882,27
14,0,26758,David Hearn,69.79,1675,24
15,0,32102,Rickie Fowler,69.80,1396,20
15,0,23800,Bryce Molder,69.80,1396,20
15,0,22293,Heath Slocum,69.80,2094,30
18,0,27974,Sung Kang,69.83,1257,18
19,0,26331,Charl Schwartzel,69.86,1537,22
20,0,23108,Matt Kuchar,69.88,1118,16
21,0,20157,Retief Goosen,69.90,1398,20
22,0,23623,Bo Van Pelt,69.91,2377,34
23,0,24924,Bill Haas,69.96,1959,28
24,0,23353,J.J. Henry,69.97,2309,33
24,0,22405,Justin Rose,69.97,2169,31
26,0,29910,Blake Adams,70.00,3220,46
26,0,01810,Phil Mickelson,70.00,1400,20
26,0,20645,John Senden,70.00,1890,27
26,0,29221,Webb Simpson,70.00,1120,16
30,0,19846,Brian Gay,70.06,2172,31
31,0,30926,Chris Kirk,70.10,2173,31
31,0,24502,Adam Scott,70.10,701,10
33,0,28620,Aron Price,70.11,1262,18
34,0,26851,Marc Leishman,70.14,2455,35
35,0,25274,Steven Bowditch,70.15,1824,26
35,0,31323,Gary Woodland,70.15,1403,20
37,0,25818,Scott Piercy,70.16,1754,25
38,0,23541,Ben Crane,70.20,2106,30
38,0,22913,John Rollins,70.20,2106,30
40,0,23638,Brendon de Jonge,70.21,2036,29
40,0,26951,Johnson Wagner,70.21,1966,28
42,0,27933,John Merrick,70.22,1264,18
43,0,12510,Chad Campbell,70.23,2458,35
43,0,23718,Nathan Green,70.23,2177,31
45,0,32366,Kevin Chappell,70.24,1194,17
45,0,24024,Zach Johnson,70.24,2037,29
45,0,22348,Nick O'Hern,70.24,1475,21
48,0,06573,Brandt Jobe,70.25,2529,36
49,0,20848,Ángel Cabrera,70.27,1054,15
49,0,25345,Carl Pettersson,70.27,2319,33
51,0,08075,Jerry Kelly,70.29,1968,28
52,0,30925,Dustin Johnson,70.30,1406,20
52,0,20160,Charlie Wi,70.30,1617,23
54,0,23621,Rory Sabbatini,70.31,2461,35
55,0,12716,Charley Hoffman,70.32,2672,38
56,0,10885,Robert Allenby,70.36,2744,39
56,0,20127,Chris Riley,70.36,1548,22
58,0,28089,Jason Day,70.38,1478,21
58,0,23409,James Driscoll,70.38,1689,24
58,0,20572,Rod Pampling,70.38,1478,21
61,0,25396,Kevin Na,70.39,2182,31
62,0,22046,Geoff Ogilvy,70.42,1690,24
63,0,33419,Cameron Tringale,70.44,2254,32
64,0,23788,D.J. Trahan,70.45,2184,31
65,0,33141,Keegan Bradley,70.46,1691,24
66,0,20498,Briny Baird,70.48,1480,21
66,0,12782,Tim Herron,70.48,1621,23
68,0,01706,Davis Love III,70.50,1128,16
69,0,24925,Jonathan Byrd,70.52,1904,27
69,0,23548,Bill Lunde,70.52,2327,33
69,0,26289,Boo Weekley,70.52,1904,27
72,0,12652,Cameron Beckman,70.54,1693,24
72,0,26596,Ryan Moore,70.54,1693,24
74,0,30110,Kyle Stanley,70.55,2681,38
75,0,22621,Ben Curtis,70.57,1976,28
76,0,08537,J.P. Hayes,70.58,847,12
77,0,06567,Vijay Singh,70.59,1553,22
78,0,20229,Stewart Cink,70.61,1624,23
79,0,24361,Pat Perez,70.63,1907,27
80,0,11123,Chris Couch,70.67,1272,18
80,0,24980,Scott Gutschewski,70.67,1484,21
82,0,01766,Billy Mayfair,70.68,2403,34
82,0,27330,Josh Teater,70.68,2615,37
84,0,25686,Jason Dufner,70.70,1626,23
84,0,25804,Bubba Watson,70.70,1626,23
86,0,26476,Chez Reavie,70.71,2404,34
86,0,25562,Andres Romero,70.71,1697,24
88,0,32150,Michael Thompson,70.74,1344,19
89,0,22961,David Mathis,70.75,1981,28
90,0,31202,William McGirt,70.76,1769,25
91,0,23497,Tag Ridings,70.77,2123,30
92,0,07867,Woody Austin,70.84,1346,19
92,0,06251,Chris DiMarco,70.84,2267,32
92,0,21949,Joe Ogilvie,70.84,1771,25
95,0,01116,Michael Bradley,70.88,2339,33
96,0,27770,Camilo Villegas,70.89,1276,18
97,0,22371,Aaron Baddeley,70.90,1418,20
97,0,20070,Matt Bettencourt,70.90,2056,29
99,0,27095,Nick Watney,70.92,922,13
100,0,25572,Graeme McDowell,70.93,1064,15
101,0,06621,Joe Durant,70.95,1490,21
101,0,24138,Ian Poulter,70.95,1419,20
103,0,10733,Kent Jones,70.96,1916,27
103,0,28486,Michael Putnam,70.96,1703,24
105,0,27120,Troy Matteson,70.97,2058,29
