RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,30925,Dustin Johnson,$2302749,1617749,685000
2,0,34360,Patrick Reed,$1560485,1463374,97111
3,0,25396,Kevin Na,$1155513,935513,220000
4,0,21209,Sergio Garcia,$896343,799231,97111
5,0,29974,Branden Grace,$791112,791112,0
6,0,26331,Charl Schwartzel,$772030,772030,0
7,0,25804,Bubba Watson,$610649,513538,97111
8,0,37378,Min Woo Lee,$569732,472621,97111
9,0,25572,Graeme McDowell,$527904,527904,0
10,0,52215,Robert MacIntyre,$519870,461631,58239
11,0,59095,Chris Gotterup,$502471,502471,0
12,0,26329,Louis Oosthuizen,$502136,443897,58239
13,0,47917,Takumi Kanaya,$479322,259322,220000
14,0,52686,Rasmus Hojgaard,$413120,413120,0
15,0,33653,Thomas Detry,$409974,409974,0
16,0,33293,Thomas Pieters,$406280,309169,97111
17,0,20396,Lee Westwood,$404798,346559,58239
18,0,33974,Dean Burmester,$388800,388800,0
19,0,54655,Patrick Flavin,$361749,361749,0
20,0,54591,Ben Griffin,$357700,357700,0
21,0,45836,Richard Bland,$334444,114444,220000
22,0,55509,Hurly Long,$306175,306175,0
23,0,34587,Chan Kim,$273271,273271,0
24,0,39834,Guido Migliozzi,$272827,272827,0
25,0,25369,Jamie Donaldson,$243700,243700,0
26,0,31569,Jason Scrivener,$238842,238842,0
27,0,48018,Sadom Kaewkanjana,$231000,231000,0
28,0,56676,John Augenstein,$220850,220850,0
29,0,57975,Harry Hall,$204750,204750,0
30,0,55789,Taylor Montgomery,$180180,180180,0
31,0,48372,Marcus Helligkilde,$173283,173283,0
32,0,35296,Haotong Li,$172155,172155,0
33,0,46798,Anthony Quayle,$165583,165583,0
34,0,39537,Chris Naegel,$153450,153450,0
35,0,45242,Kevin Yu,$144300,144300,0
36,0,52096,Adri Arnaus,$143413,143413,0
37,0,48051,Yannik Paul,$126528,126528,0
38,0,29454,Bernd Wiesberger,$125350,125350,0
39,0,45523,Thriston Lawrence,$124400,124400,0
40,0,32627,Espen Kofstad,$122629,122629,0
41,0,32775,Shugo Imahira,$118718,118718,0
41,0,27747,Hiroshi Iwata,$118718,118718,0
43,0,48867,Matti Schmid,$118400,118400,0
44,0,39067,MJ Daffue,$116531,116531,0
45,0,46732,Rick Lamb,$116358,116358,0
46,0,46464,Jordan L Smith,$114000,114000,0
47,0,56320,Bryson Nimmer,$112131,112131,0
48,0,26499,Rafa Cabrera Bello,$107888,107888,0
49,0,47154,Martin Contini,$106533,106533,0
50,0,46594,Ricardo Gouveia,$100825,100825,0
51,0,35986,Todd Sinnott,$100331,100331,0
52,0,57362,Austin Eckroat,$92818,92818,0
53,0,39524,Sean Crocker,$89898,89898,0
54,0,54781,Grant Hirschman,$86683,86683,0
55,0,47679,Victor Perez,$77564,77564,0
56,0,39328,Conrad Shindler,$76231,76231,0
57,0,33948,Byeong Hun An,$74259,74259,0
58,0,29256,James Morrison,$73598,73598,0
59,0,52666,Sami Valimaki,$73400,73400,0
60,0,58168,Davis Thompson,$73077,73077,0
61,0,58849,Turk Pettit,$72368,72368,0
62,0,46405,Sebastian Soderberg,$68780,68780,0
63,0,48153,Matthieu Pavon,$67203,67203,0
64,0,47056,Rikuya Hoshino,$66522,66522,0
65,0,26328,Shaun Norris,$64647,64647,0
66,0,29275,Naoto Nakanishi,$63780,63780,0
67,0,34362,Laurie Canter,$63471,63471,0
