RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,10809,Jim Furyk,7.76,792,102
2,0,06088,Steve Gotsche,7.27,589,81
3,0,01510,Nolan Henke,7.26,588,81
4,0,06012,Greg Kraft,7.18,718,100
5,0,01200,Keith Clearwater,7.17,495,69
6,0,01607,Brian Kamm,7.14,643,90
7,0,01766,Billy Mayfair,7.12,705,99
8,0,01116,Michael Bradley,7.10,625,88
8,0,02214,Kirk Triplett,7.10,710,100
10,0,06197,Michael Allen,7.09,404,57
10,0,01414,Bob Gilder,7.09,603,85
12,0,02267,D.A. Weibring,7.06,586,83
13,0,01475,Donnie Hammond,7.05,564,80
14,0,06577,John Wilson,7.04,669,95
15,0,02049,Gene Sauers,7.03,527,75
16,0,10860,Justin Leonard,7.02,772,110
16,0,20095,Carl Paulson,7.02,435,62
16,0,06657,Steve Rintoul,7.02,674,96
19,0,01701,Bob Lohr,7.00,665,95
19,0,01925,Jerry Pate,7.00,490,70
21,0,01096,Phil Blackmar,6.99,531,76
21,0,06641,Jeff Leonard,6.99,503,72
23,0,01458,Jerry Haas,6.98,572,82
23,0,20094,Jonathan Kaye,6.98,454,65
25,0,01353,Bruce Fleisher,6.97,481,69
25,0,01905,Joe Ozaki,6.97,432,62
27,0,01685,J.L. Lewis,6.93,589,85
27,0,02226,Tray Tyner,6.93,568,82
29,0,01320,Bob Estes,6.92,630,91
29,0,06791,Mark Wurtz,6.92,581,84
31,0,10425,Jay Williamson,6.91,449,65
32,0,08537,J.P. Hayes,6.86,549,80
33,0,06613,Tommy Tolles,6.80,537,79
34,0,01381,Fred Funk,6.79,760,112
34,0,01996,Mike Reid,6.79,421,62
36,0,02111,Mike Smith,6.78,488,72
37,0,01619,Skip Kendall,6.77,650,96
38,0,01599,Steve Jones,6.75,540,80
38,0,01891,David Ogrin,6.75,614,91
38,0,02190,Doug Tewell,6.75,371,55
38,0,02225,Howard Twitty,6.75,587,87
42,0,08717,Kawika Cotner,6.74,553,82
42,0,01971,Dillard Pruitt,6.74,519,77
44,0,10213,Dicky Pride,6.73,559,83
45,0,07867,Woody Austin,6.72,766,114
45,0,01175,Jim Carter,6.72,645,96
47,0,02146,Payne Stewart,6.71,651,97
48,0,01006,John Adams,6.70,543,81
