RANK,MOVEMENT,PLAYER_ID,PLAYER,HOLE OUTS
1,0,06567,Vijay Singh,21
2,0,23320,Ryan Palmer,20
3,0,23325,Vaughn Taylor,19
4,0,19846,Brian Gay,18
5,0,08931,Glen Day,17
5,0,01948,Tim Petrovic,17
7,0,06809,Bob Burns,16
7,0,23541,Ben Crane,16
7,0,25396,Kevin Na,16
7,0,01928,Corey Pavin,16
7,0,12602,Dean Wilson,16
12,0,20850,Daniel Chopra,15
12,0,24781,Hunter Mahan,15
12,0,10425,Jay Williamson,15
15,0,19881,Robert Damron,14
15,0,25900,Lucas Glover,14
15,0,12682,Hirofumi Miyase,14
15,0,01926,Steve Pate,14
15,0,21959,Ted Purdy,14
15,0,02104,Jeff Sluman,14
21,0,12652,Cameron Beckman,13
21,0,24925,Jonathan Byrd,13
21,0,21805,Harrison Frazar,13
21,0,01388,Robert Gamez,13
21,0,20378,Mathias Grönberg,13
21,0,20433,Mark Hensby,13
21,0,11032,Frank Lickliter II,13
21,0,01938,David Peoples,13
21,0,24361,Pat Perez,13
21,0,25345,Carl Pettersson,13
21,0,22913,John Rollins,13
21,0,08385,Omar Uresti,13
33,0,07867,Woody Austin,12
33,0,07363,Craig Bowden,12
33,0,01249,John Daly,12
33,0,01378,David Frost,12
33,0,12645,Brent Geiberger,12
33,0,01473,Todd Hamilton,12
33,0,23063,Scott Hend,12
33,0,12705,Cliff Kresge,12
33,0,01685,J.L. Lewis,12
33,0,01706,Davis Love III,12
33,0,01771,Blaine McCallister,12
33,0,21949,Joe Ogilvie,12
33,0,20572,Rod Pampling,12
33,0,01927,Dennis Paulson,12
47,0,01024,Billy Andrade,11
47,0,22371,Aaron Baddeley,11
47,0,12510,Chad Campbell,11
47,0,12394,Tom Carter,11
47,0,22621,Ben Curtis,11
47,0,23983,Luke Donald,11
47,0,12760,Danny Ellis,11
47,0,01320,Bob Estes,11
47,0,07457,Steve Flesch,11
47,0,01381,Fred Funk,11
47,0,12782,Tim Herron,11
47,0,26420,Richard Johnson,11
47,0,20634,Peter Lonard,11
47,0,06515,Shaun Micheel,11
61,0,21633,Steve Allan,10
61,0,06214,Guy Boros,10
61,0,24290,D.J. Brigman,10
61,0,20593,Greg Chalmers,10
61,0,01226,Fred Couples,10
61,0,06251,Chris DiMarco,10
61,0,25686,Jason Dufner,10
61,0,20104,Ken Duke,10
61,0,20121,Todd Fischer,10
61,0,08075,Jerry Kelly,10
61,0,01766,Billy Mayfair,10
61,0,10107,Deane Pappas,10
61,0,12660,Jesper Parnevik,10
61,0,20127,Chris Riley,10
61,0,23621,Rory Sabbatini,10
61,0,22293,Heath Slocum,10
61,0,06527,Steve Stricker,10
61,0,06595,Kevin Sutherland,10
61,0,23623,Bo Van Pelt,10
61,0,02245,Grant Waite,10
81,0,06004,Stephen Ames,9
81,0,21407,Arjun Atwal,9
81,0,20229,Stewart Cink,9
81,0,23353,J.J. Henry,9
81,0,21961,Charles Howell III,9
81,0,23108,Matt Kuchar,9
81,0,23552,Hank Kuehne,9
81,0,01666,Bernhard Langer,9
81,0,20382,Stephen Leaney,9
81,0,10585,Scott McCarron,9
81,0,01810,Phil Mickelson,9
81,0,06373,José María Olazábal,9
81,0,07749,Brett Quigley,9
81,0,22548,Patrick Sheehan,9
81,0,23307,Roger Tambellini,9
81,0,06078,Esteban Toledo,9
81,0,02223,Bob Tway,9
98,0,19824,Craig Barlow,8
98,0,08123,Jeff Brehaut,8
98,0,01127,Danny Briggs,8
98,0,01139,Olin Browne,8
98,0,01161,Mark Calcavecchia,8
98,0,20472,Alex Cejka,8
98,0,08835,Kris Cox,8
98,0,23338,David Gossett,8
98,0,21731,Freddie Jacobson,8
98,0,01577,Lee Janzen,8
98,0,06332,Neal Lancaster,8
98,0,08339,Spike McRoy,8
98,0,23497,Tag Ridings,8
98,0,02101,Joey Sindelar,8
98,0,02106,Chris Smith,8
98,0,21878,Mark Wilson,8
114,0,11123,Chris Couch,7
114,0,06522,Ernie Els,7
114,0,01329,Brad Faxon,7
114,0,01361,Dan Forsman,7
114,0,12823,Carlos Franco,7
114,0,01457,Jay Haas,7
114,0,24024,Zach Johnson,7
114,0,10733,Kent Jones,7
114,0,01619,Skip Kendall,7
114,0,01677,Tom Lehman,7
114,0,01707,Steve Lowery,7
114,0,12680,Shigeki Maruyama,7
114,0,12753,David Morland IV,7
114,0,25237,Kevin Muncrief,7
114,0,22046,Geoff Ogilvy,7
114,0,20663,Brenden Pappas,7
114,0,01941,Tom Pernice Jr.,7
114,0,02002,John Riegger,7
114,0,02010,Loren Roberts,7
114,0,22405,Justin Rose,7
114,0,20645,John Senden,7
114,0,02099,Scott Simpson,7
114,0,06613,Tommy Tolles,7
114,0,10423,Mike Weir,7
138,0,01035,Tommy Armour III,6
138,0,01042,Paul Azinger,6
138,0,07721,Pat Bates,6
138,0,23614,Rich Beem,6
138,0,20029,Notah Begay III,6
138,0,01203,Russ Cochran,6
138,0,06621,Joe Durant,6
138,0,06575,Dudley Hart,6
138,0,01527,Scott Hoch,6
138,0,20094,Jonathan Kaye,6
138,0,10860,Justin Leonard,6
138,0,01761,Len Mattiace,6
138,0,01797,Rocco Mediate,6
138,0,10912,Craig Perks,6
138,0,02214,Kirk Triplett,6
138,0,08793,Tiger Woods,6
154,0,06197,Michael Allen,5
154,0,20098,Stuart Appleby,5
154,0,20498,Briny Baird,5
154,0,23613,Rich Barcelo,5
154,0,21646,David Branshaw,5
154,0,23135,Tim Clark,5
154,0,01219,John Cook,5
154,0,10201,Matt Gogel,5
154,0,08537,J.P. Hayes,5
154,0,01724,Jeff Maggert,5
154,0,01887,Mark O'Meara,5
154,0,07939,Dan Olsen,5
