RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,06034,Marco Dawson,44.64,50,112,E
2,0,07867,Woody Austin,44.62,83,186,-0.20
3,0,20572,Rod Pampling,44.44,64,144,-0.20
4,0,22046,Geoff Ogilvy,44.00,44,100,-0.09
5,0,01945,Kenny Perry,43.75,84,192,-0.13
6,0,20645,John Senden,43.60,75,172,+0.07
7,0,20663,Brenden Pappas,43.33,52,120,+0.08
8,0,06197,Michael Allen,42.94,73,170,-0.19
9,0,26695,Michael Letzig,42.50,68,160,-0.13
10,0,27561,Nick Flanagan,42.35,72,170,E
11,0,27120,Troy Matteson,42.02,79,188,-0.08
12,0,24138,Ian Poulter,41.67,30,72,-0.17
13,0,01577,Lee Janzen,41.36,67,162,-0.19
14,0,20105,Jeff Gove,41.30,38,92,+0.05
15,0,24912,Will MacKenzie,41.13,51,124,-0.06
16,0,12705,Cliff Kresge,41.03,64,156,-0.11
17,0,27613,David Lutterus,40.95,43,105,+0.14
18,0,01766,Billy Mayfair,40.91,81,198,-0.12
19,0,28780,Nicholas Thompson,40.78,84,206,-0.14
20,0,20229,Stewart Cink,40.58,56,138,-0.32
21,0,23353,J.J. Henry,40.57,86,212,-0.15
22,0,01677,Tom Lehman,40.24,33,82,-0.18
23,0,21209,Sergio Garcia,40.18,45,112,-0.29
24,0,10885,Robert Allenby,40.11,73,182,-0.26
25,0,24227,Justin Bolli,40.00,64,160,+0.16
26,0,24925,Jonathan Byrd,39.87,63,158,-0.11
27,0,20104,Ken Duke,39.73,89,224,-0.12
28,0,20098,Stuart Appleby,39.71,54,136,+0.02
29,0,06527,Steve Stricker,39.66,46,116,-0.13
30,0,01810,Phil Mickelson,39.52,49,124,-0.27
31,0,01553,John Huston,39.42,41,104,-0.17
32,0,22371,Aaron Baddeley,39.34,48,122,-0.23
33,0,23788,D.J. Trahan,39.29,66,168,-0.12
33,0,10425,Jay Williamson,39.29,66,168,+0.06
35,0,06595,Kevin Sutherland,38.83,73,188,-0.15
36,0,08537,J.P. Hayes,38.81,52,134,-0.08
37,0,20574,Mathew Goggin,38.51,67,174,-0.10
38,0,21805,Harrison Frazar,38.46,50,130,+0.04
39,0,24924,Bill Haas,38.42,73,190,+0.05
40,0,26289,Boo Weekley,38.41,53,138,-0.09
41,0,01226,Fred Couples,38.39,43,112,+0.09
42,0,23614,Rich Beem,38.10,64,168,-0.02
42,0,20157,Retief Goosen,38.10,32,84,-0.19
44,0,01035,Tommy Armour III,38.03,54,142,-0.17
45,0,26668,Marc Turnesa,37.95,63,166,-0.06
46,0,23325,Vaughn Taylor,37.88,75,198,-0.19
47,0,11032,Frank Lickliter II,37.85,81,214,-0.10
48,0,26679,Kevin Stadler,37.82,59,156,-0.10
49,0,12782,Tim Herron,37.63,70,186,-0.03
50,0,12660,Jesper Parnevik,37.50,60,160,-0.18
50,0,22548,Patrick Sheehan,37.50,84,224,-0.05
52,0,24663,Y.E. Yang,37.36,65,174,-0.09
53,0,25345,Carl Pettersson,37.25,76,204,-0.13
54,0,01724,Jeff Maggert,37.21,64,172,-0.16
55,0,10875,Todd Demsey,37.18,58,156,-0.02
56,0,24502,Adam Scott,37.14,26,70,-0.19
57,0,06567,Vijay Singh,37.12,49,132,-0.16
58,0,27214,Kevin Streelman,37.02,77,208,-0.08
59,0,27963,Chris Stroud,36.99,54,146,-0.07
60,0,12510,Chad Campbell,36.93,65,176,-0.23
61,0,23541,Ben Crane,36.88,59,160,-0.15
61,0,01313,Steve Elkington,36.88,59,160,-0.05
63,0,24490,George McNeill,36.84,70,190,-0.01
64,0,25900,Lucas Glover,36.78,64,174,-0.03
65,0,06004,Stephen Ames,36.76,50,136,-0.10
66,0,23621,Rory Sabbatini,36.72,47,128,+0.11
67,0,23048,Eric Axley,36.67,77,210,-0.01
68,0,02206,David Toms,36.61,41,112,-0.07
69,0,23623,Bo Van Pelt,36.60,71,194,-0.07
70,0,10809,Jim Furyk,36.54,57,156,-0.18
70,0,01473,Todd Hamilton,36.54,57,156,-0.25
72,0,07749,Brett Quigley,36.49,54,148,-0.19
73,0,26596,Ryan Moore,36.43,51,140,-0.14
74,0,02223,Bob Tway,36.29,45,124,-0.22
75,0,25562,Andres Romero,36.27,37,102,+0.05
76,0,01948,Tim Petrovic,36.21,63,174,-0.13
77,0,23125,Brad Elder,36.07,44,122,-0.14
78,0,20160,Charlie Wi,36.02,67,186,-0.12
79,0,24361,Pat Perez,35.98,59,164,-0.17
80,0,12823,Carlos Franco,35.82,48,134,-0.15
81,0,26951,Johnson Wagner,35.81,53,148,-0.28
82,0,26300,Matt Jones,35.71,65,182,+0.09
83,0,19803,Ryan Armour,35.54,59,166,-0.14
84,0,26631,Cody Freeman,35.48,44,124,+0.05
85,0,24781,Hunter Mahan,35.33,53,150,-0.17
86,0,28158,Steve Marino,35.32,77,218,-0.13
87,0,23797,Brett Rumford,35.29,48,136,-0.08
88,0,01320,Bob Estes,35.23,62,176,-0.13
89,0,22806,Doug LaBelle II,35.19,38,108,-0.08
90,0,21878,Mark Wilson,35.05,75,214,-0.16
