RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,07547,Craig Kanada,50.00,59,118,+0.02
2,0,01139,Olin Browne,48.00,72,150,+0.01
3,0,06643,Paul Goydos,45.83,66,144,+0.05
4,0,22348,Nick O'Hern,45.14,65,144,-0.15
5,0,22293,Heath Slocum,44.44,80,180,-0.11
6,0,01142,Bart Bryant,44.37,63,142,+0.13
7,0,23135,Tim Clark,44.16,68,154,-0.01
8,0,25349,Tim Wilkinson,43.68,76,174,-0.05
9,0,06012,Greg Kraft,42.45,45,106,-0.18
10,0,19846,Brian Gay,41.67,75,180,-0.20
11,0,20623,Gavin Coles,41.30,38,92,+0.08
12,0,24024,Zach Johnson,40.97,59,144,-0.12
13,0,20382,Stephen Leaney,40.82,40,98,-0.03
14,0,23108,Matt Kuchar,40.79,62,152,+0.08
15,0,19913,Ron Whittaker,40.63,39,96,-0.03
16,0,26476,Chez Reavie,40.43,76,188,-0.12
17,0,01677,Tom Lehman,40.24,33,82,+0.09
18,0,27060,John Mallinger,40.23,70,174,-0.09
19,0,06575,Dudley Hart,40.00,56,140,-0.04
20,0,02239,Scott Verplank,39.86,55,138,-0.11
21,0,12826,Paul Claxton,39.47,45,114,-0.04
22,0,08385,Omar Uresti,39.29,55,140,+0.04
23,0,12602,Dean Wilson,38.89,77,198,-0.09
24,0,06251,Chris DiMarco,37.95,63,166,-0.13
25,0,08931,Glen Day,37.93,44,116,E
26,0,12680,Shigeki Maruyama,37.78,34,90,-0.26
27,0,20443,Jin Park,37.66,58,154,-0.03
28,0,25720,Chad Collins,37.12,49,132,E
29,0,25396,Kevin Na,37.11,72,194,E
30,0,01577,Lee Janzen,37.04,60,162,+0.18
31,0,26500,Alejandro Cañizares,36.36,32,88,+0.13
32,0,21753,Brian Davis,36.11,78,216,-0.19
32,0,06522,Ernie Els,36.11,26,72,+0.12
