RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,25804,Bubba Watson,315.1,59870,190
2,0,24358,Robert Garrigus,311.0,55988,180
3,0,27141,J.B. Holmes,310.3,52749,170
4,0,30925,Dustin Johnson,309.7,56978,184
5,0,21633,Steve Allan,303.2,30316,100
6,0,23497,Tag Ridings,303.0,53320,176
7,0,27095,Nick Watney,302.9,58150,192
8,0,24502,Adam Scott,302.1,29607,98
9,0,01706,Davis Love III,301.3,47005,156
10,0,23349,Charles Warren,301.1,47573,158
11,0,29718,Anthony Kim,300.9,48741,162
12,0,12716,Charley Hoffman,300.8,55346,184
13,0,20848,Ángel Cabrera,300.2,30620,102
14,0,21805,Harrison Frazar,299.9,38986,130
15,0,22892,Jason Gore,299.7,56344,188
16,0,01226,Fred Couples,299.6,35952,120
16,0,25594,Travis Perkins,299.6,28164,94
18,0,25364,Paul Casey,299.2,31119,104
19,0,25562,Andres Romero,299.1,40076,134
20,0,27933,John Merrick,299.0,53824,180
21,0,06573,Brandt Jobe,298.8,31077,104
22,0,23540,Jason Allred,298.6,34041,114
23,0,25900,Lucas Glover,298.4,54317,182
24,0,30750,Tommy Gainey,298.3,31027,104
25,0,06567,Vijay Singh,297.8,46464,156
26,0,28475,Jeff Overton,297.6,58915,198
27,0,28089,Jason Day,297.4,48186,162
28,0,20229,Stewart Cink,296.9,48103,162
29,0,24924,Bill Haas,296.7,56377,190
29,0,23157,Richard Johnson,296.7,44508,150
31,0,27936,Martin Laird,296.6,54572,184
32,0,20766,Padraig Harrington,296.3,29625,100
33,0,01945,Kenny Perry,296.0,57427,194
34,0,20574,Mathew Goggin,295.9,53852,182
35,0,01810,Phil Mickelson,295.7,46128,156
36,0,28780,Nicholas Thompson,295.4,63222,214
36,0,25632,Jimmy Walker,295.4,38397,130
38,0,20378,Mathias Grönberg,295.2,49010,166
38,0,27120,Troy Matteson,295.2,55502,188
40,0,23409,James Driscoll,295.0,46613,158
40,0,24490,George McNeill,295.0,57227,194
42,0,20663,Brenden Pappas,294.9,35392,120
43,0,21209,Sergio Garcia,294.6,41247,140
44,0,20850,Daniel Chopra,294.2,48837,166
