RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,40026,Daniel Berger,66.89,602,9
2,0,32640,Troy Merritt,67.71,474,7
3,0,21961,Charles Howell III,67.94,1223,18
4,0,28237,Rory McIlroy,68.00,816,12
5,0,25364,Paul Casey,68.08,817,12
6,0,27064,Jhonattan Vegas,68.20,1023,15
7,0,46435,Austin Cook,68.25,819,12
8,0,34046,Jordan Spieth,68.28,1229,18
9,0,23108,Matt Kuchar,68.31,1093,16
10,0,33448,Justin Thomas,68.33,1025,15
11,0,27936,Martin Laird,68.40,1368,20
12,0,33141,Keegan Bradley,68.42,821,12
13,0,34363,Tyrrell Hatton,68.50,411,6
13,0,39324,J.J. Spaun,68.50,959,14
15,0,24024,Zach Johnson,68.71,481,7
16,0,39546,Keith Mitchell,68.72,1237,18
17,0,34021,Bud Cauley,68.73,1031,15
18,0,35450,Patrick Cantlay,68.83,826,12
19,0,34360,Patrick Reed,68.84,1308,19
20,0,29221,Webb Simpson,68.86,964,14
21,0,24502,Adam Scott,68.90,689,10
22,0,30925,Dustin Johnson,68.92,896,13
23,0,49766,Hank Lebioda,68.93,965,14
24,0,46970,Jon Rahm,69.00,897,13
25,0,36689,Brooks Koepka,69.06,1105,16
25,0,29908,C.T. Pan,69.06,1105,16
27,0,45486,Joaquin Niemann,69.12,1175,17
28,0,32839,Hideki Matsuyama,69.16,1314,19
29,0,40098,Matt Fitzpatrick,69.17,415,6
30,0,32102,Rickie Fowler,69.19,1107,16
30,0,25900,Lucas Glover,69.19,1107,16
30,0,26476,Chez Reavie,69.19,1107,16
33,0,39971,Sungjae Im,69.20,1730,25
34,0,27214,Kevin Streelman,69.23,900,13
34,0,49964,Aaron Wise,69.23,900,13
36,0,29478,Kevin Kisner,69.25,1108,16
36,0,25493,Nick Taylor,69.25,1385,20
38,0,49960,Sepp Straka,69.29,970,14
39,0,22405,Justin Rose,69.30,693,10
40,0,31646,Emiliano Grillo,69.33,1040,15
40,0,27649,Brandt Snedeker,69.33,1456,21
42,0,31323,Gary Woodland,69.38,1110,16
43,0,37455,Si Woo Kim,69.40,694,10
43,0,47993,Denny McCarthy,69.40,694,10
45,0,19803,Ryan Armour,69.43,972,14
45,0,33486,Roger Sloan,69.43,972,14
47,0,29535,Brice Garnett,69.45,764,11
47,0,26300,Matt Jones,69.45,1389,20
49,0,29725,Tony Finau,69.50,1251,18
49,0,10809,Jim Furyk,69.50,695,10
49,0,25818,Scott Piercy,69.50,834,12
52,0,32200,Roberto Castro,69.53,1182,17
52,0,26851,Marc Leishman,69.53,1043,15
54,0,34256,Andrew Putnam,69.55,765,11
55,0,47959,Bryson DeChambeau,69.56,1113,16
56,0,40009,Dominic Bozzelli,69.58,835,12
56,0,26499,Rafa Cabrera Bello,69.58,835,12
58,0,29926,Danny Lee,69.63,1323,19
59,0,28259,Sangmoon Bae,69.64,766,11
60,0,29420,Billy Horschel,69.67,1254,18
61,0,28089,Jason Day,69.69,906,13
61,0,30944,Jason Kokrak,69.69,1115,16
63,0,49298,Kramer Hickok,69.71,976,14
64,0,24925,Jonathan Byrd,69.73,767,11
65,0,49771,J.T. Poston,69.74,1325,19
66,0,34076,Joel Dahmen,69.75,1395,20
67,0,48081,Xander Schauffele,69.79,977,14
68,0,27330,Josh Teater,69.80,1047,15
69,0,47347,Adam Schenk,69.81,1466,21
70,0,45526,Abraham Ancer,69.88,1188,17
70,0,32150,Michael Thompson,69.88,1118,16
70,0,37189,Harold Varner III,69.88,1118,16
73,0,46402,Talor Gooch,69.89,629,9
73,0,24924,Bill Haas,69.89,1328,19
73,0,25572,Graeme McDowell,69.89,629,9
73,0,40115,Adam Svensson,69.89,1258,18
73,0,33419,Cameron Tringale,69.89,1328,19
73,0,25632,Jimmy Walker,69.89,629,9
79,0,48822,Sebastián Muñoz,69.90,1398,20
80,0,30911,Tommy Fleetwood,69.91,769,11
81,0,26951,Johnson Wagner,69.93,979,14
82,0,39977,Max Homa,69.95,1539,22
83,0,29268,Bronson Burgoon,70.00,980,14
83,0,45157,Cam Davis,70.00,1050,15
83,0,28775,Nate Lashley,70.00,840,12
83,0,46601,Trey Mullinax,70.00,840,12
83,0,26329,Louis Oosthuizen,70.00,700,10
83,0,24138,Ian Poulter,70.00,770,11
83,0,47128,Richy Werenski,70.00,910,13
83,0,32139,Danny Willett,70.00,490,7
91,0,34466,Peter Malnati,70.04,1611,23
92,0,35421,Brandon Harkins,70.05,1401,20
93,0,39327,Ben Silverman,70.06,1191,17
94,0,23325,Vaughn Taylor,70.07,1051,15
95,0,32058,José de Jesús Rodríguez,70.08,911,13
96,0,28679,Fabián Gómez,70.11,1262,18
97,0,23320,Ryan Palmer,70.15,912,13
98,0,25804,Bubba Watson,70.17,842,12
99,0,31420,Anirban Lahiri,70.18,772,11
100,0,34563,Chesson Hadley,70.19,1123,16
101,0,37340,Chase Wright,70.21,983,14
102,0,27095,Nick Watney,70.22,1264,18
103,0,31560,Brian Stuard,70.24,1756,25
104,0,35532,Tom Hoge,70.25,1405,20
105,0,35732,Wes Roach,70.29,1195,17
106,0,34099,Harris English,70.30,1406,20
106,0,26758,David Hearn,70.30,703,10
108,0,52372,Cameron Champ,70.33,1055,15
109,0,23621,Rory Sabbatini,70.35,1196,17
110,0,29974,Branden Grace,70.36,774,11
111,0,28252,Seamus Power,70.37,1337,19
112,0,36699,Patrick Rodgers,70.38,1126,16
113,0,29970,Dylan Frittelli,70.42,1338,19
114,0,27895,Jonas Blixt,70.46,916,13
115,0,49303,Anders Albertson,70.50,987,14
115,0,35506,Mackenzie Hughes,70.50,1269,18
115,0,29484,Peter Uihlein,70.50,987,14
118,0,34306,John Chin,70.53,1058,15
119,0,27129,Luke List,70.55,776,11
120,0,30191,Julián Etulain,70.56,1129,16
121,0,33418,Shawn Stefani,70.59,1200,17
122,0,35376,Roberto Díaz,70.60,706,10
122,0,37275,Sam Ryder,70.60,1412,20
124,0,29518,Brendan Steele,70.62,918,13
125,0,23353,J.J. Henry,70.63,565,8
125,0,36799,Stephan Jaeger,70.63,1342,19
127,0,37380,Curtis Luck,70.64,989,14
127,0,26596,Ryan Moore,70.64,989,14
127,0,47856,Seth Reeves,70.64,777,11
130,0,24361,Pat Perez,70.67,1272,18
130,0,34264,Hudson Swafford,70.67,424,6
132,0,34098,Russell Henley,70.69,1131,16
132,0,27974,Sung Kang,70.69,1131,16
134,0,29223,Sam Saunders,70.70,1414,20
134,0,35617,Martin Trainer,70.70,707,10
136,0,30110,Kyle Stanley,70.71,1202,17
137,0,33948,Byeong Hun An,70.73,1061,15
137,0,25686,Jason Dufner,70.73,1061,15
139,0,29479,Scott Brown,70.74,1344,19
140,0,19846,Brian Gay,70.78,1274,18
141,0,30978,Kiradech Aphibarnrat,70.79,991,14
142,0,33399,Adam Hadwin,70.82,779,11
142,0,27349,Alex Noren,70.82,779,11
144,0,27963,Chris Stroud,70.86,992,14
145,0,24781,Hunter Mahan,70.87,1063,15
146,0,33122,Russell Knox,70.88,567,8
147,0,27958,Ryan Blaum,70.90,1489,21
148,0,47990,Kyle Jones,70.92,922,13
149,0,46523,Joey Garber,70.93,993,14
149,0,30946,Alex Prugh,70.93,993,14
151,0,34261,Scott Langley,70.94,1277,18
151,0,34431,Robert Streb,70.94,1206,17
153,0,51766,Wyndham Clark,71.00,1136,16
153,0,31557,Jim Herman,71.00,426,6
153,0,25396,Kevin Na,71.00,497,7
156,0,35461,Beau Hossler,71.06,1208,17
157,0,46501,Ollie Schniederjans,71.08,924,13
158,0,35449,Adam Long,71.09,782,11
159,0,06522,Ernie Els,71.11,640,9
160,0,39997,Corey Conners,71.13,1067,15
160,0,27644,Brian Harman,71.13,1067,15
162,0,30786,Brady Schnell,71.19,1139,16
163,0,47504,Sam Burns,71.20,712,10
164,0,35891,Cameron Smith,71.21,997,14
165,0,21209,Sergio Garcia,71.22,641,9
166,0,35879,Kelly Kraft,71.25,1140,16
167,0,20472,Alex Cejka,71.33,1070,15
167,0,21731,Freddie Jacobson,71.33,856,12
169,0,25198,Francesco Molinari,71.38,571,8
169,0,21528,Henrik Stenson,71.38,571,8
171,0,36852,Jim Knous,71.46,929,13
172,0,30692,Scott Stallings,71.47,1215,17
173,0,32757,Patton Kizzire,71.58,859,12
173,0,33667,Carlos Ortiz,71.58,859,12
175,0,20572,Rod Pampling,71.67,430,6
176,0,37454,Whee Kim,71.83,1293,18
176,0,32333,Kevin Tway,71.83,862,12
178,0,32791,K.H. Lee,71.88,1150,16
179,0,12716,Charley Hoffman,71.93,1079,15
180,0,39954,Cody Gribble,72.15,938,13
181,0,45609,Tyler Duncan,72.17,1732,24
182,0,27556,Ted Potter Jr.,72.29,1012,14
183,0,22371,Aaron Baddeley,72.50,580,8
183,0,32816,Satoshi Kodaira,72.50,725,10
183,0,33410,Andrew Landry,72.50,1015,14
186,0,27141,J.B. Holmes,72.54,943,13
