RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,45157,Cam Davis,128' 2",81113' 9",633
2,0,32366,Kevin Chappell,127' 8",53113' 1",416
3,0,56278,Matthew Wolff,125' 7",40199' 2",320
4,0,33141,Keegan Bradley,123' 11",72378' 9",584
5,0,28237,Rory McIlroy,123' 4",51552' 6",418
6,0,32448,James Hahn,123' 3",70271' 7",570
7,0,39546,Keith Mitchell,122' 0",80889' 1",663
8,0,57366,Cameron Young,121' 3",82564' 7",681
9,0,30944,Jason Kokrak,121' 1",41539' 10",343
10,0,40250,Taylor Pendrith,119' 7",71767' 11",600
11,0,51890,Greyson Sigg,118' 5",85853' 3",725
11,0,47483,Will Zalatoris,118' 5",62427' 5",527
13,0,33486,Roger Sloan,117' 5",68212' 4",581
14,0,34255,Joseph Bramlett,117' 4",58085' 11",495
15,0,32102,Rickie Fowler,116' 9",60572' 8",519
16,0,35461,Beau Hossler,115' 8",67789' 11",586
17,0,51766,Wyndham Clark,114' 11",73405' 3",639
18,0,36799,Stephan Jaeger,114' 3",78161' 1",684
19,0,36689,Brooks Koepka,113' 8",34677' 5",305
20,0,30911,Tommy Fleetwood,113' 4",33998' 9",300
21,0,24924,Bill Haas,113' 2",69361' 0",613
22,0,10381,Curtis Thompson,112' 9",41933' 9",372
23,0,35450,Patrick Cantlay,112' 4",48425' 6",431
24,0,48117,Kurt Kitayama,111' 8",46354' 10",415
25,0,25198,Francesco Molinari,111' 7",43061' 2",386
26,0,34363,Tyrrell Hatton,111' 4",44189' 2",397
27,0,47995,Davis Riley,111' 0",81569' 2",735
28,0,46970,Jon Rahm,110' 11",50909' 3",459
29,0,27064,Jhonattan Vegas,110' 10",57518' 1",519
30,0,47504,Sam Burns,110' 7",64233' 9",581
31,0,39058,Lucas Herbert,110' 2",33924' 1",308
32,0,46601,Trey Mullinax,109' 2",70616' 10",647
33,0,48084,Wesley Bryan,108' 10",34402' 5",316
34,0,32640,Troy Merritt,108' 5",79581' 5",734
34,0,22056,Cameron Percy,108' 5",33707' 10",311
36,0,54421,Garrick Higgo,108' 4",34988' 9",323
37,0,31323,Gary Woodland,108' 3",49597' 0",458
38,0,29289,S.Y. Noh,108' 0",52711' 0",488
38,0,49960,Sepp Straka,108' 0",69110' 11",640
40,0,22405,Justin Rose,107' 11",34428' 1",319
41,0,28089,Jason Day,107' 10",51636' 6",479
41,0,45540,Jared Wolfe,107' 10",44208' 11",410
43,0,36852,Jim Knous,107' 9",37077' 4",344
44,0,35449,Adam Long,107' 6",79743' 6",742
