RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,56278,Matthew Wolff,204.0,65274.1,320
2,0,51766,Wyndham Clark,203.3,129928.0,639
3,0,28237,Rory McIlroy,202.7,84725.8,418
4,0,34255,Joseph Bramlett,202.4,100208.3,495
5,0,52372,Cameron Champ,201.9,81785.4,405
6,0,57366,Cameron Young,201.1,136944.0,681
7,0,39058,Lucas Herbert,200.1,61636.8,308
8,0,27064,Jhonattan Vegas,199.9,103755.9,519
9,0,40250,Taylor Pendrith,199.7,119847.4,600
10,0,48117,Kurt Kitayama,199.5,82812.0,415
11,0,46550,Brandon Hagy,198.5,112367.8,566
12,0,46970,Jon Rahm,198.4,91063.2,459
13,0,31323,Gary Woodland,198.3,90803.4,458
14,0,46601,Trey Mullinax,197.6,127832.2,647
14,0,47483,Will Zalatoris,197.6,104117.0,527
16,0,36689,Brooks Koepka,197.4,60202.7,305
17,0,54421,Garrick Higgo,197.1,63671.5,323
17,0,27129,Luke List,197.1,125188.4,635
19,0,48699,Callum Tarren,196.9,96884.2,492
20,0,10381,Curtis Thompson,196.6,73142.1,372
21,0,47504,Sam Burns,196.5,114153.6,581
21,0,30911,Tommy Fleetwood,196.5,58953.0,300
23,0,32366,Kevin Chappell,195.8,81457.8,416
24,0,35617,Martin Trainer,195.6,111881.5,572
25,0,45157,Cam Davis,195.3,123622.3,633
26,0,39546,Keith Mitchell,194.2,128770.4,663
27,0,47347,Adam Schenk,194.1,132384.9,682
28,0,27095,Nick Watney,193.2,102965.5,533
29,0,39977,Max Homa,193.1,127282.3,659
30,0,24502,Adam Scott,193.0,109241.6,566
31,0,29725,Tony Finau,192.4,120415.0,626
32,0,45540,Jared Wolfe,192.3,78851.1,410
33,0,32333,Kevin Tway,192.1,112785.1,587
34,0,30944,Jason Kokrak,192.0,65854.3,343
35,0,27139,David Skinns,191.9,88455.3,461
36,0,47988,Nick Hardy,191.8,76718.7,400
36,0,29518,Brendan Steele,191.8,115245.9,601
38,0,48081,Xander Schauffele,191.6,83555.1,436
39,0,35450,Patrick Cantlay,191.4,82513.4,431
40,0,37212,Paul Barjon,191.3,102177.6,534
40,0,46046,Scottie Scheffler,191.3,124346.3,650
42,0,33448,Justin Thomas,191.2,97136.0,508
43,0,32102,Rickie Fowler,191.0,99123.9,519
43,0,29970,Dylan Frittelli,191.0,129100.9,676
45,0,47995,Davis Riley,190.9,140345.0,735
45,0,34046,Jordan Spieth,190.9,105175.0,551
47,0,34264,Hudson Swafford,190.2,67154.2,353
48,0,45486,Joaquin Niemann,190.1,97879.9,515
49,0,26300,Matt Jones,189.9,93232.5,491
50,0,35461,Beau Hossler,189.8,111211.7,586
51,0,33141,Keegan Bradley,189.3,110532.2,584
