RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,32448,James Hahn,13.75,7836.15,570
2,0,23325,Vaughn Taylor,13.42,5139.36,383
3,0,51890,Greyson Sigg,13.05,9459.67,725
4,0,33141,Keegan Bradley,13.01,7599.45,584
5,0,26476,Chez Reavie,12.73,10156.67,798
6,0,24024,Zach Johnson,12.41,6885.02,555
7,0,24924,Bill Haas,12.38,7588.47,613
8,0,30944,Jason Kokrak,12.24,4197.32,343
9,0,32150,Michael Thompson,12.22,8990.97,736
10,0,25198,Francesco Molinari,12.21,4711.92,386
11,0,27895,Jonas Blixt,12.19,4925.38,404
12,0,22056,Cameron Percy,12.14,3775.87,311
13,0,29535,Brice Garnett,12.12,7247.53,598
13,0,35449,Adam Long,12.12,8996.73,742
15,0,39436,Joshua Creel,12.10,5009.38,414
15,0,22405,Justin Rose,12.10,3860.61,319
17,0,45157,Cam Davis,12.08,7649.50,633
17,0,30927,Brendon Todd,12.08,8071.94,668
19,0,47128,Richy Werenski,12.07,5550.64,460
20,0,49960,Sepp Straka,12.04,7702.74,640
21,0,27974,Sung Kang,11.99,6835.22,570
22,0,24925,Jonathan Byrd,11.96,4869.12,407
23,0,23108,Matt Kuchar,11.95,7060.49,591
24,0,32640,Troy Merritt,11.92,8751.45,734
25,0,32102,Rickie Fowler,11.86,6156.23,519
26,0,30926,Chris Kirk,11.84,7196.16,608
27,0,40162,Justin Lower,11.79,6061.49,514
28,0,27644,Brian Harman,11.78,8951.60,760
29,0,29221,Webb Simpson,11.75,4372.18,372
30,0,32366,Kevin Chappell,11.74,4881.98,416
31,0,29908,C.T. Pan,11.73,8031.88,685
32,0,34363,Tyrrell Hatton,11.68,4637.97,397
33,0,39546,Keith Mitchell,11.67,7733.91,663
33,0,49964,Aaron Wise,11.67,7933.10,680
35,0,29478,Kevin Kisner,11.66,5735.53,492
36,0,35461,Beau Hossler,11.64,6820.82,586
