RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,124.89,13113.95,105
2,0,46550,Brandon Hagy,124.58,24417.78,196
3,0,56278,Matthew Wolff,123.98,12522.33,101
4,0,57366,Cameron Young,123.68,24116.87,195
5,0,27129,Luke List,122.97,24840.31,202
6,0,39058,Lucas Herbert,122.94,10818.33,88
7,0,51766,Wyndham Clark,122.88,25313.07,206
8,0,34255,Joseph Bramlett,122.55,20221.20,165
9,0,31323,Gary Woodland,122.13,15510.28,127
10,0,10381,Curtis Thompson,121.63,14839.31,122
10,0,27064,Jhonattan Vegas,121.63,21529.36,177
12,0,48699,Callum Tarren,121.56,15559.16,128
13,0,28237,Rory McIlroy,121.53,15069.89,124
14,0,46601,Trey Mullinax,121.38,27796.34,229
15,0,35617,Martin Trainer,121.18,23873.00,197
16,0,46970,Jon Rahm,120.71,14606.09,121
17,0,36689,Brooks Koepka,120.61,11457.63,95
18,0,47347,Adam Schenk,120.60,22913.07,190
19,0,40250,Taylor Pendrith,120.56,26523.28,220
20,0,24502,Adam Scott,120.43,21918.32,182
21,0,39546,Keith Mitchell,120.19,21393.37,178
22,0,32333,Kevin Tway,120.09,26780.68,223
23,0,47483,Will Zalatoris,119.80,19767.26,165
24,0,48081,Xander Schauffele,119.78,17967.34,150
25,0,48117,Kurt Kitayama,119.69,14123.79,118
26,0,39977,Max Homa,119.67,24891.51,208
27,0,54421,Garrick Higgo,119.41,10149.83,85
28,0,45486,Joaquin Niemann,119.38,19697.49,165
29,0,46046,Scottie Scheffler,119.24,27663.69,232
30,0,27095,Nick Watney,119.18,24671.17,207
31,0,51894,Vince Whaley,119.16,26214.72,220
32,0,45540,Jared Wolfe,119.14,16084.18,135
33,0,29970,Dylan Frittelli,118.96,29739.18,250
34,0,29725,Tony Finau,118.93,26521.97,223
35,0,37212,Paul Barjon,118.91,24020.31,202
36,0,27139,David Skinns,118.73,18996.35,160
37,0,34264,Hudson Swafford,118.51,18369.14,155
38,0,48822,Sebastián Muñoz,118.23,25064.92,212
39,0,47504,Sam Burns,118.21,24586.92,208
40,0,36699,Patrick Rodgers,118.16,27176.97,230
41,0,30911,Tommy Fleetwood,118.14,9569.70,81
42,0,40098,Matt Fitzpatrick,118.13,11813.28,100
43,0,45157,Cam Davis,118.11,23740.47,201
44,0,32366,Kevin Chappell,118.10,17123.99,145
45,0,47856,Seth Reeves,118.08,20428.24,173
46,0,28252,Seamus Power,117.85,18619.64,158
47,0,47529,Mito Pereira,117.83,28985.22,246
48,0,21961,Charles Howell III,117.80,18023.24,153
49,0,26300,Matt Jones,117.75,17897.29,152
50,0,32662,Michael Gligic,117.55,21747.51,185
51,0,46442,Maverick McNealy,117.45,27599.58,235
52,0,46717,Viktor Hovland,117.27,16300.73,139
53,0,30944,Jason Kokrak,117.25,14186.93,121
54,0,49947,Taylor Moore,117.03,30661.37,262
55,0,27349,Alex Noren,117.01,13222.36,113
56,0,46402,Talor Gooch,117.00,17784.10,152
57,0,51634,Sahith Theegala,116.89,34831.87,298
58,0,32102,Rickie Fowler,116.87,17531.24,150
59,0,28089,Jason Day,116.86,17528.83,150
60,0,47995,Davis Riley,116.74,26967.88,231
61,0,40006,Erik van Rooyen,116.66,11782.29,101
62,0,47988,Nick Hardy,116.65,19013.94,163
63,0,33448,Justin Thomas,116.62,20174.60,173
64,0,35310,Lanto Griffin,116.56,20631.36,177
65,0,29518,Brendan Steele,116.52,20623.94,177
65,0,33419,Cameron Tringale,116.52,24236.04,208
67,0,29926,Danny Lee,116.51,12116.69,104
68,0,46340,Alex Smalley,116.40,27354.07,235
69,0,35450,Patrick Cantlay,116.34,14542.17,125
70,0,30692,Scott Stallings,116.21,26727.48,230
71,0,34363,Tyrrell Hatton,116.12,9522.07,82
72,0,46414,Aaron Rai,116.11,27285.77,235
73,0,35461,Beau Hossler,116.08,19153.33,165
74,0,39997,Corey Conners,116.05,21933.98,189
75,0,28114,Dawie van der Walt,115.98,19717.37,170
76,0,24361,Pat Perez,115.94,16115.55,139
77,0,34046,Jordan Spieth,115.91,18546.28,160
78,0,26851,Marc Leishman,115.83,18995.94,164
78,0,23320,Ryan Palmer,115.83,18763.71,162
80,0,36871,Matt NeSmith,115.81,23857.76,206
81,0,29289,S.Y. Noh,115.74,20370.49,176
82,0,53165,Doc Redman,115.64,23474.40,203
83,0,20229,Stewart Cink,115.59,16298.40,141
83,0,32839,Hideki Matsuyama,115.59,19187.67,166
85,0,34431,Robert Streb,115.52,28649.88,248
86,0,49964,Aaron Wise,115.47,22632.49,196
87,0,12716,Charley Hoffman,115.33,23296.39,202
88,0,48084,Wesley Bryan,115.25,10372.90,90
89,0,29974,Branden Grace,115.20,10022.68,87
90,0,33597,Harry Higgs,115.19,26032.71,226
91,0,37189,Harold Varner III,115.11,19798.97,172
92,0,34360,Patrick Reed,115.05,15991.62,139
93,0,39971,Sungjae Im,115.04,26344.56,229
