RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,01887,Mark O'Meara,12' 10",1607.000,125,55,4"
2,0,21878,Mark Wilson,11' 9",2113.500,180,68,1"
3,0,06809,Bob Burns,11' 7",2664.250,230,52,7"
3,0,01948,Tim Petrovic,11' 7",3120.667,270,60,5"
5,0,07721,Pat Bates,11' 5",3164.667,277,51,3"
5,0,06515,Shaun Micheel,11' 5",2647.167,232,60,5"
5,0,22548,Patrick Sheehan,11' 5",3934.500,345,47,7"
8,0,01378,David Frost,11' 4",2471.667,218,56,6"
9,0,12753,David Morland IV,11' 2",2204.667,197,49,9"
10,0,23613,Rich Barcelo,11' 1",2013.500,182,46,4"
10,0,23983,Luke Donald,11' 1",2213.333,200,43,9"
10,0,01329,Brad Faxon,11' 1",2508.917,226,48,4"
10,0,01361,Dan Forsman,11' 1",2107.250,190,65,5"
10,0,01926,Steve Pate,11' 1",1959.417,177,45,6"
15,0,06078,Esteban Toledo,11' 0",2359.500,215,52,5"
16,0,01203,Russ Cochran,10' 11",1843.750,169,69,1
16,0,02223,Bob Tway,10' 11",2268.167,208,52,4"
18,0,23338,David Gossett,10' 10",1245.000,115,39,3"
18,0,07749,Brett Quigley,10' 10",3153.583,292,59,4"
18,0,02099,Scott Simpson,10' 10",1678.583,155,33,7"
21,0,01035,Tommy Armour III,10' 9",2513.667,234,53,5"
21,0,01157,Tom Byrum,10' 9",2451.833,228,53,7"
21,0,22621,Ben Curtis,10' 9",1307.833,122,45,5"
21,0,23108,Matt Kuchar,10' 9",2579.083,239,68,1"
21,0,12682,Hirofumi Miyase,10' 9",1649.750,153,72,1"
21,0,20127,Chris Riley,10' 9",1813.083,169,52,7"
27,0,20382,Stephen Leaney,10' 8",1715.667,161,63,1
27,0,01928,Corey Pavin,10' 8",2233.500,209,35,4"
27,0,06527,Steve Stricker,10' 8",2264.167,213,72,1"
30,0,08931,Glen Day,10' 7",3173.083,301,44,4"
30,0,01313,Steve Elkington,10' 7",1877.833,177,44,2"
30,0,12645,Brent Geiberger,10' 7",2967.083,280,51,6"
30,0,01968,Nick Price,10' 7",1149.167,109,38,3"
