RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,28089,Jason Day,2735,3,9,0
2,0,30925,Dustin Johnson,2701,2,12,34
3,0,24502,Adam Scott,2063,2,5,672
4,0,33122,Russell Knox,2001,2,4,734
5,0,34046,Jordan Spieth,1965,2,6,770
6,0,27649,Brandt Snedeker,1717,1,7,1018
7,0,34360,Patrick Reed,1575,0,9,1160
8,0,01810,Phil Mickelson,1532,0,6,1203
9,0,25396,Kevin Na,1529,0,8,1206
10,0,33448,Justin Thomas,1512,1,5,1223
11,0,29478,Kevin Kisner,1491,1,6,1244
12,0,32839,Hideki Matsuyama,1468,1,7,1267
13,0,32366,Kevin Chappell,1422,0,6,1313
14,0,21528,Henrik Stenson,1387,1,4,1348
15,0,37455,Si Woo Kim,1382,1,4,1353
16,0,31202,William McGirt,1360,1,7,1375
17,0,25632,Jimmy Walker,1352,1,4,1383
18,0,23108,Matt Kuchar,1349,0,9,1386
19,0,36689,Brooks Koepka,1348,0,7,1387
20,0,21209,Sergio Garcia,1306,1,4,1429
21,0,25686,Jason Dufner,1273,1,5,1462
22,0,40026,Daniel Berger,1254,1,5,1481
23,0,26596,Ryan Moore,1235,1,6,1500
24,0,25804,Bubba Watson,1235,1,3,1500
25,0,29974,Branden Grace,1187,1,6,1548
26,0,46440,Smylie Kaufman,1181,1,4,1554
27,0,25572,Graeme McDowell,1142,1,5,1593
28,0,32102,Rickie Fowler,1131,0,7,1604
29,0,24924,Bill Haas,1129,0,6,1606
30,0,26331,Charl Schwartzel,1127,1,3,1608
31,0,27064,Jhonattan Vegas,1119,1,5,1616
32,0,31646,Emiliano Grillo,1109,1,1,1626
33,0,12716,Charley Hoffman,1087,1,1,1648
34,0,25818,Scott Piercy,1077,0,3,1658
35,0,34099,Harris English,1032,0,3,1703
36,0,28237,Rory McIlroy,973,0,6,1762
37,0,25834,Daniel Summerhays,963,0,2,1772
38,0,27141,J.B. Holmes,956,0,5,1779
39,0,21961,Charles Howell III,931,0,5,1804
40,0,28679,Fabián Gómez,924,1,3,1811
41,0,31557,Jim Herman,923,1,2,1812
42,0,31323,Gary Woodland,907,0,2,1828
43,0,29461,Jamie Lovemark,904,0,5,1831
44,0,32448,James Hahn,878,1,2,1857
45,0,22371,Aaron Baddeley,874,1,5,1861
46,0,29725,Tony Finau,864,1,2,1871
47,0,34409,David Lingmerth,859,0,2,1876
48,0,23983,Luke Donald,849,0,2,1886
49,0,34262,Jon Curran,840,0,3,1895
50,0,24024,Zach Johnson,833,0,5,1902
51,0,22405,Justin Rose,829,0,5,1906
52,0,29476,Kyle Reifers,821,0,5,1914
53,0,32200,Roberto Castro,810,0,3,1925
54,0,30711,Colt Knost,803,0,3,1932
55,0,29518,Brendan Steele,791,0,2,1944
56,0,26329,Louis Oosthuizen,769,0,2,1966
57,0,26851,Marc Leishman,765,0,2,1970
58,0,32757,Patton Kizzire,760,0,5,1975
59,0,20472,Alex Cejka,754,0,4,1981
60,0,30926,Chris Kirk,749,0,2,1986
61,0,33413,Ben Martin,741,0,2,1994
62,0,36699,Patrick Rodgers,739,0,3,1996
63,0,23320,Ryan Palmer,731,0,2,2004
64,0,23325,Vaughn Taylor,726,1,1,2009
65,0,30944,Jason Kokrak,721,0,2,2014
66,0,24846,Ricky Barnes,718,0,4,2017
67,0,21731,Freddie Jacobson,714,0,3,2021
68,0,25364,Paul Casey,710,0,4,2025
69,0,29222,Billy Hurley III,710,1,1,2025
70,0,24357,K.J. Choi,705,0,2,2030
71,0,29926,Danny Lee,699,0,2,2036
72,0,29420,Billy Horschel,694,0,4,2041
73,0,27214,Kevin Streelman,692,0,2,2043
74,0,08075,Jerry Kelly,692,0,2,2043
75,0,32139,Danny Willett,691,1,3,2044
76,0,31560,Brian Stuard,680,1,1,2055
77,0,24507,Jason Bohn,667,0,3,2068
78,0,29221,Webb Simpson,666,0,2,2069
79,0,23800,Bryce Molder,652,0,5,2083
80,0,27466,Spencer Levin,644,0,2,2091
81,0,29479,Scott Brown,643,0,4,2092
82,0,37189,Harold Varner III,643,0,4,2092
83,0,34098,Russell Henley,642,0,4,2093
84,0,33399,Adam Hadwin,638,0,2,2097
85,0,12510,Chad Campbell,633,0,3,2102
86,0,26476,Chez Reavie,630,0,2,2105
87,0,33204,Shane Lowry,615,0,2,2120
88,0,27644,Brian Harman,607,0,2,2128
89,0,27936,Martin Laird,605,0,3,2130
90,0,34264,Hudson Swafford,603,0,1,2132
91,0,26758,David Hearn,599,0,1,2136
92,0,26951,Johnson Wagner,598,0,3,2137
93,0,34466,Peter Malnati,596,1,3,2139
94,0,10809,Jim Furyk,591,0,3,2144
95,0,34431,Robert Streb,590,0,1,2145
96,0,25900,Lucas Glover,587,0,2,2148
97,0,06567,Vijay Singh,586,0,2,2149
98,0,06527,Steve Stricker,583,0,3,2152
99,0,20645,John Senden,577,0,1,2158
100,0,27895,Jonas Blixt,572,0,2,2163
101,0,29485,Brett Stegmaier,559,0,3,2176
102,0,24358,Robert Garrigus,558,0,3,2177
103,0,40058,Zac Blair,553,0,2,2182
104,0,28132,Tyrone Van Aswegen,550,0,2,2185
105,0,25198,Francesco Molinari,550,0,3,2185
106,0,33141,Keegan Bradley,545,0,2,2190
107,0,33419,Cameron Tringale,539,0,1,2196
108,0,24140,Sean O'Hair,536,0,1,2199
109,0,35300,Andrew Loupe,535,0,4,2200
110,0,26289,Boo Weekley,532,0,2,2203
111,0,34174,John Huh,526,0,3,2209
112,0,35545,Blayne Barber,520,0,1,2215
113,0,36801,Mark Hubbard,503,0,2232
114,0,23541,Ben Crane,500,0,1,2235
115,0,39975,Michael Kim,500,0,2235
116,0,30110,Kyle Stanley,497,0,2238
117,0,31420,Anirban Lahiri,494,0,1,2241
118,0,31416,Derek Fathauer,491,0,1,2244
119,0,27436,Graham DeLaet,487,0,3,2248
120,0,32640,Troy Merritt,482,0,1,2253
121,0,27129,Luke List,481,0,2,2254
122,0,27974,Sung Kang,473,0,2,2262
123,0,33418,Shawn Stefani,459,0,1,2276
124,0,02206,David Toms,455,0,1,2280
125,0,29289,S.Y. Noh,454,0,1,2281
126,0,26300,Matt Jones,445,0,2290
127,0,37454,Whee Kim,444,0,2,2291
128,0,30692,Scott Stallings,443,0,1,2292
129,0,25493,Nick Taylor,441,0,1,2294
130,0,28158,Steve Marino,429,0,2,2306
131,0,29268,Bronson Burgoon,428,0,2307
132,0,25349,Tim Wilkinson,426,0,1,2309
133,0,33461,Morgan Hoffmann,424,0,1,2311
134,0,27963,Chris Stroud,412,0,1,2323
