RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,06567,Vijay Singh,12.97,777.91,-486.36,707.57
2,0,08793,Tiger Woods,11.90,476.02,-509.58,402.52
3,0,06522,Ernie Els,11.12,589.26,-431.26,574.68
4,0,20157,Retief Goosen,7.74,410.03,-294.07,354.65
5,0,01810,Phil Mickelson,7.22,346.73,-261.97,413.46
6,0,20766,Padraig Harrington,5.78,289.03,-238.13,268.21
7,0,01706,Davis Love III,5.61,263.75,-307.61,202.58
8,0,10423,Mike Weir,5.49,241.35,-260.90,201.62
9,0,21209,Sergio Garcia,5.46,262.30,-166.71,285.37
10,0,20229,Stewart Cink,4.81,278.80,-130.90,285.04
11,0,24502,Adam Scott,4.69,244.01,-178.78,243.33
12,0,19958,Miguel Angel Jiménez,4.40,224.50,-82.56,231.07
13,0,20098,Stuart Appleby,4.29,244.81,-206.17,220.41
14,0,19825,Darren Clarke,4.26,247.32,-193.77,202.45
15,0,06251,Chris DiMarco,3.96,213.74,-173.42,217.18
16,0,01473,Todd Hamilton,3.77,192.03,-79.94,204.94
17,3,06004,Stephen Ames,3.71,200.36,-90.93,219.84
18,1,12510,Chad Campbell,3.70,207.36,-187.39,156.48
19,-1,01945,Kenny Perry,3.68,180.20,-211.11,122.23
20,1,02206,David Toms,3.57,178.72,-220.75,129.85
21,-4,10809,Jim Furyk,3.52,144.26,-251.67,41.94
22,0,02239,Scott Verplank,3.52,175.82,-139.21,155.20
23,0,20396,Lee Westwood,3.35,191.05,-78.82,153.86
24,0,24357,K.J. Choi,3.28,213.08,-176.46,179.44
25,0,10944,Thomas Bjørn,3.27,163.60,-129.94,127.94
26,0,01457,Jay Haas,3.25,155.84,-124.13,138.67
27,0,12680,Shigeki Maruyama,3.11,171.09,-131.17,168.74
28,0,23983,Luke Donald,3.06,171.39,-82.94,188.92
29,1,25364,Paul Casey,3.02,150.77,-133.09,123.50
30,1,20848,Ángel Cabrera,3.00,126.03,-98.22,132.62
31,-2,01226,Fred Couples,2.99,119.43,-97.57,108.75
32,0,10885,Robert Allenby,2.89,167.66,-170.60,125.24
33,0,08075,Jerry Kelly,2.89,170.26,-156.63,159.11
34,0,23621,Rory Sabbatini,2.78,147.21,-96.21,151.41
35,1,24138,Ian Poulter,2.72,162.93,-109.27,136.48
36,2,20634,Peter Lonard,2.71,170.62,-146.80,125.60
37,2,07457,Steve Flesch,2.70,175.50,-136.14,171.00
38,-1,21731,Freddie Jacobson,2.62,123.24,-126.93,84.63
39,-4,10860,Justin Leonard,2.62,125.64,-152.69,114.13
40,0,20433,Mark Hensby,2.62,138.62,-33.47,158.45
41,0,20608,David Howell,2.57,141.49,-56.32,134.97
42,0,24024,Zach Johnson,2.56,130.47,-42.77,145.17
43,0,01249,John Daly,2.55,122.46,-62.35,157.79
44,0,12662,Thomas Levet,2.51,152.82,-77.78,160.95
45,1,20094,Jonathan Kaye,2.47,128.26,-133.16,104.61
46,-1,22348,Nick O'Hern,2.44,126.77,-64.90,121.01
