RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,01823,Larry Mize,1.95,170,87
2,0,01876,Greg Norman,1.97,118,60
3,0,01042,Paul Azinger,2.01,197,98
4,0,01996,Mike Reid,2.03,134,66
5,0,02100,Tim Simpson,2.04,192,94
6,0,02159,Curtis Strange,2.10,151,72
7,0,01527,Scott Hoch,2.15,189,88
8,0,01766,Billy Mayfair,2.18,238,109
8,0,01837,Gil Morgan,2.18,185,85
10,0,01203,Russ Cochran,2.19,210,96
10,0,01569,Peter Jacobsen,2.19,177,81
12,0,01633,Tom Kite,2.21,190,86
12,0,02010,Loren Roberts,2.21,247,112
12,0,02256,Tom Watson,2.21,126,57
15,0,01928,Corey Pavin,2.22,233,105
16,0,01444,Ken Green,2.25,196,87
17,0,06332,Neal Lancaster,2.26,167,74
18,0,02242,Lanny Wadkins,2.27,186,82
19,0,02148,Ray Stewart,2.28,217,95
20,0,01226,Fred Couples,2.29,172,75
20,0,01725,John Mahaffey,2.29,220,96
20,0,02186,Brian Tennyson,2.29,220,96
23,0,02241,Bobby Wadkins,2.31,238,103
24,0,01049,Ian Baker-Finch,2.32,188,81
25,0,01690,Bruce Lietzke,2.33,142,61
26,0,01133,Billy Ray Brown,2.34,194,83
26,0,01559,Hale Irwin,2.34,143,61
26,0,01599,Steve Jones,2.34,178,76
29,0,01235,Ben Crenshaw,2.35,160,68
29,0,01887,Mark O'Meara,2.35,200,85
29,0,01968,Nick Price,2.35,230,98
29,0,02049,Gene Sauers,2.35,228,97
33,0,01096,Phil Blackmar,2.36,215,91
33,0,01323,Brad Fabel,2.36,205,87
35,0,01320,Bob Estes,2.37,220,93
35,0,02321,Fuzzy Zoeller,2.37,168,71
35,0,02322,Richard Zokol,2.37,159,67
38,0,01510,Nolan Henke,2.39,210,88
38,0,01943,Chris Perry,2.39,229,96
38,0,02133,Craig Stadler,2.39,158,66
41,0,01507,Webb Heintzelman,2.40,230,96
42,0,02099,Scott Simpson,2.41,152,63
43,0,01313,Steve Elkington,2.42,232,96
43,0,01577,Lee Janzen,2.42,235,97
43,0,01945,Kenny Perry,2.42,179,74
46,0,01060,Dave Barr,2.43,231,95
46,0,01132,Mark Brooks,2.43,275,113
48,0,02225,Howard Twitty,2.45,233,95
49,0,06142,Mitch Adcock,2.46,150,61
49,0,01284,Mike Donald,2.46,280,114
51,0,01960,Don Pooley,2.47,185,75
51,0,01975,Tom Purtzer,2.47,190,77
51,0,02214,Kirk Triplett,2.47,190,77
54,0,01196,Brian Claar,2.49,209,84
54,0,01306,David Edwards,2.49,182,73
54,0,02146,Payne Stewart,2.49,237,95
57,0,01098,Jay Don Blake,2.50,230,92
57,0,01378,David Frost,2.50,205,82
59,0,01024,Billy Andrade,2.51,259,103
60,0,01072,Chip Beck,2.52,219,87
61,0,01715,Mark Lye,2.53,228,90
61,0,01846,Jodie Mudd,2.53,210,83
61,0,02033,Dave Rummells,2.53,210,83
64,0,01078,Jim Benepe,2.54,216,85
64,0,01219,John Cook,2.54,241,95
64,0,06284,Jim Hallet,2.54,292,115
67,0,01161,Mark Calcavecchia,2.55,237,93
68,0,01723,Andrew Magee,2.56,251,98
69,0,01390,Buddy Gardner,2.57,267,104
69,0,06130,Jeffrey Wilson,2.57,193,75
71,0,01418,Bill Glasson,2.58,170,66
71,0,01475,Donnie Hammond,2.58,191,74
71,0,01571,Barry Jaeckel,2.58,147,57
71,0,01701,Bob Lohr,2.58,248,96
71,0,02041,Bill Sander,2.58,255,99
76,0,01346,Ed Fiori,2.59,280,108
76,0,02170,Hal Sutton,2.59,233,90
78,0,01154,Bill Buttner,2.60,226,87
78,0,01938,David Peoples,2.60,289,111
80,0,01783,Mark McCumber,2.61,217,83
80,0,01835,Tommy Moore,2.61,230,88
80,0,02190,Doug Tewell,2.61,206,79
80,0,02246,Duffy Waldorf,2.61,230,88
84,0,01035,Tommy Armour III,2.62,246,94
84,0,01288,Ed Dougherty,2.62,199,76
84,0,01361,Dan Forsman,2.62,228,87
84,0,01926,Steve Pate,2.62,262,100
88,0,01549,Mike Hulbert,2.63,303,115
89,0,01106,Jim Booros,2.64,232,88
89,0,01414,Bob Gilder,2.64,214,81
91,0,01706,Davis Love III,2.65,241,91
91,0,01946,Peter Persons,2.65,265,100
91,0,02067,Ted Schulz,2.65,307,116
94,0,02104,Jeff Sluman,2.66,282,106
95,0,06118,Greg Bruckner,2.67,238,89
96,0,01129,Bill Britton,2.68,265,99
96,0,01797,Rocco Mediate,2.68,228,85
96,0,02223,Bob Tway,2.68,260,97
96,0,02279,Mark Wiebe,2.68,268,100
100,0,01150,George Burns,2.69,250,93
100,0,01495,Morris Hatalsky,2.69,223,83
100,0,02007,Larry Rinker,2.69,264,98
103,0,01435,Wayne Grady,2.70,224,83
103,0,02167,Mike Sullivan,2.70,219,81
103,0,02201,Jim Thorpe,2.70,238,88
106,0,01261,Jay Delsing,2.71,260,96
106,0,01329,Brad Faxon,2.71,241,89
106,0,01381,Fred Funk,2.71,225,83
106,0,01469,Dan Halldorson,2.71,138,51
110,0,01388,Robert Gamez,2.72,215,79
111,0,01156,Curt Byrum,2.74,244,89
111,0,01557,John Inman,2.74,279,102
111,0,02090,Tom Sieckmann,2.74,241,88
111,0,02303,Robert Wrenn,2.74,263,96
115,0,02111,Mike Smith,2.75,250,91
116,0,01266,Clark Dennis,2.76,237,86
116,0,02267,D.A. Weibring,2.76,182,66
118,0,01093,Ronnie Black,2.77,233,84
118,0,01385,Jim Gallagher Jr.,2.77,319,115
118,0,01771,Blaine McCallister,2.77,263,95
118,0,02292,Bob Wolcott,2.77,238,86
122,0,01457,Jay Haas,2.78,256,92
122,0,02239,Scott Verplank,2.78,245,88
124,0,01040,Emlyn Aubrey,2.79,276,99
124,0,01443,Hubert Green,2.79,170,61
124,0,02298,Jim Woodward,2.79,204,73
127,0,01639,Kenny Knox,2.80,263,94
127,0,01682,Wayne Levi,2.80,207,74
129,0,01331,Rick Fehr,2.81,253,90
130,0,01201,Lennie Clements,2.82,231,82
130,0,01971,Dillard Pruitt,2.82,223,79
132,0,06197,Michael Allen,2.83,260,92
133,0,01143,Brad Bryant,2.85,259,91
134,0,02101,Joey Sindelar,2.86,229,80
134,0,02118,J.C. Snead,2.86,209,73
134,0,02294,Willie Wood,2.86,200,70
137,0,01068,Andy Bean,2.87,192,67
138,0,01736,Roger Maltbie,2.88,187,65
139,0,01487,Jeff Hart,2.89,237,82
140,0,01607,Brian Kamm,2.90,145,50
141,0,01355,Raymond Floyd,2.91,157,54
141,0,01941,Tom Pernice Jr.,2.91,157,54
141,0,02230,Stan Utley,2.91,308,106
144,0,02095,Larry Silveira,2.92,242,83
145,0,01014,Fulton Allem,2.93,214,73
145,0,01151,Clark Burroughs,2.93,281,96
145,0,01175,Jim Carter,2.93,261,89
148,0,01553,John Huston,2.94,232,79
149,0,06128,Steve Lamontagne,2.95,251,85
149,0,02185,Lance Ten Broeck,2.95,283,96
151,0,01168,David Canipe,2.96,249,84
151,0,01200,Keith Clearwater,2.96,228,77
151,0,01641,Gary Koch,2.96,169,57
154,0,01321,Tom Eubank,2.97,175,59
154,0,01499,Mark Hayes,2.97,226,76
154,0,06136,Mike Schuchart,2.97,202,68
154,0,06132,Sonny Skinner,2.97,223,75
158,0,02180,Harry Taylor,2.98,173,58
159,0,01157,Tom Byrum,3.00,270,90
159,0,01307,Joel Edwards,3.00,258,86
159,0,01891,David Ogrin,3.00,255,85
159,0,02087,Don Shirey Jr.,3.00,276,92
163,0,01303,Bob Eastwood,3.01,259,86
163,0,02215,Paul Trittler,3.01,253,84
165,0,01023,Jerry Anderson,3.02,169,56
166,0,01333,Jack Ferenz,3.04,155,51
167,0,01006,John Adams,3.05,268,88
167,0,01790,Pat McGowan,3.05,262,86
169,0,01489,Steve Hart,3.06,208,68
169,0,02224,Greg Twiggs,3.06,272,89
171,0,01061,Ray Barr Jr.,3.07,187,61
172,0,01878,Andy North,3.09,201,65
173,0,02094,Tony Sills,3.10,161,52
174,0,06144,John Dowdall,3.11,174,56
175,0,01458,Jerry Haas,3.12,278,89
176,0,06122,Greg Hickman,3.13,194,62
177,0,01310,Dave Eichelberger,3.16,316,100
178,0,02195,Leonard Thompson,3.17,292,92
179,0,01197,Bobby Clampett,3.18,181,57
179,0,02245,Grant Waite,3.18,232,73
181,0,01935,Calvin Peete,3.20,208,65
182,0,01925,Jerry Pate,3.26,176,54
183,0,01468,Gary Hallberg,3.27,265,81
183,0,01533,P.H. Horgan III,3.27,278,85
185,0,06140,Sean Murphy,3.39,200,59
186,0,06124,Patrick Burke,3.40,180,53
187,0,01037,Dewey Arnette,3.48,223,64
188,0,06150,Carl Cooper,3.51,200,57
189,0,01522,Lon Hinkle,3.52,236,67
190,0,06148,Dennis Harrington,3.53,265,75
191,0,02023,Clarence Rose,3.57,311,87
192,0,06425,Rick Todd,3.79,212,56
