RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,19846,Brian Gay,1.53,24,1566
2,0,29478,Kevin Kisner,1.62,19,1170
3,0,10809,Jim Furyk,1.72,26,1512
4,0,20593,Greg Chalmers,1.79,28,1566
4,0,22621,Ben Curtis,1.79,20,1116
6,0,27895,Jonas Blixt,1.85,24,1296
7,0,23983,Luke Donald,1.88,21,1116
7,0,21209,Sergio Garcia,1.88,19,1008
9,0,06573,Brandt Jobe,1.95,20,1026
10,0,23108,Matt Kuchar,2.03,30,1476
11,0,25345,Carl Pettersson,2.05,34,1656
12,0,01320,Bob Estes,2.07,29,1404
13,0,20850,Daniel Chopra,2.10,20,954
14,0,10213,Dicky Pride,2.11,22,1044
15,0,23409,James Driscoll,2.14,32,1494
16,0,25396,Kevin Na,2.18,31,1422
17,0,06527,Steve Stricker,2.22,28,1260
18,0,11123,Chris Couch,2.26,24,1062
18,0,25572,Graeme McDowell,2.26,22,972
18,0,31202,William McGirt,2.26,39,1728
21,0,28500,Martin Flores,2.28,39,1710
21,0,27649,Brandt Snedeker,2.28,32,1404
23,0,06034,Marco Dawson,2.30,24,1044
24,0,35139,Richard Lee,2.32,28,1206
24,0,27466,Spencer Levin,2.32,33,1422
26,0,22961,David Mathis,2.33,34,1458
26,0,20160,Charlie Wi,2.33,36,1548
28,0,33122,Russell Knox,2.37,29,1224
28,0,26331,Charl Schwartzel,2.37,23,972
30,0,21753,Brian Davis,2.38,39,1638
30,0,24138,Ian Poulter,2.38,24,1008
32,0,23800,Bryce Molder,2.39,34,1422
33,0,29289,S.Y. Noh,2.42,44,1818
33,0,25632,Jimmy Walker,2.42,44,1818
35,0,30852,Ryo Ishikawa,2.46,23,936
36,0,22371,Aaron Baddeley,2.47,32,1296
37,0,24024,Zach Johnson,2.48,42,1692
37,0,28475,Jeff Overton,2.48,45,1818
39,0,30925,Dustin Johnson,2.49,30,1206
40,0,01249,John Daly,2.54,21,828
41,0,20766,Padraig Harrington,2.56,29,1134
42,0,24781,Hunter Mahan,2.57,38,1476
43,0,31558,J.J. Killeen,2.58,45,1746
44,0,01797,Rocco Mediate,2.61,32,1224
45,0,29221,Webb Simpson,2.63,36,1368
46,0,27963,Chris Stroud,2.65,41,1548
47,0,20098,Stuart Appleby,2.66,34,1278
48,0,23320,Ryan Palmer,2.67,39,1458
49,0,23353,J.J. Henry,2.68,43,1602
49,0,27214,Kevin Streelman,2.68,43,1602
51,0,01706,Davis Love III,2.69,31,1152
51,0,25804,Bubba Watson,2.69,32,1188
53,0,20070,Matt Bettencourt,2.70,37,1368
53,0,24357,K.J. Choi,2.70,34,1260
53,0,29222,Billy Hurley III,2.70,33,1224
56,0,01116,Michael Bradley,2.73,31,1134
56,0,24940,Edward Loar,2.73,28,1026
56,0,26329,Louis Oosthuizen,2.73,31,1134
59,0,24507,Jason Bohn,2.74,38,1386
59,0,06251,Chris DiMarco,2.74,40,1458
59,0,23325,Vaughn Taylor,2.74,39,1422
59,0,23623,Bo Van Pelt,2.74,41,1494
63,0,27644,Brian Harman,2.75,50,1818
64,0,23135,Tim Clark,2.78,30,1080
64,0,20572,Rod Pampling,2.78,42,1512
64,0,20645,John Senden,2.78,39,1404
64,0,24663,Y.E. Yang,2.78,31,1116
68,0,21407,Arjun Atwal,2.81,38,1350
68,0,24490,George McNeill,2.81,43,1530
68,0,25834,Daniel Summerhays,2.81,41,1458
71,0,24604,Hunter Haas,2.82,33,1170
71,0,08793,Tiger Woods,2.82,34,1206
73,0,08075,Jerry Kelly,2.84,43,1512
74,0,30927,Brendon Todd,2.85,38,1332
75,0,26758,David Hearn,2.87,49,1710
76,0,20848,Ángel Cabrera,2.88,28,972
76,0,26679,Kevin Stadler,2.88,42,1458
78,0,06522,Ernie Els,2.92,41,1404
79,0,22046,Geoff Ogilvy,2.93,38,1296
80,0,23638,Brendon de Jonge,2.95,61,2070
80,0,27797,Derek Lamely,2.95,34,1152
82,0,24494,Erik Compton,2.96,41,1386
83,0,32150,Michael Thompson,2.99,43,1440
84,0,21961,Charles Howell III,3.00,53,1764
85,0,32200,Roberto Castro,3.02,49,1620
85,0,29926,Danny Lee,3.02,38,1260
85,0,01810,Phil Mickelson,3.02,43,1422
85,0,24361,Pat Perez,3.02,43,1422
89,0,34021,Bud Cauley,3.03,54,1782
89,0,12782,Tim Herron,3.03,48,1584
89,0,30711,Colt Knost,3.03,42,1386
92,0,26300,Matt Jones,3.04,29,954
93,0,29910,Blake Adams,3.06,59,1926
94,0,02206,David Toms,3.07,32,1044
95,0,01724,Jeff Maggert,3.08,46,1494
96,0,23542,Tommy Biershenk,3.09,40,1296
96,0,28455,Will Claxton,3.09,55,1782
96,0,20574,Mathew Goggin,3.09,35,1134
96,0,34174,John Huh,3.09,55,1782
96,0,28237,Rory McIlroy,3.09,30,972
101,0,20623,Gavin Coles,3.10,39,1260
101,0,20104,Ken Duke,3.10,58,1872
101,0,27060,John Mallinger,3.10,39,1260
101,0,25892,Steve Wheatcroft,3.10,29,936
105,0,34099,Harris English,3.12,55,1764
105,0,27302,Garth Mulroy,3.12,32,1026
107,0,24924,Bill Haas,3.13,44,1404
108,0,21731,Freddie Jacobson,3.15,34,1080
109,0,30750,Tommy Gainey,3.17,56,1764
109,0,22548,Patrick Sheehan,3.17,32,1008
111,0,22293,Heath Slocum,3.18,51,1602
112,0,23204,Gary Christian,3.19,50,1566
112,0,22405,Justin Rose,3.19,39,1224
114,0,29420,Billy Horschel,3.20,34,1062
115,0,32102,Rickie Fowler,3.21,48,1494
115,0,28308,Troy Kelly,3.21,37,1152
117,0,25818,Scott Piercy,3.22,55,1710
118,0,27120,Troy Matteson,3.23,57,1764
118,0,29476,Kyle Reifers,3.23,50,1548
120,0,23541,Ben Crane,3.24,42,1296
121,0,28259,Sangmoon Bae,3.25,45,1386
121,0,25686,Jason Dufner,3.25,48,1476
123,0,28307,Matt Every,3.26,47,1440
123,0,08725,Tom Gillis,3.26,44,1350
123,0,10860,Justin Leonard,3.26,44,1350
123,0,01941,Tom Pernice Jr.,3.26,34,1044
127,0,21878,Mark Wilson,3.28,46,1404
128,0,27141,J.B. Holmes,3.29,51,1548
129,0,23718,Nathan Green,3.30,41,1242
130,0,32334,Charlie Beljan,3.31,34,1026
130,0,26596,Ryan Moore,3.31,53,1602
130,0,24140,Sean O'Hair,3.31,50,1512
133,0,27770,Camilo Villegas,3.32,46,1386
134,0,28089,Jason Day,3.33,33,990
135,0,24925,Jonathan Byrd,3.35,41,1224
135,0,25457,Alexandre Rocha,3.35,35,1044
137,0,22348,Nick O'Hern,3.38,45,1332
138,0,22913,John Rollins,3.39,47,1386
139,0,21350,Ryuji Imada,3.44,47,1368
