RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,12510,Chad Campbell,3,47
1,0,08725,Tom Gillis,3,42
3,0,33120,Mark Anderson,2,49
3,0,24846,Ricky Barnes,2,68
3,0,29479,Scott Brown,2,42
3,0,32366,Kevin Chappell,2,56
3,0,30750,Tommy Gainey,2,51
3,0,08075,Jerry Kelly,2,40
3,0,27556,Ted Potter Jr.,2,46
3,0,26476,Chez Reavie,2,42
3,0,26331,Charl Schwartzel,2,18
3,0,22293,Heath Slocum,2,47
3,0,27330,Josh Teater,2,62
3,0,26287,Roland Thatcher,2,31
3,0,27770,Camilo Villegas,2,43
16,0,29910,Blake Adams,1,51
16,0,10885,Robert Allenby,1,47
16,0,21407,Arjun Atwal,1,34
16,0,28087,Kris Blanks,1,45
16,0,24507,Jason Bohn,1,31
16,0,33141,Keegan Bradley,1,47
16,0,24925,Jonathan Byrd,1,35
16,0,20848,Ángel Cabrera,1,18
16,0,20593,Greg Chalmers,1,26
16,0,20623,Gavin Coles,1,34
16,0,24494,Erik Compton,1,35
16,0,23541,Ben Crane,1,31
16,0,21753,Brian Davis,1,32
16,0,06251,Chris DiMarco,1,38
16,0,25686,Jason Dufner,1,35
16,0,20104,Ken Duke,1,53
16,0,06036,Scott Dunlap,1,43
16,0,28307,Matt Every,1,34
16,0,23903,Stephen Gangluff,1,28
16,0,24358,Robert Garrigus,1,55
16,0,32698,Bobby Gates,1,54
16,0,20574,Mathew Goggin,1,32
16,0,24604,Hunter Haas,1,26
16,0,26758,David Hearn,1,46
16,0,12782,Tim Herron,1,36
16,0,12716,Charley Hoffman,1,53
16,0,29420,Billy Horschel,1,30
16,0,30925,Dustin Johnson,1,24
16,0,24024,Zach Johnson,1,31
16,0,33122,Russell Knox,1,25
16,0,30944,Jason Kokrak,1,40
16,0,27466,Spencer Levin,1,27
16,0,24940,Edward Loar,1,18
16,0,22961,David Mathis,1,26
16,0,24490,George McNeill,1,37
16,0,24140,Sean O'Hair,1,43
16,0,22348,Nick O'Hern,1,41
16,0,22046,Geoff Ogilvy,1,28
16,0,26329,Louis Oosthuizen,1,26
16,0,23320,Ryan Palmer,1,33
16,0,25345,Carl Pettersson,1,30
16,0,25240,D.A. Points,1,51
16,0,22913,John Rollins,1,40
16,0,25562,Andres Romero,1,46
16,0,23621,Rory Sabbatini,1,46
16,0,29221,Webb Simpson,1,29
16,0,06527,Steve Stricker,1,20
16,0,27963,Chris Stroud,1,29
16,0,27095,Nick Watney,1,52
16,0,20396,Lee Westwood,1,23
16,0,21878,Mark Wilson,1,37
16,0,08793,Tiger Woods,1,25
