RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,08793,Tiger Woods,69.08,1727,25
2,0,28475,Jeff Overton,69.54,3616,52
3,0,21528,Henrik Stenson,69.55,1530,22
4,0,25345,Carl Pettersson,69.56,2991,43
5,0,29420,Billy Horschel,69.62,2019,29
6,0,30925,Dustin Johnson,69.67,2090,30
7,0,21209,Sergio Garcia,69.71,1673,24
8,0,33122,Russell Knox,69.76,2581,37
9,0,23108,Matt Kuchar,69.77,2442,35
10,0,25804,Bubba Watson,69.78,1884,27
11,0,20691,Greg Owen,69.79,3280,47
12,0,23320,Ryan Palmer,69.81,2513,36
13,0,20104,Ken Duke,69.86,3493,50
13,0,25632,Jimmy Walker,69.86,3423,49
15,0,29221,Webb Simpson,69.87,2096,30
16,0,24138,Ian Poulter,69.92,1748,25
17,0,24024,Zach Johnson,69.93,3147,45
18,0,27895,Jonas Blixt,69.94,2518,36
19,0,28237,Rory McIlroy,70.00,1330,19
20,0,24358,Robert Garrigus,70.02,2941,42
21,0,24361,Pat Perez,70.08,2733,39
22,0,35139,Richard Lee,70.10,2874,41
23,0,32200,Roberto Castro,70.11,3716,53
24,0,23204,Gary Christian,70.13,3226,46
25,0,33141,Keegan Bradley,70.14,2946,42
26,0,21961,Charles Howell III,70.15,3227,46
27,0,20593,Greg Chalmers,70.20,3089,44
27,0,02206,David Toms,70.20,2106,30
29,0,10809,Jim Furyk,70.22,2528,36
29,0,06567,Vijay Singh,70.22,3441,49
31,0,06527,Steve Stricker,70.23,1826,26
32,0,19846,Brian Gay,70.24,3231,46
32,0,20766,Padraig Harrington,70.24,1756,25
34,0,28500,Martin Flores,70.26,3794,54
34,0,26329,Louis Oosthuizen,70.26,2178,31
34,0,27330,Josh Teater,70.26,3794,54
37,0,27963,Chris Stroud,70.27,2881,41
38,0,23638,Brendon de Jonge,70.28,4006,57
38,0,25686,Jason Dufner,70.28,2249,32
40,0,25818,Scott Piercy,70.30,3234,46
41,0,25396,Kevin Na,70.32,2602,37
42,0,29910,Blake Adams,70.37,4011,57
42,0,22405,Justin Rose,70.37,2111,30
44,0,01810,Phil Mickelson,70.39,2534,36
45,0,27436,Graham DeLaet,70.41,2887,41
45,0,23983,Luke Donald,70.41,2042,29
