RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$384034,6912624
2,0,06522,Ernie Els,$182883,3291894
3,0,12662,Thomas Levet,$177395,532185
4,0,20157,Retief Goosen,$174466,2617004
5,0,01810,Phil Mickelson,$165845,4311971
6,0,06567,Vijay Singh,$134162,3756562
7,0,02206,David Toms,$128138,3459739
8,0,01968,Nick Price,$120606,2170911
9,0,21209,Sergio Garcia,$114380,2401992
10,0,19906,Gary Evans,$110614,221228
11,0,10860,Justin Leonard,$105316,2738234
12,0,08075,Jerry Kelly,$101616,2946889
13,0,06373,José María Olazábal,$99351,1987027
14,0,23614,Rich Beem,$97945,2938365
15,0,10809,Jim Furyk,$94529,2363249
16,0,12680,Shigeki Maruyama,$92283,2214793
17,0,06251,Chris DiMarco,$89876,2606430
18,0,20766,Padraig Harrington,$89644,806797
19,0,01797,Rocco Mediate,$88725,2040675
20,0,21961,Charles Howell III,$84460,2702746
21,0,01381,Fred Funk,$82174,2383071
22,0,24357,K.J. Choi,$81663,2204907
23,0,01706,Davis Love III,$79083,2056159
24,0,10885,Robert Allenby,$78361,2115770
25,0,01761,Len Mattiace,$78359,2194063
26,0,02010,Loren Roberts,$76761,1919047
27,0,01320,Bob Estes,$74407,1934599
28,0,20127,Chris Riley,$72606,2032978
29,0,01329,Brad Faxon,$72586,1814671
30,0,01945,Kenny Perry,$71429,1928597
31,0,02104,Jeff Sluman,$70318,2250186
32,0,01920,Craig Parry,$69820,1466234
33,0,01527,Scott Hoch,$69770,1465172
34,0,10585,Scott McCarron,$67739,1896713
35,0,01707,Steve Lowery,$67234,1882553
36,0,12663,Phil Tataurangi,$65747,1643686
37,0,02049,Gene Sauers,$65055,715605
38,0,01219,John Cook,$64963,1624095
39,0,01326,Nick Faldo,$64241,321207
40,0,20098,Stuart Appleby,$61766,1729459
41,0,19825,Darren Clarke,$60537,665910
42,0,20121,Todd Fischer,$60000,60000
43,0,20634,Peter Lonard,$58879,1413112
44,0,10912,Craig Perks,$58287,1632042
45,0,22913,John Rollins,$57546,1956565
46,0,06595,Kevin Sutherland,$56054,1569528
47,0,20400,Michael Campbell,$55840,614250
48,0,01361,Dan Forsman,$52231,1305790
49,0,12705,Cliff Kresge,$50685,101370
50,0,01553,John Huston,$49963,1299052
51,0,20848,Ángel Cabrera,$48657,632545
52,0,24361,Pat Perez,$48390,1451726
53,0,01313,Steve Elkington,$47153,1084535
54,0,02239,Scott Verplank,$46808,1217022
55,0,01161,Mark Calcavecchia,$46500,1162509
56,0,23108,Matt Kuchar,$45841,1237725
57,0,24925,Jonathan Byrd,$45709,1462713
58,0,06004,Stephen Ames,$45644,1278037
59,0,02106,Chris Smith,$45369,1361094
60,0,02256,Tom Watson,$45032,180130
61,0,06575,Dudley Hart,$44656,1161080
62,0,19823,David Howser,$44491,133475
63,0,01024,Billy Andrade,$44055,1365707
64,0,10201,Matt Gogel,$43579,1089482
65,0,12661,Todd Barranger,$43200,43200
66,0,10565,Ian Leggatt,$42932,1245047
67,0,01938,David Peoples,$41459,1243773
68,0,02223,Bob Tway,$41442,1160399
69,0,23621,Rory Sabbatini,$40724,936663
70,0,20094,Jonathan Kaye,$40103,1082802
71,0,10944,Thomas Bjørn,$40069,360628
72,0,06809,Bob Burns,$39993,1199802
73,0,08537,J.P. Hayes,$39802,955270
74,0,01677,Tom Lehman,$39483,868631
75,0,01577,Lee Janzen,$38887,1127740
76,0,01042,Paul Azinger,$38496,769925
77,0,01307,Joel Edwards,$38487,1077651
78,0,01388,Robert Gamez,$38471,807891
79,0,22983,Bradley Dredge,$37924,37924
79,0,11246,Des Smyth,$37924,37924
81,0,07457,Steve Flesch,$37260,1192341
82,0,20763,Pierre Fulke,$37159,148639
83,0,06514,Kevin Johnson,$37100,37100
84,0,12660,Jesper Parnevik,$37088,964303
85,0,23983,Luke Donald,$36273,1088204
86,0,01876,Greg Norman,$35999,467988
87,0,01226,Fred Couples,$35927,646702
88,0,06527,Steve Stricker,$35896,789712
89,0,23656,Jason Caron,$35639,35639
90,0,22046,Geoff Ogilvy,$35451,957184
91,0,01666,Bernhard Langer,$34962,559395
