RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,22405,Justin Rose,72.50,87,120,-87,-9.00
2,0,28089,Jason Day,69.15,65,94,-69,-10.00
3,0,24846,Ricky Barnes,68.24,58,85,-62,-1.00
4,0,35545,Blayne Barber,67.27,74,110,-77,-2.00
5,0,47959,Bryson DeChambeau,67.18,131,195,-140,-3.00
6,0,30911,Tommy Fleetwood,66.91,91,136,-99,-10.00
7,0,01810,Phil Mickelson,66.67,102,153,-110,-10.00
8,0,33448,Justin Thomas,66.28,114,172,-125,-11.00
9,0,25364,Paul Casey,65.00,65,100,-68,-8.00
10,0,40058,Zac Blair,64.86,48,74,-49,-11.00
11,0,23621,Rory Sabbatini,64.74,101,156,-110,-16.00
12,0,29420,Billy Horschel,64.53,111,172,-117,-22.00
13,0,29725,Tony Finau,64.19,138,215,-149,-3.00
14,0,22056,Cameron Percy,64.10,50,78,-56,-10.00
15,0,25396,Kevin Na,63.79,74,116,-82,-10.00
16,0,32150,Michael Thompson,63.74,58,91,-59,-14.00
17,0,29223,Sam Saunders,63.69,100,157,-104,-1.00
18,0,25818,Scott Piercy,63.41,78,123,-82,-4.00
19,0,35310,Lanto Griffin,63.33,76,120,-81,+1.00
20,0,39328,Conrad Shindler,62.96,51,81,-60,-1.00
21,0,30925,Dustin Johnson,62.75,96,153,-106,-9.00
22,0,49964,Aaron Wise,62.64,109,174,-113,-3.00
23,0,32448,James Hahn,62.59,92,147,-100,E
24,0,46435,Austin Cook,62.50,115,184,-117,-1.00
24,0,25240,D.A. Points,62.50,50,80,-55,+11.00
26,0,39546,Keith Mitchell,62.27,137,220,-142,-8.00
27,0,22371,Aaron Baddeley,62.24,89,143,-97,-2.00
28,0,26499,Rafa Cabrera Bello,62.22,56,90,-63,-8.00
29,0,36799,Stephan Jaeger,61.94,83,134,-88,-9.00
30,0,29478,Kevin Kisner,61.90,65,105,-71,-13.00
31,0,19846,Brian Gay,61.86,73,118,-77,-41.00
32,0,27936,Martin Laird,61.72,79,128,-84,-8.00
33,0,26951,Johnson Wagner,61.63,53,86,-58,-23.00
34,0,47993,Denny McCarthy,61.54,64,104,-66,+4.00
35,0,34363,Tyrrell Hatton,61.33,46,75,-48,-17.00
36,0,08793,Tiger Woods,61.21,71,116,-75,-13.00
37,0,23541,Ben Crane,61.19,41,67,-45,-10.00
38,0,28237,Rory McIlroy,61.11,77,126,-84,-2.00
39,0,34264,Hudson Swafford,61.02,72,118,-77,-3.00
40,0,30944,Jason Kokrak,60.71,136,224,-148,+10.00
41,0,34046,Jordan Spieth,60.63,97,160,-102,-8.00
42,0,27349,Alex Noren,60.50,72,119,-75,-2.00
43,0,29222,Billy Hurley III,60.49,49,81,-54,-11.00
44,0,31323,Gary Woodland,60.22,112,186,-125,-4.00
45,0,26329,Louis Oosthuizen,60.00,45,75,-47,-9.00
45,0,33419,Cameron Tringale,60.00,51,85,-53,+1.00
45,0,47128,Richy Werenski,60.00,84,140,-92,-12.00
48,0,32102,Rickie Fowler,59.85,79,132,-84,-8.00
49,0,46970,Jon Rahm,59.56,81,136,-85,+3.00
50,0,19803,Ryan Armour,59.52,75,126,-80,-55.00
51,0,20472,Alex Cejka,59.43,63,106,-70,-9.00
51,0,26300,Matt Jones,59.43,63,106,-70,+7.00
53,0,26758,David Hearn,59.42,41,69,-45,-9.00
54,0,37189,Harold Varner III,59.39,98,165,-106,-8.00
55,0,25493,Nick Taylor,59.35,92,155,-94,-11.00
56,0,37455,Si Woo Kim,59.32,105,177,-108,+2.00
57,0,33948,Byeong Hun An,59.17,100,169,-107,+3.00
58,0,30110,Kyle Stanley,59.15,84,142,-88,-12.00
59,0,24502,Adam Scott,59.06,75,127,-81,-7.00
60,0,29268,Bronson Burgoon,58.96,79,134,-86,-2.00
61,0,20229,Stewart Cink,58.87,73,124,-81,+2.00
61,0,25632,Jimmy Walker,58.87,73,124,-77,+7.00
63,0,29974,Branden Grace,58.82,60,102,-65,-6.00
63,0,30926,Chris Kirk,58.82,100,170,-108,-34.00
65,0,35421,Brandon Harkins,58.59,116,198,-126,+2.00
66,0,29535,Brice Garnett,58.50,86,147,-89,-5.00
67,0,29484,Peter Uihlein,58.45,83,142,-88,-14.00
68,0,32640,Troy Merritt,58.44,90,154,-95,-8.00
69,0,48081,Xander Schauffele,58.38,108,185,-112,-1.00
70,0,32839,Hideki Matsuyama,58.27,81,139,-90,-7.00
71,0,24361,Pat Perez,58.24,53,91,-54,-13.00
72,0,35891,Cameron Smith,58.14,75,129,-80,-16.00
73,0,25804,Bubba Watson,58.01,105,181,-116,-8.00
74,0,31202,William McGirt,57.94,73,126,-77,-9.00
75,0,31646,Emiliano Grillo,57.82,85,147,-87,-17.00
76,0,50526,Tom Lovelady,57.59,110,191,-118,+3.00
77,0,24925,Jonathan Byrd,57.58,57,99,-61,-3.00
78,0,10809,Jim Furyk,57.50,23,40,-24,-21.00
79,0,23353,J.J. Henry,57.43,58,101,-60,-8.00
79,0,21528,Henrik Stenson,57.43,58,101,-62,E
81,0,35450,Patrick Cantlay,57.38,105,183,-110,-2.00
81,0,33418,Shawn Stefani,57.38,70,122,-75,-18.00
83,0,28775,Nate Lashley,57.35,39,68,-42,-4.00
