RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,27214,Kevin Streelman,37' 2",87831,197,7319.250,+8.00
2,0,45157,Cam Davis,37' 5",115832,258,9652.667,-4.00
3,0,45486,Joaquin Niemann,38' 10",134340,288,11195.000,+2.00
4,0,21209,Sergio Garcia,39' 5",70449,149,5870.750,+23.00
4,0,34563,Chesson Hadley,39' 5",96923,205,8076.917,+29.00
6,0,29926,Danny Lee,39' 6",129979,274,10831.583,+24.00
7,0,22371,Aaron Baddeley,39' 9",82920,174,6910.000,+16.00
8,0,46402,Talor Gooch,39' 11",83308,174,6942.333,+9.00
9,0,33122,Russell Knox,40' 0",91764,191,7647.000,+11.00
9,0,32139,Danny Willett,40' 0",91689,191,7640.750,+13.00
11,0,23320,Ryan Palmer,40' 6",75370,155,6280.833,+9.00
12,0,25900,Lucas Glover,40' 7",115321,237,9610.083,+5.00
13,0,29223,Sam Saunders,40' 9",127212,260,10601.000,+30.00
14,0,24138,Ian Poulter,40' 10",70052,143,5837.667,+3.00
15,0,39954,Cody Gribble,41' 0",123929,252,10327.417,+44.00
16,0,01810,Phil Mickelson,41' 1",118270,240,9855.833,+26.00
17,0,45526,Abraham Ancer,41' 2",95424,193,7952.000,+3.00
18,0,29725,Tony Finau,41' 3",124644,252,10387.000,+3.00
19,0,27064,Jhonattan Vegas,41' 4",112604,227,9383.667,E
20,0,27556,Ted Potter Jr.,41' 5",104764,211,8730.333,+20.00
20,0,25493,Nick Taylor,41' 5",151136,304,12594.667,+6.00
22,0,27963,Chris Stroud,41' 6",94121,189,7843.417,+12.00
23,0,28237,Rory McIlroy,41' 7",89272,179,7439.333,+10.00
23,0,33667,Carlos Ortiz,41' 7",130709,262,10892.417,+12.00
25,0,39997,Corey Conners,41' 8",111593,223,9299.417,+16.00
26,0,30946,Alex Prugh,41' 9",98280,196,8190.000,+30.00
27,0,25632,Jimmy Walker,41' 10",118063,235,9838.583,+32.00
28,0,35421,Brandon Harkins,41' 11",147416,293,12284.667,+37.00
28,0,33418,Shawn Stefani,41' 11",106622,212,8885.167,+27.00
30,0,36689,Brooks Koepka,42' 0",100889,200,8407.417,+1.00
30,0,30786,Brady Schnell,42' 0",63034,125,5252.833,+28.00
32,0,34466,Peter Malnati,42' 2",161926,320,13493.833,+24.00
32,0,46501,Ollie Schniederjans,42' 2",133098,263,11091.500,+33.00
34,0,32058,José de Jesús Rodríguez,42' 3",101817,201,8484.750,+10.00
35,0,28775,Nate Lashley,42' 4",90863,179,7571.917,+6.00
35,0,39327,Ben Silverman,42' 4",87424,172,7285.333,+18.00
35,0,37189,Harold Varner III,42' 4",133717,263,11143.083,+29.00
38,0,30692,Scott Stallings,42' 5",128347,252,10695.583,+48.00
38,0,37340,Chase Wright,42' 5",93069,183,7755.750,+11.00
40,0,26499,Rafa Cabrera Bello,42' 6",78038,153,6503.167,+16.00
40,0,25686,Jason Dufner,42' 6",79547,156,6628.917,+32.00
40,0,47990,Kyle Jones,42' 6",90273,177,7522.750,+26.00
40,0,24781,Hunter Mahan,42' 6",81662,160,6805.167,+10.00
40,0,31560,Brian Stuard,42' 6",121456,238,10121.333,+22.00
45,0,24925,Jonathan Byrd,42' 7",82341,161,6861.750,+12.00
46,0,49303,Anders Albertson,42' 9",105132,205,8761.000,+19.00
46,0,33141,Keegan Bradley,42' 9",93944,183,7828.667,+27.00
46,0,34363,Tyrrell Hatton,42' 9",59988,117,4999.000,+9.00
49,0,26851,Marc Leishman,42' 10",104268,203,8689.000,-9.00
50,0,33948,Byeong Hun An,42' 11",122622,238,10218.500,E
50,0,35732,Wes Roach,42' 11",90569,176,7547.417,+16.00
50,0,33448,Justin Thomas,42' 11",113341,220,9445.083,+1.00
50,0,47128,Richy Werenski,42' 11",132283,257,11023.583,+24.00
54,0,25364,Paul Casey,43' 0",85733,166,7144.417,+4.00
54,0,31646,Emiliano Grillo,43' 0",75890,147,6324.167,+18.00
54,0,30925,Dustin Johnson,43' 0",119777,232,9981.417,+8.00
54,0,32791,K.H. Lee,43' 0",99676,193,8306.333,+20.00
54,0,32839,Hideki Matsuyama,43' 0",127574,247,10631.167,+14.00
54,0,46601,Trey Mullinax,43' 0",145605,282,12133.750,+16.00
60,0,23108,Matt Kuchar,43' 1",103457,200,8621.417,+12.00
60,0,27095,Nick Watney,43' 1",122086,236,10173.833,+21.00
62,0,27129,Luke List,43' 2",113959,220,9496.583,+2.00
62,0,34046,Jordan Spieth,43' 2",143406,277,11950.500,+29.00
64,0,37455,Si Woo Kim,43' 3",97611,188,8134.250,+10.00
64,0,23325,Vaughn Taylor,43' 3",119832,231,9986.000,+28.00
66,0,27895,Jonas Blixt,43' 7",113042,216,9420.167,+37.00
66,0,24024,Zach Johnson,43' 7",83619,160,6968.250,+14.00
68,0,34021,Bud Cauley,43' 8",120945,231,10078.750,+27.00
68,0,06522,Ernie Els,43' 8",57634,110,4802.833,+14.00
68,0,32640,Troy Merritt,43' 8",78109,149,6509.083,+21.00
68,0,26329,Louis Oosthuizen,43' 8",67618,129,5634.833,+22.00
68,0,33486,Roger Sloan,43' 8",131585,251,10965.417,+8.00
68,0,34431,Robert Streb,43' 8",109599,209,9133.250,+18.00
74,0,21528,Henrik Stenson,43' 9",51462,98,4288.500,+22.00
74,0,32333,Kevin Tway,43' 9",144940,276,12078.333,+11.00
76,0,33399,Adam Hadwin,43' 10",99386,189,8282.167,+22.00
76,0,27936,Martin Laird,43' 10",134707,256,11225.583,+20.00
78,0,40098,Matt Fitzpatrick,43' 11",55365,105,4613.750,+9.00
78,0,27141,J.B. Holmes,43' 11",100052,190,8337.667,+16.00
78,0,39971,Sungjae Im,43' 11",167507,318,13958.917,+4.00
78,0,46970,Jon Rahm,43' 11",89147,169,7428.917,+16.00
82,0,47959,Bryson DeChambeau,44' 0",113619,215,9468.250,+5.00
82,0,23353,J.J. Henry,44' 0",70243,133,5853.583,+23.00
82,0,27330,Josh Teater,44' 0",100811,191,8400.917,-6.00
85,0,35449,Adam Long,44' 1",95676,181,7973.000,+43.00
85,0,29221,Webb Simpson,44' 1",125441,237,10453.417,+4.00
87,0,31420,Anirban Lahiri,44' 2",107565,203,8963.750,+24.00
88,0,30110,Kyle Stanley,44' 3",78540,148,6545.000,+31.00
89,0,34098,Russell Henley,44' 4",90446,170,7537.167,+24.00
