RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,07867,Woody Austin,100.0,1,1,E
1,0,01042,Paul Azinger,100.0,1,1,E
1,0,20498,Briny Baird,100.0,2,2,E
1,0,12652,Cameron Beckman,100.0,1,1,E
1,0,01132,Mark Brooks,100.0,1,1,-1.00
1,0,01161,Mark Calcavecchia,100.0,1,1,E
1,0,19972,José Coceres,100.0,2,2,-2.00
1,0,01307,Joel Edwards,100.0,1,1,-1.00
1,0,12760,Danny Ellis,100.0,2,2,E
1,0,01381,Fred Funk,100.0,1,1,E
1,0,21209,Sergio Garcia,100.0,1,1,E
1,0,19846,Brian Gay,100.0,2,2,-2.00
1,0,01418,Bill Glasson,100.0,1,1,E
1,0,06643,Paul Goydos,100.0,2,2,E
1,0,08063,Kelly Grunewald,100.0,1,1,E
1,0,08633,Per-Ulrik Johansson,100.0,1,1,-1.00
1,0,01685,J.L. Lewis,100.0,1,1,E
1,0,11032,Frank Lickliter II,100.0,1,1,E
1,0,06350,Bob May,100.0,1,1,+1.00
1,0,01766,Billy Mayfair,100.0,1,1,E
1,0,01771,Blaine McCallister,100.0,1,1,E
1,0,19817,Michael Muehr,100.0,1,1,-1.00
1,0,12660,Jesper Parnevik,100.0,2,2,-2.00
1,0,01926,Steve Pate,100.0,1,1,-1.00
1,0,20095,Carl Paulson,100.0,1,1,-1.00
1,0,01941,Tom Pernice Jr.,100.0,1,1,E
1,0,01945,Kenny Perry,100.0,1,1,E
1,0,02110,Jerry Smith,100.0,1,1,E
1,0,06078,Esteban Toledo,100.0,1,1,E
1,0,02206,David Toms,100.0,1,1,-1.00
1,0,02246,Duffy Waldorf,100.0,1,1,E
1,0,20436,Garrett Willis,100.0,1,1,E
33,0,02010,Loren Roberts,66.7,2,3,E
34,0,10885,Robert Allenby,50.0,1,2,E
34,0,01249,John Daly,50.0,1,2,E
34,0,06034,Marco Dawson,50.0,1,2,E
34,0,06621,Joe Durant,50.0,1,2,E
34,0,20094,Jonathan Kaye,50.0,1,2,E
34,0,01666,Bernhard Langer,50.0,1,2,E
34,0,10860,Justin Leonard,50.0,1,2,E
34,0,23621,Rory Sabbatini,50.0,1,2,-1.00
34,0,02214,Kirk Triplett,50.0,1,2,E
34,0,20566,Kaname Yokoo,50.0,1,2,-1.00
44,0,02223,Bob Tway,33.3,1,3,E
45,0,21633,Steve Allan,.0,0,1,E
45,0,20099,Doug Barron,.0,0,1,E
45,0,07003,David Berganio Jr.,.0,0,1,E
45,0,01098,Jay Don Blake,.0,0,1,E
45,0,01175,Jim Carter,.0,0,1,E
45,0,01185,Brandel Chamblee,.0,0,1,E
45,0,20229,Stewart Cink,.0,0,1,E
45,0,21584,Richie Coughlan,.0,0,1,E
45,0,01226,Fred Couples,.0,0,1,E
45,0,08931,Glen Day,.0,0,1,E
45,0,06251,Chris DiMarco,.0,0,1,E
45,0,01320,Bob Estes,.0,0,2,E
45,0,01329,Brad Faxon,.0,0,1,E
45,0,01378,David Frost,.0,0,1,E
45,0,10963,Jimmy Green,.0,0,1,E
45,0,06012,Greg Kraft,.0,0,1,E
45,0,01677,Tom Lehman,.0,0,1,E
45,0,01706,Davis Love III,.0,0,1,E
45,0,01723,Andrew Magee,.0,0,1,E
45,0,01724,Jeff Maggert,.0,0,1,E
45,0,21949,Joe Ogilvie,.0,0,1,E
45,0,01938,David Peoples,.0,0,1,E
45,0,01943,Chris Perry,.0,0,1,E
45,0,02002,John Riegger,.0,0,2,E
45,0,02099,Scott Simpson,.0,0,1,E
45,0,02104,Jeff Sluman,.0,0,2,E
45,0,12714,Chris Tidland,.0,0,1,E
45,0,02218,Ted Tryba,.0,0,1,E
45,0,02239,Scott Verplank,.0,0,1,E
45,0,10423,Mike Weir,.0,0,4,E
