RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND
1,0,28237,Rory McIlroy,14,3,1
2,0,46970,Jon Rahm,12,1,2
3,0,35450,Patrick Cantlay,9,1,2,2
3,0,36689,Brooks Koepka,9,3,3,1
3,0,24502,Adam Scott,9,2
6,0,23108,Matt Kuchar,8,2,2
6,0,31323,Gary Woodland,8,1,2
8,0,25364,Paul Casey,7,1,1,1
8,0,25900,Lucas Glover,7
8,0,39971,Sungjae Im,7,1
8,0,30925,Dustin Johnson,7,1,2
8,0,26851,Marc Leishman,7,1,2
8,0,32839,Hideki Matsuyama,7,2
8,0,22405,Justin Rose,7,1,3
8,0,33448,Justin Thomas,7,1,1,3
16,0,28089,Jason Day,6
16,0,29725,Tony Finau,6,2,1
16,0,30911,Tommy Fleetwood,6,2,1
16,0,32102,Rickie Fowler,6,1,1
16,0,23320,Ryan Palmer,6,1,1
16,0,25818,Scott Piercy,6,1,1
16,0,24138,Ian Poulter,6,1
16,0,26476,Chez Reavie,6,1,2
16,0,23621,Rory Sabbatini,6,2
16,0,48081,Xander Schauffele,6,2,2,1
16,0,29221,Webb Simpson,6,3,1
16,0,27649,Brandt Snedeker,6,1
28,0,47959,Bryson DeChambeau,5,1,1
28,0,21209,Sergio Garcia,5,1
28,0,33399,Adam Hadwin,5,1
28,0,21961,Charles Howell III,5,1
28,0,37455,Si Woo Kim,5,1
28,0,29478,Kevin Kisner,5,1
28,0,30944,Jason Kokrak,5,1
28,0,26329,Louis Oosthuizen,5,1
28,0,34360,Patrick Reed,5,1
37,0,45526,Abraham Ancer,4,1
37,0,29479,Scott Brown,4
37,0,39997,Corey Conners,4,1,1,1
37,0,27644,Brian Harman,4
37,0,29420,Billy Horschel,4
37,0,27974,Sung Kang,4,1
37,0,27936,Martin Laird,4
37,0,27129,Luke List,4
37,0,33204,Shane Lowry,4,1,1,1
37,0,32640,Troy Merritt,4,1
37,0,45486,Joaquin Niemann,4
37,0,34046,Jordan Spieth,4,1
37,0,27214,Kevin Streelman,4
37,0,27963,Chris Stroud,4,1
37,0,23325,Vaughn Taylor,4
37,0,32150,Michael Thompson,4
37,0,08793,Tiger Woods,4,1
54,0,33948,Byeong Hun An,3,1
54,0,30978,Kiradech Aphibarnrat,3,1
54,0,22371,Aaron Baddeley,3,1
54,0,33141,Keegan Bradley,3,1
54,0,47504,Sam Burns,3,1
54,0,52372,Cameron Champ,3,1
54,0,51766,Wyndham Clark,3
54,0,10809,Jim Furyk,3,1
54,0,34563,Chesson Hadley,3,1
54,0,34363,Tyrrell Hatton,3
54,0,35879,Kelly Kraft,3,1
54,0,29926,Danny Lee,3,1
54,0,25572,Graeme McDowell,3,1
54,0,39546,Keith Mitchell,3,1
54,0,25198,Francesco Molinari,3,1,1
54,0,50525,Collin Morikawa,3,1,1
54,0,48822,Sebastián Muñoz,3
54,0,25396,Kevin Na,3,1
54,0,33667,Carlos Ortiz,3,1
54,0,24361,Pat Perez,3
54,0,49771,J.T. Poston,3,1
54,0,34256,Andrew Putnam,3,1,1
54,0,47347,Adam Schenk,3
54,0,33486,Roger Sloan,3,1
54,0,35891,Cameron Smith,3
54,0,21528,Henrik Stenson,3
54,0,31560,Brian Stuard,3
54,0,23788,D.J. Trahan,3
54,0,37189,Harold Varner III,3,1
54,0,27064,Jhonattan Vegas,3,1
54,0,27095,Nick Watney,3
54,0,25804,Bubba Watson,3
86,0,40009,Dominic Bozzelli,2
86,0,29268,Bronson Burgoon,2,1
86,0,26499,Rafa Cabrera Bello,2,2
