RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,20157,Retief Goosen,72.48,79,109,-81,+4.00
2,0,01457,Jay Haas,70.53,67,95,-72,-21.00
3,0,21805,Harrison Frazar,68.97,120,174,-131,+2.00
4,0,01887,Mark O'Meara,66.67,20,30,-21,-14.00
5,0,24925,Jonathan Byrd,66.47,111,167,-118,+4.00
6,0,01042,Paul Azinger,66.12,80,121,-84,E
7,0,08793,Tiger Woods,65.97,95,144,-98,-17.00
8,0,01249,John Daly,65.66,109,166,-121,-12.00
9,0,01226,Fred Couples,65.42,70,107,-77,-5.00
10,0,07223,Brian Bateman,65.07,95,146,-102,-7.00
11,0,22046,Geoff Ogilvy,65.06,108,166,-121,-6.00
12,0,21731,Freddie Jacobson,64.62,84,130,-90,+2.00
13,0,06527,Steve Stricker,63.74,58,91,-63,-14.00
14,0,23063,Scott Hend,63.59,124,195,-135,+9.00
15,0,06567,Vijay Singh,62.88,166,264,-181,-8.00
16,0,20572,Rod Pampling,62.66,99,158,-109,-13.00
17,0,01920,Craig Parry,62.07,36,58,-38,-14.00
18,0,10107,Deane Pappas,61.83,81,131,-84,-4.00
19,0,20098,Stuart Appleby,61.81,89,144,-92,-3.00
20,0,01677,Tom Lehman,61.79,76,123,-84,-8.00
21,0,01810,Phil Mickelson,61.43,86,140,-91,-6.00
22,0,24502,Adam Scott,61.36,54,88,-55,E
23,0,01706,Davis Love III,61.35,100,163,-107,-7.00
24,0,10201,Matt Gogel,61.26,68,111,-72,-18.00
25,0,12782,Tim Herron,61.07,80,131,-86,-7.00
26,0,24024,Zach Johnson,60.69,88,145,-94,-36.00
27,0,01724,Jeff Maggert,60.61,60,99,-65,-1.00
27,0,10912,Craig Perks,60.61,60,99,-64,+12.00
29,0,02049,Gene Sauers,60.48,75,124,-79,-3.00
30,0,07867,Woody Austin,60.41,119,197,-124,+11.00
31,0,12602,Dean Wilson,60.40,90,149,-97,-17.00
32,0,25345,Carl Pettersson,60.34,105,174,-112,-11.00
33,0,11032,Frank Lickliter II,60.26,91,151,-97,-2.00
34,0,12823,Carlos Franco,60.20,121,201,-131,-18.00
35,0,19972,José Coceres,60.16,77,128,-79,E
36,0,07363,Craig Bowden,60.00,48,80,-52,-20.00
36,0,21959,Ted Purdy,60.00,132,220,-145,-19.00
38,0,01927,Dennis Paulson,59.75,95,159,-97,-6.00
39,0,08337,Mike Heinen,59.69,77,129,-86,+6.00
40,0,01473,Todd Hamilton,59.63,65,109,-65,-14.00
41,0,12645,Brent Geiberger,59.54,78,131,-83,-27.00
42,0,23623,Bo Van Pelt,59.32,105,177,-111,+2.00
43,0,21633,Steve Allan,59.29,134,226,-141,+7.00
44,0,23541,Ben Crane,59.28,99,167,-104,-11.00
45,0,02245,Grant Waite,59.15,84,142,-91,-5.00
46,0,22293,Heath Slocum,59.05,62,105,-63,-13.00
47,0,20498,Briny Baird,58.99,82,139,-87,-19.00
48,0,25900,Lucas Glover,58.90,139,236,-147,+12.00
49,0,24290,D.J. Brigman,58.87,83,141,-87,E
50,0,06197,Michael Allen,58.82,80,136,-86,-12.00
51,0,12705,Cliff Kresge,58.78,87,148,-96,-12.00
52,0,01157,Tom Byrum,58.76,57,97,-61,-21.00
53,0,01378,David Frost,58.65,61,104,-64,-12.00
54,0,26420,Richard Johnson,58.64,95,162,-99,-19.00
55,0,01127,Danny Briggs,58.47,69,118,-72,-33.00
56,0,23320,Ryan Palmer,58.46,114,195,-120,-1.00
57,0,19824,Craig Barlow,58.45,83,142,-92,-13.00
58,0,08123,Jeff Brehaut,58.42,118,202,-124,E
59,0,06004,Stephen Ames,58.33,84,144,-89,-22.00
60,0,01381,Fred Funk,58.25,60,103,-64,-34.00
61,0,01928,Corey Pavin,58.24,53,91,-56,-25.00
62,0,02206,David Toms,58.16,57,98,-63,-24.00
63,0,12682,Hirofumi Miyase,58.14,50,86,-53,+3.00
63,0,02106,Chris Smith,58.14,150,258,-162,+3.00
65,0,12680,Shigeki Maruyama,58.02,76,131,-79,-28.00
66,0,23614,Rich Beem,57.89,88,152,-95,-6.00
67,0,20850,Daniel Chopra,57.87,125,216,-133,-22.00
68,0,01577,Lee Janzen,57.81,74,128,-80,-22.00
69,0,20121,Todd Fischer,57.76,93,161,-99,-8.00
69,0,12660,Jesper Parnevik,57.76,93,161,-97,-2.00
69,0,02239,Scott Verplank,57.76,67,116,-68,-28.00
72,0,11123,Chris Couch,57.63,68,118,-73,+3.00
72,0,02214,Kirk Triplett,57.63,68,118,-69,-24.00
74,0,20663,Brenden Pappas,57.58,133,231,-141,-2.00
75,0,02010,Loren Roberts,57.14,40,70,-42,-34.00
75,0,10423,Mike Weir,57.14,60,105,-64,-13.00
77,0,06575,Dudley Hart,56.96,45,79,-50,+1.00
78,0,20645,John Senden,56.94,119,209,-129,-16.00
79,0,20433,Mark Hensby,56.69,89,157,-96,-5.00
80,0,07749,Brett Quigley,56.59,103,182,-107,-16.00
81,0,24357,K.J. Choi,56.57,56,99,-60,-14.00
82,0,20104,Ken Duke,56.55,82,145,-88,-9.00
83,0,08537,J.P. Hayes,56.52,52,92,-53,-12.00
84,0,22371,Aaron Baddeley,56.46,83,147,-88,+2.00
85,0,01685,J.L. Lewis,56.45,105,186,-112,+3.00
86,0,10860,Justin Leonard,56.36,62,110,-66,-13.00
87,0,08881,Tripp Isenhour,56.34,40,71,-42,+5.00
88,0,20229,Stewart Cink,56.29,85,151,-92,-30.00
89,0,08385,Omar Uresti,56.00,56,100,-57,-22.00
90,0,08075,Jerry Kelly,55.94,80,143,-84,-33.00
91,0,22405,Justin Rose,55.93,66,118,-68,-19.00
91,0,23307,Roger Tambellini,55.93,99,177,-109,+1.00
93,0,01361,Dan Forsman,55.88,57,102,-60,-7.00
94,0,02002,John Riegger,55.81,48,86,-50,-12.00
95,0,12652,Cameron Beckman,55.56,100,180,-112,-25.00
95,0,06522,Ernie Els,55.56,60,108,-64,-3.00
95,0,08339,Spike McRoy,55.56,70,126,-74,-16.00
98,0,01948,Tim Petrovic,55.49,96,173,-105,-23.00
99,0,01938,David Peoples,55.46,66,119,-68,-11.00
100,0,20094,Jonathan Kaye,55.41,87,157,-91,+5.00
101,0,21209,Sergio Garcia,55.37,67,121,-71,-11.00
102,0,02099,Scott Simpson,55.36,31,56,-31,-8.00
103,0,23325,Vaughn Taylor,55.28,89,161,-101,E
104,0,21949,Joe Ogilvie,55.15,91,165,-93,-16.00
