RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,06567,Vijay Singh,75.23,243,80,-174,-8
2,0,06522,Ernie Els,72.97,108,40,-58,-3
3,0,02106,Chris Smith,69.28,230,102,-139,+3
4,0,01810,Phil Mickelson,69.11,132,59,-84,-6
5,0,20157,Retief Goosen,68.99,109,49,-80,+4
6,0,19825,Darren Clarke,68.70,90,41,-48,-3
7,0,25900,Lucas Glover,68.39,212,98,-131,+12
8,0,01706,Davis Love III,68.04,149,70,-100,-7
9,0,11123,Chris Couch,66.90,97,48,-63,+3
10,0,08793,Tiger Woods,66.67,138,69,-91,-17
11,0,23063,Scott Hend,66.53,167,84,-125,+9
12,0,21209,Sergio Garcia,66.30,120,61,-62,-11
13,0,24925,Jonathan Byrd,65.45,161,85,-112,+4
14,0,23307,Roger Tambellini,63.97,158,89,-99,+1
15,0,21805,Harrison Frazar,63.67,163,93,-120,+2
16,0,20378,Mathias Grönberg,63.47,172,99,-95,E
17,0,08337,Mike Heinen,63.33,114,66,-81,+6
18,0,01927,Dennis Paulson,63.00,143,84,-89,-6
19,0,08835,Kris Cox,62.81,125,74,-66,+13
20,0,20645,John Senden,62.14,192,117,-125,-16
21,0,01945,Kenny Perry,61.93,135,83,-77,-8
22,0,01249,John Daly,61.90,143,88,-117,-12
23,0,23614,Rich Beem,61.84,141,87,-83,-6
24,0,21633,Steve Allan,61.77,202,125,-127,+7
25,0,23552,Hank Kuehne,61.49,182,114,-116,+8
26,0,24507,Jason Bohn,61.44,188,118,-108,+2
27,0,23497,Tag Ridings,60.93,92,59,-59,+2
28,0,20098,Stuart Appleby,60.73,133,86,-83,-3
29,0,23353,J.J. Henry,60.48,202,132,-108,+5
30,0,10585,Scott McCarron,60.21,171,113,-87,+5
31,0,12660,Jesper Parnevik,60.16,148,98,-92,-2
32,0,07867,Woody Austin,60.13,187,124,-113,+11
33,0,24361,Pat Perez,60.07,176,117,-84,-6
34,0,12823,Carlos Franco,59.58,199,135,-119,-18
35,0,20094,Jonathan Kaye,59.51,147,100,-74,+5
36,0,24781,Hunter Mahan,59.21,164,113,-75,+1
37,0,01161,Mark Calcavecchia,58.82,130,91,-66,+9
38,0,25686,Jason Dufner,58.57,147,104,-84,-3
39,0,20850,Daniel Chopra,58.53,199,141,-119,-22
40,0,01707,Steve Lowery,58.47,145,103,-86,+3
41,0,26287,Roland Thatcher,58.37,122,87,-59,+4
42,0,20663,Brenden Pappas,57.89,209,152,-132,-2
42,0,24502,Adam Scott,57.89,88,64,-52,E
44,0,01226,Fred Couples,57.78,104,76,-73,-5
45,0,10885,Robert Allenby,57.31,149,111,-76,-8
46,0,20585,Niclas Fasth,57.00,114,86,-61,+9
47,0,01797,Rocco Mediate,56.82,75,57,-42,-2
48,0,23623,Bo Van Pelt,56.76,168,128,-110,+2
49,0,20572,Rod Pampling,56.43,158,122,-101,-13
50,0,21961,Charles Howell III,56.30,143,111,-88,-5
51,0,08123,Jeff Brehaut,55.85,191,151,-112,E
52,0,06613,Tommy Tolles,55.61,114,91,-65,-3
53,0,21959,Ted Purdy,55.21,196,159,-138,-19
54,0,23320,Ryan Palmer,55.18,181,147,-108,-1
55,0,01553,John Huston,54.95,100,82,-49,-7
56,0,24290,D.J. Brigman,54.85,130,107,-79,E
57,0,01941,Tom Pernice Jr.,54.84,170,140,-90,-11
58,0,02101,Joey Sindelar,54.80,177,146,-80,-18
59,0,23325,Vaughn Taylor,54.71,151,125,-91,E
60,0,25345,Carl Pettersson,54.70,163,135,-107,-11
61,0,20029,Notah Begay III,54.66,129,107,-68,-13
62,0,07939,Dan Olsen,54.39,130,109,-71,+7
63,0,01685,J.L. Lewis,54.38,174,146,-110,+3
64,0,12782,Tim Herron,54.22,122,103,-82,-7
65,0,23621,Rory Sabbatini,53.98,156,133,-82,-8
66,0,22046,Geoff Ogilvy,53.93,151,129,-106,-6
67,0,20634,Peter Lonard,53.92,110,94,-55,+8
68,0,01677,Tom Lehman,53.85,98,84,-82,-8
69,0,20433,Mark Hensby,53.73,144,124,-86,-5
70,0,06595,Kevin Sutherland,53.71,123,106,-62,-13
71,0,12510,Chad Campbell,53.60,149,129,-80,-14
72,0,22913,John Rollins,53.52,137,119,-81,-9
73,0,21407,Arjun Atwal,53.41,141,123,-72,-2
74,0,06332,Neal Lancaster,53.33,184,161,-94,-14
75,0,07223,Brian Bateman,53.15,135,119,-99,-7
76,0,01926,Steve Pate,53.00,115,102,-59,-8
77,0,21731,Freddie Jacobson,52.94,117,104,-81,+2
78,0,20472,Alex Cejka,52.78,114,102,-63,-5
78,0,20580,Andre Stolz,52.78,76,68,-40,+2
80,0,07749,Brett Quigley,52.70,166,149,-97,-16
81,0,22371,Aaron Baddeley,52.63,140,126,-79,+2
82,0,19972,José Coceres,52.31,102,93,-70,E
83,0,01724,Jeff Maggert,51.56,99,93,-62,-1
84,0,12394,Tom Carter,51.34,173,164,-104,-2
85,0,02245,Grant Waite,51.01,126,121,-86,-5
86,0,20593,Greg Chalmers,50.97,105,101,-67,+5
87,0,01261,Jay Delsing,50.92,111,107,-59,-4
88,0,10107,Deane Pappas,50.70,108,105,-79,-4
