RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,10809,Jim Furyk,31' 5",29344.083,933,1 Under
2,0,33122,Russell Knox,31' 6",49110.083,1557,1 Under
3,0,24507,Jason Bohn,31' 7",49287.917,1560,1 Under
4,0,25900,Lucas Glover,32' 4",41733.333,1291,Under
4,0,22892,Jason Gore,32' 4",33532.667,1036,Under
4,0,26476,Chez Reavie,32' 4",28937.333,896,Under
7,0,20229,Stewart Cink,32' 8",38692.250,1183,1 Under
7,0,31557,Jim Herman,32' 8",45057.167,1380,1 Under
9,0,25364,Paul Casey,32' 9",37037.667,1130,1 Under
9,0,35532,Tom Hoge,32' 9",38178.250,1166,1 Under
9,0,31560,Brian Stuard,32' 9",46324.500,1416,Under
12,0,28780,Nicholas Thompson,32' 11",41323.500,1254,Over
13,0,30711,Colt Knost,33' 0",43744.250,1326,1 Under
14,0,32200,Roberto Castro,33' 1",21290.250,644,Under
14,0,20691,Greg Owen,33' 1",23769.417,718,Under
14,0,34264,Hudson Swafford,33' 1",49106.583,1484,1 Under
14,0,02206,David Toms,33' 1",32677.917,987,Under
18,0,20771,Steven Alker,33' 2",29709.917,895,Under
18,0,28132,Tyrone Van Aswegen,33' 2",24954.417,752,Under
20,0,34265,Will Wilcox,33' 4",24425.500,733,1 Under
21,0,10885,Robert Allenby,33' 5",30612.917,916,Over
21,0,22405,Justin Rose,33' 5",29367.917,878,1 Under
23,0,25720,Chad Collins,33' 6",37777.667,1128,Under
23,0,29222,Billy Hurley III,33' 6",37616.333,1124,Under
25,0,32839,Hideki Matsuyama,33' 7",42162.083,1254,1 Under
26,0,31202,William McGirt,33' 8",58550.000,1741,1 Under
26,0,34046,Jordan Spieth,33' 8",39656.000,1179,1 Under
28,0,20472,Alex Cejka,33' 10",47830.167,1415,Under
28,0,34262,Jon Curran,33' 10",39633.000,1170,Under
28,0,29926,Danny Lee,33' 10",60665.250,1792,1 Under
31,0,37454,Whee Kim,33' 11",34052.750,1003,Under
31,0,27095,Nick Watney,33' 11",49171.667,1449,Under
33,0,30852,Ryo Ishikawa,34' 0",45719.083,1345,Under
33,0,29221,Webb Simpson,34' 0",39035.667,1148,1 Under
