RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,01329,Brad Faxon,1.709,1543,903,3.51
2,0,01887,Mark O'Meara,1.737,1706,982,3.26
3,0,06527,Steve Stricker,1.740,1594,916,3.26
4,0,08931,Glen Day,1.744,1816,1041,3.20
5,0,01510,Nolan Henke,1.746,1599,916,3.10
6,0,01042,Paul Azinger,1.747,1586,908,3.11
6,0,01577,Lee Janzen,1.747,1843,1055,3.38
8,0,01326,Nick Faldo,1.748,1101,630,3.16
9,0,01837,Gil Morgan,1.749,1310,749,3.19
10,0,02146,Payne Stewart,1.751,1786,1020,3.12
11,0,02186,Brian Tennyson,1.754,1507,859,3.04
12,0,01331,Rick Fehr,1.755,1543,879,2.98
12,0,06577,John Wilson,1.755,1597,910,3.01
14,0,01235,Ben Crenshaw,1.757,1091,621,2.93
14,0,02214,Kirk Triplett,1.757,1587,903,2.90
16,0,01864,Larry Nelson,1.758,1631,928,3.24
17,0,01599,Steve Jones,1.759,1641,933,3.08
17,0,10860,Justin Leonard,1.759,2065,1174,3.05
17,0,01891,David Ogrin,1.759,2174,1236,3.03
20,0,01040,Emlyn Aubrey,1.760,1183,672,3.15
20,0,01378,David Frost,1.760,1336,759,3.18
20,0,06012,Greg Kraft,1.760,1633,928,3.13
20,0,01876,Greg Norman,1.760,947,538,3.46
24,0,01226,Fred Couples,1.763,1412,801,3.25
24,0,01549,Mike Hulbert,1.763,1943,1102,2.99
26,0,06034,Marco Dawson,1.764,1833,1039,3.20
26,0,01457,Jay Haas,1.764,1861,1055,2.98
26,0,10585,Scott McCarron,1.764,1729,980,3.20
29,0,01553,John Huston,1.765,1783,1010,3.16
29,0,01701,Bob Lohr,1.765,1754,994,2.90
31,0,01098,Jay Don Blake,1.766,1988,1126,2.86
32,0,01219,John Cook,1.767,1984,1123,2.80
32,0,02279,Mark Wiebe,1.767,1498,848,2.90
34,0,01093,Ronnie Black,1.768,1817,1028,2.93
34,0,01823,Larry Mize,1.768,1575,891,2.91
34,0,01928,Corey Pavin,1.768,1623,918,2.83
37,0,01072,Chip Beck,1.769,1882,1064,2.94
37,0,01132,Mark Brooks,1.769,2018,1141,3.15
37,0,10809,Jim Furyk,1.769,1944,1099,3.06
37,0,01724,Jeff Maggert,1.769,1847,1044,3.19
37,0,06613,Tommy Tolles,1.769,1928,1090,3.17
42,0,07235,John Morse,1.770,1990,1124,2.92
43,0,01968,Nick Price,1.771,1034,584,2.77
44,0,01139,Olin Browne,1.773,2025,1142,2.82
45,0,01116,Michael Bradley,1.774,1891,1066,3.06
46,0,01024,Billy Andrade,1.775,1814,1022,2.99
46,0,02010,Loren Roberts,1.775,1645,927,2.83
48,0,09011,David Duval,1.776,1568,883,3.11
48,0,01527,Scott Hoch,1.776,2137,1203,2.96
50,0,07087,Hugh Royer III,1.778,1863,1048,3.05
50,0,02246,Duffy Waldorf,1.778,1401,788,2.91
52,0,01096,Phil Blackmar,1.779,1889,1062,3.13
52,0,01682,Wayne Levi,1.779,1553,873,2.91
54,0,01945,Kenny Perry,1.780,1775,997,3.05
55,0,01175,Jim Carter,1.781,2299,1291,2.84
55,0,01677,Tom Lehman,1.781,1703,956,2.72
55,0,01905,Joe Ozaki,1.781,1448,813,3.00
55,0,02049,Gene Sauers,1.781,1571,882,2.81
55,0,06567,Vijay Singh,1.781,1840,1033,3.13
60,0,01200,Keith Clearwater,1.782,1561,876,2.90
60,0,01306,David Edwards,1.782,1755,985,2.72
60,0,07101,Dave Stockton Jr.,1.782,1917,1076,2.89
63,0,01006,John Adams,1.783,1681,943,3.00
63,0,01014,Fulton Allem,1.783,1184,664,2.73
63,0,01203,Russ Cochran,1.783,1785,1001,2.93
63,0,08993,Franklin Langham,1.783,1837,1030,3.02
63,0,02206,David Toms,1.783,1879,1054,2.97
68,0,01761,Len Mattiace,1.784,1772,993,3.02
68,0,01960,Don Pooley,1.784,1299,728,2.80
70,0,06064,Jeff Gallagher,1.785,1719,963,2.86
70,0,01748,Doug Martin,1.785,2001,1121,2.71
70,0,12660,Jesper Parnevik,1.785,1473,825,2.95
73,0,01723,Andrew Magee,1.786,1552,869,3.06
73,0,08375,Paul Stankowski,1.786,1470,823,2.81
73,0,02159,Curtis Strange,1.786,1625,910,2.86
73,0,08385,Omar Uresti,1.786,1916,1073,2.73
