RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,ATTEMPTS
1,0,46717,Viktor Hovland,-.169,83
2,0,50484,Hayden Springer,-.165,91
3,0,48153,Matthieu Pavon,-.164,73
4,0,28237,Rory McIlroy,-.113,80
5,0,32640,Troy Merritt,-.094,64
6,0,39327,Ben Silverman,-.084,107
7,0,34563,Chesson Hadley,-.080,112
8,0,33968,Thorbjørn Olesen,-.069,72
9,0,33653,Thomas Detry,-.062,97
10,0,29725,Tony Finau,-.057,122
11,0,27349,Alex Noren,-.046,109
12,0,46046,Scottie Scheffler,-.040,101
13,0,52215,Robert MacIntyre,-.035,114
14,0,58168,Davis Thompson,-.030,135
15,0,59095,Chris Gotterup,-.026,117
16,0,34587,Chan Kim,-.025,122
16,0,31323,Gary Woodland,-.025,119
18,0,54591,Ben Griffin,-.020,152
19,0,52513,Carson Young,-.019,104
20,0,46414,Aaron Rai,-.015,67
21,0,48084,Wesley Bryan,-.014,74
22,0,36699,Patrick Rodgers,-.013,150
23,0,51766,Wyndham Clark,-.010,99
23,0,37455,Si Woo Kim,-.010,100
25,0,49947,Taylor Moore,-.007,143
26,0,34021,Bud Cauley,E,80
26,0,57975,Harry Hall,E,142
26,0,46442,Maverick McNealy,E,130
26,0,30163,Henrik Norlander,E,69
26,0,38991,Alejandro Tosti,E,128
31,0,40250,Taylor Pendrith,+.007,134
32,0,51977,Max Greyserman,+.009,114
32,0,45242,Kevin Yu,+.009,113
34,0,52372,Cameron Champ,+.010,98
35,0,32367,Jorge Campillo,+.011,92
35,0,32102,Rickie Fowler,+.011,88
37,0,35506,Mackenzie Hughes,+.012,169
38,0,55893,Sam Stevens,+.013,151
39,0,40058,Zac Blair,+.016,64
39,0,48887,Matt Wallace,+.016,129
41,0,39324,J.J. Spaun,+.019,103
42,0,33948,Byeong Hun An,+.022,136
42,0,51634,Sahith Theegala,+.022,134
44,0,34046,Jordan Spieth,+.023,88
45,0,54421,Garrick Higgo,+.027,110
46,0,34099,Harris English,+.031,98
47,0,47504,Sam Burns,+.033,92
48,0,28089,Jason Day,+.034,87
49,0,35450,Patrick Cantlay,+.037,107
50,0,48081,Xander Schauffele,+.038,105
51,0,52955,Ludvig Åberg,+.040,101
52,0,51287,Ryo Hisatsune,+.041,97
53,0,39546,Keith Mitchell,+.042,166
53,0,55789,Taylor Montgomery,+.042,119
55,0,52375,Doug Ghim,+.044,114
56,0,27644,Brian Harman,+.047,129
56,0,23108,Matt Kuchar,+.047,106
58,0,51894,Vince Whaley,+.048,124
59,0,47347,Adam Schenk,+.049,122
60,0,30927,Brendon Todd,+.050,140
61,0,35461,Beau Hossler,+.051,156
62,0,48117,Kurt Kitayama,+.052,96
63,0,34255,Joseph Bramlett,+.054,148
63,0,55182,Tom Kim,+.054,92
63,0,29908,C.T. Pan,+.054,74
66,0,33486,Roger Sloan,+.055,73
67,0,52453,Nicolai Højgaard,+.056,71
68,0,34076,Joel Dahmen,+.057,105
68,0,47988,Nick Hardy,+.057,106
70,0,57366,Cameron Young,+.060,117
71,0,31646,Emiliano Grillo,+.063,111
72,0,28252,Seamus Power,+.064,125
73,0,47983,Chad Ramey,+.065,93
74,0,39977,Max Homa,+.066,122
74,0,51997,Andrew Novak,+.066,121
76,0,50095,Austin Smotherman,+.067,60
77,0,50493,Justin Suh,+.068,74
78,0,34098,Russell Henley,+.069,102
78,0,25493,Nick Taylor,+.069,116
80,0,46340,Alex Smalley,+.071,85
81,0,56630,Akshay Bhatia,+.073,123
82,0,59836,Pierceson Coody,+.074,121
83,0,28420,Ryan Brehm,+.075,93
83,0,51696,Rico Hoey,+.075,93
83,0,29420,Billy Horschel,+.075,134
83,0,32791,K.H. Lee,+.075,106
83,0,47995,Davis Riley,+.075,160
88,0,39997,Corey Conners,+.078,103
88,0,32839,Hideki Matsuyama,+.078,103
90,0,34256,Andrew Putnam,+.079,101
91,0,54783,Dylan Wu,+.080,138
92,0,33408,Tyson Alexander,+.083,120
92,0,30926,Chris Kirk,+.083,84
92,0,28775,Nate Lashley,+.083,108
95,0,45157,Cam Davis,+.084,119
95,0,39971,Sungjae Im,+.084,131
97,0,26596,Ryan Moore,+.085,94
98,0,49960,Sepp Straka,+.086,81
99,0,35532,Tom Hoge,+.087,127
100,0,60004,Jacob Bridgeman,+.088,114
100,0,33448,Justin Thomas,+.088,113
100,0,40006,Erik van Rooyen,+.088,113
100,0,27064,Jhonattan Vegas,+.088,136
104,0,59442,Parker Coody,+.089,101
105,0,40162,Justin Lower,+.090,156
106,0,47806,Raul Pereda,+.092,76
107,0,37378,Min Woo Lee,+.093,97
108,0,40026,Daniel Berger,+.094,64
108,0,47420,Jake Knapp,+.094,138
110,0,33204,Shane Lowry,+.095,84
110,0,24502,Adam Scott,+.095,95
112,0,40115,Adam Svensson,+.096,146
112,0,35617,Martin Trainer,+.096,83
114,0,56149,Wilson Furr,+.097,93
114,0,46441,Robby Shelton,+.097,103
116,0,54576,Patrick Fishburn,+.098,92
117,0,24024,Zach Johnson,+.100,70
118,0,36871,Matt NeSmith,+.102,98
119,0,32366,Kevin Chappell,+.103,58
119,0,47483,Will Zalatoris,+.103,87
121,0,50188,S.H. Kim,+.106,188
122,0,52514,Trace Crowe,+.107,103
122,0,57362,Austin Eckroat,+.107,84
122,0,32333,Kevin Tway,+.107,84
125,0,30911,Tommy Fleetwood,+.111,72
125,0,29936,Ryan Fox,+.111,126
125,0,25900,Lucas Glover,+.111,99
128,0,35310,Lanto Griffin,+.112,98
128,0,51890,Greyson Sigg,+.112,98
130,0,59866,Nick Dunlap,+.115,104
131,0,47993,Denny McCarthy,+.119,101
132,0,22405,Justin Rose,+.120,75
133,0,47679,Victor Perez,+.126,103
134,0,60767,Blaine Hale Jr.,+.128,78
135,0,51070,Vincent Norrman,+.131,61
136,0,49771,J.T. Poston,+.132,91
137,0,22371,Aaron Baddeley,+.133,105
137,0,48319,Tom Whitney,+.133,83
139,0,54628,Lee Hodges,+.134,112
140,0,29221,Webb Simpson,+.135,96
141,0,48867,Matti Schmid,+.139,108
142,0,40098,Matt Fitzpatrick,+.143,105
143,0,39975,Michael Kim,+.145,124
144,0,34374,Erik Barnes,+.146,96
145,0,33141,Keegan Bradley,+.148,122
146,0,55454,Carl Yuan,+.149,101
147,0,36799,Stephan Jaeger,+.150,107
148,0,47591,Eric Cole,+.152,191
148,0,48119,Ben Taylor,+.152,99
150,0,27770,Camilo Villegas,+.153,85
151,0,32070,Rafael Campos,+.154,91
152,0,52666,Sami Valimaki,+.156,96
153,0,27214,Kevin Streelman,+.157,89
154,0,37212,Paul Barjon,+.159,69
155,0,55708,Hayden Buckley,+.163,86
156,0,47663,Kevin Dougherty,+.165,91
156,0,27139,David Skinns,+.165,158
158,0,27936,Martin Laird,+.176,102
159,0,37275,Sam Ryder,+.177,96
160,0,50497,Adrien Dumont de Chassart,+.179,117
161,0,34466,Peter Malnati,+.182,132
162,0,57900,Chandler Phillips,+.183,126
163,0,32757,Patton Kizzire,+.187,75
164,0,26476,Chez Reavie,+.195,87
165,0,29535,Brice Garnett,+.196,46
166,0,36801,Mark Hubbard,+.198,101
167,0,59143,Mac Meissner,+.200,120
168,0,52374,Brandon Wu,+.203,69
169,0,33399,Adam Hadwin,+.207,121
170,0,50525,Collin Morikawa,+.208,72
171,0,45522,Christiaan Bezuidenhout,+.212,113
171,0,48699,Callum Tarren,+.212,118
173,0,27129,Luke List,+.219,128
174,0,45609,Tyler Duncan,+.220,59
175,0,60067,Joe Highsmith,+.221,122
176,0,23320,Ryan Palmer,+.222,81
177,0,46113,Ryan McCormick,+.223,103
178,0,12716,Charley Hoffman,+.248,105
179,0,29478,Kevin Kisner,+.250,76
180,0,27649,Brandt Snedeker,+.257,101
181,0,27330,Josh Teater,+.259,54
182,0,36326,David Lipsky,+.278,97
183,0,51349,Nico Echavarria,+.282,103
184,0,36884,Ben Kohles,+.298,94
