RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,34262,Jon Curran,10.28,93,905,+0.172
2,0,29720,Andres Gonzales,9.54,101,1059,+0.109
3,0,34261,Scott Langley,9.36,103,1101,+0.097
4,0,24138,Ian Poulter,9.28,62,668,E
5,0,34174,John Huh,9.11,113,1240,+0.088
6,0,23800,Bryce Molder,9.02,97,1075,-0.010
7,0,29222,Billy Hurley III,8.79,77,876,+0.169
8,0,34256,Andrew Putnam,8.61,65,755,+0.262
9,0,10809,Jim Furyk,8.56,62,724,-0.113
10,0,26951,Johnson Wagner,8.52,68,798,+0.176
11,0,10860,Justin Leonard,8.50,64,753,+0.188
12,0,26300,Matt Jones,8.40,79,940,E
13,0,35541,John Peterson,8.30,89,1072,+0.157
14,0,20848,Ángel Cabrera,8.28,49,592,+0.041
15,0,22371,Aaron Baddeley,8.23,76,924,+0.197
16,0,35545,Blayne Barber,8.20,72,878,E
17,0,25686,Jason Dufner,8.10,54,667,+0.130
18,0,23541,Ben Crane,8.09,59,729,+0.136
19,0,34265,Will Wilcox,8.07,46,570,-0.043
20,0,25240,D.A. Points,8.04,65,808,+0.215
21,0,08075,Jerry Kelly,8.03,74,921,+0.095
22,0,10885,Robert Allenby,8.01,57,712,+0.228
22,0,28132,Tyrone Van Aswegen,8.01,47,587,+0.149
24,0,24846,Ricky Barnes,7.98,70,877,+0.171
25,0,23623,Bo Van Pelt,7.94,72,907,+0.139
26,0,40058,Zac Blair,7.81,96,1229,+0.104
27,0,12510,Chad Campbell,7.80,99,1269,+0.081
28,0,31193,Jim Renner,7.79,61,783,+0.098
29,0,24925,Jonathan Byrd,7.72,55,712,+0.091
29,0,23983,Luke Donald,7.72,58,751,+0.121
31,0,27770,Camilo Villegas,7.69,80,1040,+0.163
32,0,26596,Ryan Moore,7.62,65,853,-0.092
33,0,27963,Chris Stroud,7.57,72,951,+0.042
34,0,20157,Retief Goosen,7.55,63,834,+0.127
35,0,24140,Sean O'Hair,7.54,85,1128,-0.035
36,0,26758,David Hearn,7.43,88,1185,+0.102
37,0,37454,Whee Kim,7.41,58,783,-0.069
38,0,30926,Chris Kirk,7.38,58,786,+0.103
39,0,32200,Roberto Castro,7.37,37,502,+0.189
40,0,32640,Troy Merritt,7.36,84,1142,+0.036
41,0,33413,Ben Martin,7.30,79,1082,+0.127
42,0,25720,Chad Collins,7.27,64,880,+0.094
43,0,30852,Ryo Ishikawa,7.26,76,1047,+0.250
44,0,24490,George McNeill,7.25,90,1242,+0.111
45,0,24361,Pat Perez,7.24,84,1160,+0.155
46,0,25834,Daniel Summerhays,7.09,88,1241,+0.057
47,0,40026,Daniel Berger,7.08,82,1159,+0.122
48,0,20472,Alex Cejka,7.00,77,1100,+0.208
48,0,27466,Spencer Levin,7.00,81,1157,+0.136
50,0,31560,Brian Stuard,6.98,77,1103,+0.169
51,0,26851,Marc Leishman,6.90,52,754,E
52,0,20104,Ken Duke,6.81,74,1087,+0.027
53,0,32334,Charlie Beljan,6.79,54,795,+0.148
53,0,23353,J.J. Henry,6.79,72,1060,+0.194
55,0,30711,Colt Knost,6.78,70,1032,+0.143
56,0,29535,Brice Garnett,6.73,60,892,+0.017
56,0,24502,Adam Scott,6.73,30,446,+0.167
58,0,21528,Henrik Stenson,6.70,41,612,-0.024
59,0,25396,Kevin Na,6.68,66,988,+0.045
60,0,28486,Michael Putnam,6.66,63,946,+0.095
61,0,21878,Mark Wilson,6.65,75,1128,+0.187
62,0,28679,Fabián Gómez,6.64,64,964,+0.141
63,0,27895,Jonas Blixt,6.62,48,725,+0.167
63,0,31416,Derek Fathauer,6.62,61,921,+0.213
65,0,33122,Russell Knox,6.60,80,1213,+0.138
66,0,28023,Byron Smith,6.49,39,601,+0.462
66,0,32150,Michael Thompson,6.49,68,1048,+0.147
66,0,30927,Brendon Todd,6.49,69,1063,-0.043
69,0,28500,Martin Flores,6.44,71,1102,+0.169
70,0,26329,Louis Oosthuizen,6.40,42,656,+0.119
71,0,34130,Sung Joon Park,6.39,56,876,+0.232
71,0,29223,Sam Saunders,6.39,56,877,+0.196
73,0,25191,Gonzalo Fernandez-Castaño,6.38,56,878,+0.232
74,0,31557,Jim Herman,6.31,68,1077,+0.191
75,0,32366,Kevin Chappell,6.30,66,1048,-0.030
76,0,24357,K.J. Choi,6.28,50,796,+0.160
76,0,20645,John Senden,6.28,45,716,+0.311
78,0,06567,Vijay Singh,6.24,60,962,-0.067
79,0,24024,Zach Johnson,6.21,61,983,-0.016
80,0,25274,Steven Bowditch,6.16,76,1233,+0.197
81,0,28475,Jeff Overton,6.13,64,1044,+0.203
82,0,33399,Adam Hadwin,6.12,69,1128,+0.232
83,0,25892,Steve Wheatcroft,6.08,61,1004,+0.098
84,0,29289,S.Y. Noh,6.05,46,760,+0.109
85,0,29518,Brendan Steele,6.03,64,1062,+0.078
85,0,29425,Andrew Svoboda,6.03,59,978,+0.169
87,0,24358,Robert Garrigus,6.02,46,764,+0.087
87,0,34563,Chesson Hadley,6.02,75,1245,+0.200
89,0,34264,Hudson Swafford,5.95,69,1159,+0.014
90,0,27933,John Merrick,5.93,48,809,-0.021
90,0,25349,Tim Wilkinson,5.93,48,809,+0.292
92,0,30946,Alex Prugh,5.88,59,1004,-0.034
93,0,22046,Geoff Ogilvy,5.87,29,494,+0.276
94,0,25818,Scott Piercy,5.86,68,1160,+0.015
95,0,33419,Cameron Tringale,5.82,64,1100,-0.031
96,0,29926,Danny Lee,5.81,81,1394,+0.148
97,0,22892,Jason Gore,5.80,47,811,+0.106
98,0,32448,James Hahn,5.78,63,1090,-0.016
98,0,23548,Bill Lunde,5.78,29,502,+0.241
100,0,21753,Brian Davis,5.77,57,988,+0.088
100,0,27064,Jhonattan Vegas,5.77,58,1005,+0.155
102,0,31202,William McGirt,5.76,78,1355,+0.115
103,0,29476,Kyle Reifers,5.73,64,1117,-0.031
104,0,25562,Andres Romero,5.72,43,752,+0.116
104,0,33486,Roger Sloan,5.72,32,559,+0.313
106,0,25198,Francesco Molinari,5.70,34,596,+0.176
106,0,33667,Carlos Ortiz,5.70,66,1157,+0.182
106,0,22293,Heath Slocum,5.70,31,544,+0.065
109,0,23048,Eric Axley,5.66,34,601,+0.412
109,0,20229,Stewart Cink,5.66,52,919,+0.077
111,0,28780,Nicholas Thompson,5.65,55,974,+0.036
112,0,24494,Erik Compton,5.64,55,976,+0.236
113,0,26331,Charl Schwartzel,5.57,32,574,+0.344
114,0,34098,Russell Henley,5.52,52,942,+0.135
114,0,35451,Scott Pinckney,5.52,57,1032,+0.263
116,0,35539,Luke Guthrie,5.49,52,947,+0.250
117,0,28307,Matt Every,5.47,43,786,+0.442
118,0,27436,Graham DeLaet,5.44,41,754,+0.171
119,0,23621,Rory Sabbatini,5.43,50,920,+0.280
120,0,22405,Justin Rose,5.41,37,684,+0.054
120,0,27095,Nick Watney,5.41,61,1128,-0.016
120,0,20396,Lee Westwood,5.41,24,444,+0.083
123,0,30944,Jason Kokrak,5.39,60,1114,+0.233
124,0,28259,Sangmoon Bae,5.36,66,1232,+0.076
124,0,27649,Brandt Snedeker,5.36,56,1045,+0.161
126,0,29478,Kevin Kisner,5.34,70,1311,+0.086
126,0,25493,Nick Taylor,5.34,62,1161,+0.081
128,0,34409,David Lingmerth,5.32,55,1034,+0.091
129,0,23638,Brendon de Jonge,5.30,68,1282,+0.088
130,0,30692,Scott Stallings,5.25,36,686,+0.500
131,0,29479,Scott Brown,5.22,59,1131,+0.254
132,0,26289,Boo Weekley,5.14,48,934,+0.125
133,0,34358,Jonathan Randolph,5.12,40,781,+0.225
134,0,34099,Harris English,5.06,62,1226,-0.097
135,0,24781,Hunter Mahan,5.03,46,914,+0.152
136,0,06522,Ernie Els,4.96,27,544,+0.593
137,0,24924,Bill Haas,4.94,49,992,-0.020
138,0,36801,Mark Hubbard,4.93,42,852,+0.286
138,0,25345,Carl Pettersson,4.93,66,1339,+0.227
140,0,34360,Patrick Reed,4.90,52,1062,+0.096
141,0,32102,Rickie Fowler,4.89,39,798,+0.128
141,0,25632,Jimmy Walker,4.89,44,900,+0.250
143,0,20771,Steven Alker,4.87,34,698,-0.059
144,0,39977,Max Homa,4.86,42,865,+0.286
145,0,35532,Tom Hoge,4.84,44,909,+0.023
146,0,02206,David Toms,4.83,37,766,+0.243
147,0,22056,Cameron Percy,4.81,39,811,+0.231
148,0,01706,Davis Love III,4.76,28,588,+0.250
149,0,27936,Martin Laird,4.72,48,1016,+0.292
150,0,20766,Padraig Harrington,4.68,32,684,+0.219
151,0,33461,Morgan Hoffmann,4.67,45,964,+0.200
152,0,25364,Paul Casey,4.65,41,881,-0.122
152,0,20691,Greg Owen,4.65,26,559,-0.115
154,0,31323,Gary Woodland,4.51,34,754,+0.118
155,0,33418,Shawn Stefani,4.49,55,1226,+0.145
156,0,25369,Jamie Donaldson,4.48,20,446,+0.200
157,0,34431,Robert Streb,4.45,60,1348,+0.150
158,0,25900,Lucas Glover,4.39,44,1002,+0.159
