RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,25804,Bubba Watson,307.4,242243,788
2,0,30925,Dustin Johnson,303.3,229332,756
3,0,28089,Jason Day,301.7,241964,802
4,0,27141,J.B. Holmes,300.6,278935,928
5,0,36699,Patrick Rodgers,298.0,191305,642
6,0,36689,Brooks Koepka,296.5,269770,910
7,0,24502,Adam Scott,294.6,131392,446
8,0,29725,Tony Finau,294.2,377715,1284
9,0,23320,Ryan Palmer,292.9,220858,754
10,0,21961,Charles Howell III,292.4,403509,1380
11,0,30944,Jason Kokrak,292.3,325644,1114
12,0,31323,Gary Woodland,291.5,219770,754
13,0,32334,Charlie Beljan,291.3,231554,795
13,0,22405,Justin Rose,291.3,199269,684
13,0,33448,Justin Thomas,291.3,389786,1338
16,0,12716,Charley Hoffman,291.2,309885,1064
17,0,25274,Steven Bowditch,290.3,357927,1233
18,0,33141,Keegan Bradley,289.9,259174,894
19,0,24358,Robert Garrigus,289.8,221379,764
19,0,33667,Carlos Ortiz,289.8,335342,1157
19,0,25632,Jimmy Walker,289.8,260852,900
22,0,21209,Sergio Garcia,289.6,145960,504
23,0,26331,Charl Schwartzel,289.1,165929,574
24,0,20848,Ángel Cabrera,289.0,171073,592
24,0,01810,Phil Mickelson,289.0,221915,768
26,0,24781,Hunter Mahan,288.9,264083,914
27,0,29518,Brendan Steele,288.8,306717,1062
28,0,34098,Russell Henley,288.3,271583,942
29,0,32102,Rickie Fowler,288.2,230001,798
30,0,33461,Morgan Hoffmann,288.1,277681,964
31,0,28500,Martin Flores,287.7,317023,1102
32,0,32839,Hideki Matsuyama,287.4,282787,984
32,0,26329,Louis Oosthuizen,287.4,188519,656
32,0,25818,Scott Piercy,287.4,333382,1160
35,0,37273,Derek Ernst,287.3,252238,878
35,0,34431,Robert Streb,287.3,387246,1348
37,0,29420,Billy Horschel,287.2,294058,1024
38,0,40026,Daniel Berger,287.0,332677,1159
39,0,25900,Lucas Glover,286.7,287275,1002
39,0,26300,Matt Jones,286.7,269491,940
39,0,27064,Jhonattan Vegas,286.7,288118,1005
42,0,33418,Shawn Stefani,286.6,351389,1226
43,0,33486,Roger Sloan,286.3,160043,559
43,0,34046,Jordan Spieth,286.3,263387,920
43,0,25493,Nick Taylor,286.3,332362,1161
46,0,34099,Harris English,286.2,350882,1226
46,0,27936,Martin Laird,286.2,290804,1016
48,0,39977,Max Homa,286.1,247467,865
48,0,34360,Patrick Reed,286.1,303838,1062
48,0,20396,Lee Westwood,286.1,127012,444
51,0,20691,Greg Owen,285.8,159743,559
51,0,22056,Cameron Percy,285.8,231814,811
53,0,30692,Scott Stallings,285.7,195999,686
54,0,35532,Tom Hoge,285.3,259342,909
54,0,22046,Geoff Ogilvy,285.3,140949,494
56,0,25364,Paul Casey,285.2,251305,881
57,0,26289,Boo Weekley,285.0,266175,934
58,0,32448,James Hahn,284.8,310439,1090
58,0,25562,Andres Romero,284.8,214135,752
60,0,25369,Jamie Donaldson,284.7,126987,446
60,0,29289,S.Y. Noh,284.7,216395,760
60,0,27095,Nick Watney,284.7,321157,1128
