RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,24846,Ricky Barnes,6.85,10,146,+0.60
2,0,34262,Jon Curran,5.92,9,152,E
3,0,25396,Kevin Na,5.75,10,174,+0.30
4,0,29222,Billy Hurley III,4.79,7,146,+0.43
5,0,31193,Jim Renner,4.62,6,130,+1.33
6,0,25349,Tim Wilkinson,4.55,6,132,+0.83
7,0,36801,Mark Hubbard,4.05,6,148,+0.50
8,0,34256,Andrew Putnam,3.97,5,126,+1.00
9,0,30692,Scott Stallings,3.85,4,104,+1.75
10,0,23983,Luke Donald,3.73,5,134,+0.20
11,0,23541,Ben Crane,3.51,4,114,+0.50
12,0,32200,Roberto Castro,3.41,3,88,+1.00
12,0,31560,Brian Stuard,3.41,6,176,+0.33
14,0,25720,Chad Collins,3.29,5,152,+0.40
15,0,10860,Justin Leonard,3.28,4,122,E
16,0,25686,Jason Dufner,3.23,4,124,+0.25
17,0,12510,Chad Campbell,3.13,6,192,E
17,0,10809,Jim Furyk,3.13,4,128,-0.25
17,0,27963,Chris Stroud,3.13,5,160,+0.20
20,0,24024,Zach Johnson,2.98,5,168,-0.20
21,0,40058,Zac Blair,2.97,6,202,+0.83
22,0,21878,Mark Wilson,2.94,5,170,+0.60
23,0,25198,Francesco Molinari,2.83,3,106,+0.33
24,0,29476,Kyle Reifers,2.81,5,178,E
25,0,10885,Robert Allenby,2.78,3,108,+0.33
25,0,28023,Byron Smith,2.78,3,108,+1.00
27,0,26300,Matt Jones,2.67,4,150,E
28,0,23623,Bo Van Pelt,2.60,4,154,+0.75
29,0,25834,Daniel Summerhays,2.48,5,202,+0.60
30,0,25892,Steve Wheatcroft,2.47,4,162,+0.25
31,0,32366,Kevin Chappell,2.44,4,164,E
32,0,28307,Matt Every,2.42,3,124,+1.33
33,0,29478,Kevin Kisner,2.40,5,208,E
34,0,20104,Ken Duke,2.33,4,172,+0.25
