RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,30925,Dustin Johnson,317.7,45109,142
2,0,25804,Bubba Watson,315.2,40351,128
3,0,28089,Jason Day,313.7,45166,144
4,0,24502,Adam Scott,311.6,27425,88
5,0,27141,J.B. Holmes,309.9,47731,154
6,0,32334,Charlie Beljan,309.8,41516,134
7,0,29725,Tony Finau,309.0,64897,210
8,0,36689,Brooks Koepka,308.2,49312,160
9,0,36699,Patrick Rodgers,307.7,31997,104
10,0,33141,Keegan Bradley,306.1,48362,158
11,0,30944,Jason Kokrak,305.6,53789,176
12,0,31323,Gary Woodland,305.5,39709,130
13,0,23320,Ryan Palmer,305.2,43955,144
14,0,22405,Justin Rose,303.5,37636,124
15,0,33448,Justin Thomas,303.2,63667,210
16,0,29518,Brendan Steele,302.9,50277,166
17,0,21961,Charles Howell III,302.7,62968,208
18,0,40026,Daniel Berger,302.1,58001,192
18,0,25274,Steven Bowditch,302.1,59213,196
20,0,24358,Robert Garrigus,301.7,39218,130
21,0,25632,Jimmy Walker,301.6,48854,162
22,0,27936,Martin Laird,300.5,45672,152
22,0,01810,Phil Mickelson,300.5,42068,140
24,0,26331,Charl Schwartzel,300.4,32438,108
25,0,21209,Sergio Garcia,300.0,28802,96
25,0,20396,Lee Westwood,300.0,26404,88
27,0,27064,Jhonattan Vegas,299.9,48585,162
28,0,20848,Ángel Cabrera,299.7,31763,106
29,0,12716,Charley Hoffman,298.9,55596,186
29,0,34264,Hudson Swafford,298.9,56192,188
31,0,26329,Louis Oosthuizen,298.8,35261,118
32,0,27436,Graham DeLaet,298.7,38236,128
33,0,34099,Harris English,298.4,60286,202
33,0,33667,Carlos Ortiz,298.4,54309,182
35,0,25364,Paul Casey,297.8,46450,156
36,0,34098,Russell Henley,297.1,46941,158
36,0,34431,Robert Streb,297.1,65357,220
38,0,25900,Lucas Glover,296.9,46911,158
39,0,28500,Martin Flores,296.8,53430,180
39,0,32102,Rickie Fowler,296.8,40367,136
41,0,25818,Scott Piercy,296.7,53410,180
42,0,34265,Will Wilcox,296.6,29064,98
43,0,21528,Henrik Stenson,296.4,33202,112
44,0,33418,Shawn Stefani,296.3,55704,188
45,0,33461,Morgan Hoffmann,296.1,47382,160
46,0,26300,Matt Jones,296.0,45585,154
47,0,24140,Sean O'Hair,295.3,50792,172
47,0,25562,Andres Romero,295.3,38683,131
49,0,30946,Alex Prugh,295.2,46642,158
50,0,37273,Derek Ernst,295.1,41308,140
50,0,32448,James Hahn,295.1,52523,178
50,0,24781,Hunter Mahan,295.1,46626,158
53,0,29420,Billy Horschel,295.0,51924,176
54,0,25369,Jamie Donaldson,294.9,25363,86
55,0,26851,Marc Leishman,294.8,35962,122
56,0,01706,Davis Love III,294.7,27703,94
57,0,29720,Andres Gonzales,294.5,50069,170
