RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,02242,Lanny Wadkins,.69,3,432
2,0,01331,Rick Fehr,.89,4,450
3,0,01072,Chip Beck,.93,4,432
4,0,01313,Steve Elkington,.97,4,414
5,0,01320,Bob Estes,1.03,5,486
6,0,01549,Mike Hulbert,1.08,6,558
7,0,01355,Raymond Floyd,1.11,3,270
7,0,01846,Jodie Mudd,1.11,4,360
9,0,02090,Tom Sieckmann,1.19,6,504
10,0,01235,Ben Crenshaw,1.21,5,414
11,0,01577,Lee Janzen,1.25,7,558
12,0,02104,Jeff Sluman,1.30,7,540
13,0,01219,John Cook,1.32,5,378
14,0,01132,Mark Brooks,1.34,7,522
15,0,02246,Duffy Waldorf,1.39,6,432
16,0,01098,Jay Don Blake,1.45,6,414
16,0,01823,Larry Mize,1.45,6,414
16,0,02267,D.A. Weibring,1.45,6,414
19,0,01203,Russ Cochran,1.53,8,522
20,0,02292,Bob Wolcott,1.59,10,630
21,0,02111,Mike Smith,1.61,9,558
22,0,01926,Steve Pate,1.67,9,540
22,0,02041,Bill Sander,1.67,6,360
24,0,02146,Payne Stewart,1.69,7,414
25,0,01968,Nick Price,1.71,8,468
26,0,02230,Stan Utley,1.72,9,522
27,0,01978,Fran Quinn,1.78,8,450
28,0,01553,John Huston,1.79,10,558
28,0,01943,Chris Perry,1.79,9,504
30,0,01677,Tom Lehman,1.85,9,486
30,0,02313,Bruce Zabriski,1.85,9,486
32,0,01306,David Edwards,1.92,9,468
33,0,01329,Brad Faxon,2.00,9,450
33,0,02279,Mark Wiebe,2.00,9,450
35,0,06142,Mitch Adcock,2.06,10,486
35,0,01569,Peter Jacobsen,2.06,10,486
37,0,02133,Craig Stadler,2.08,9,432
38,0,01435,Wayne Grady,2.12,8,378
39,0,01495,Morris Hatalsky,2.14,10,468
40,0,01390,Buddy Gardner,2.15,12,558
40,0,02067,Ted Schulz,2.15,12,558
42,0,01958,Dan Pohl,2.16,7,324
43,0,01196,Brian Claar,2.18,11,504
44,0,01736,Roger Maltbie,2.22,8,360
45,0,06034,Marco Dawson,2.26,11,486
46,0,01385,Jim Gallagher Jr.,2.38,12,504
46,0,02223,Bob Tway,2.38,9,378
48,0,01887,Mark O'Meara,2.42,10,414
49,0,01143,Brad Bryant,2.43,14,576
49,0,01960,Don Pooley,2.43,7,288
51,0,01682,Wayne Levi,2.44,11,450
52,0,02321,Fuzzy Zoeller,2.47,8,324
53,0,01139,Olin Browne,2.49,13,522
54,0,01214,Frank Conner,2.51,14,558
54,0,01284,Mike Donald,2.51,14,558
56,0,01023,Jerry Anderson,2.53,15,594
56,0,01837,Gil Morgan,2.53,10,396
56,0,02099,Scott Simpson,2.53,10,396
59,0,01288,Ed Dougherty,2.54,16,630
60,0,01060,Dave Barr,2.55,11,432
60,0,01928,Corey Pavin,2.55,11,432
60,0,02007,Larry Rinker,2.55,11,432
63,0,06122,Greg Hickman,2.56,12,468
63,0,01755,Dick Mast,2.56,12,468
65,0,01353,Bruce Fleisher,2.58,13,504
65,0,01457,Jay Haas,2.58,13,504
65,0,01938,David Peoples,2.58,13,504
65,0,02303,Robert Wrenn,2.58,13,504
69,0,01639,Kenny Knox,2.59,14,540
70,0,06044,Scott Gump,2.60,15,576
71,0,06332,Neal Lancaster,2.61,16,612
72,0,01307,Joel Edwards,2.63,9,342
72,0,01559,Hale Irwin,2.63,9,342
74,0,01042,Paul Azinger,2.66,11,414
75,0,01093,Ronnie Black,2.67,12,450
75,0,01378,David Frost,2.67,12,450
77,0,01014,Fulton Allem,2.78,14,504
77,0,01142,Bart Bryant,2.78,9,324
77,0,01261,Jay Delsing,2.78,14,504
77,0,01346,Ed Fiori,2.78,15,540
77,0,01510,Nolan Henke,2.78,13,468
77,0,01527,Scott Hoch,2.78,8,288
77,0,02010,Loren Roberts,2.78,14,504
77,0,06040,John Ross,2.78,14,504
77,0,02095,Larry Silveira,2.78,9,324
77,0,02190,Doug Tewell,2.78,11,396
87,0,02185,Lance Ten Broeck,2.86,17,594
88,0,01035,Tommy Armour III,2.87,15,522
88,0,02131,Mike Springer,2.87,15,522
90,0,01040,Emlyn Aubrey,2.88,14,486
90,0,07569,Mark Carnevale,2.88,14,486
90,0,01361,Dan Forsman,2.88,14,486
90,0,02225,Howard Twitty,2.88,14,486
94,0,02100,Tim Simpson,2.90,12,414
95,0,06090,Jim McGovern,2.95,17,576
96,0,01876,Greg Norman,2.96,8,270
97,0,01096,Phil Blackmar,3.01,13,432
97,0,01975,Tom Purtzer,3.01,13,432
99,0,01414,Bob Gilder,3.07,16,522
99,0,01971,Dillard Pruitt,3.07,16,522
101,0,01024,Billy Andrade,3.09,15,486
101,0,06124,Patrick Burke,3.09,15,486
101,0,01468,Gary Hallberg,3.09,15,486
101,0,01522,Lon Hinkle,3.09,10,324
105,0,02224,Greg Twiggs,3.13,9,288
106,0,01376,Bob Friend,3.15,17,540
106,0,01557,John Inman,3.15,17,540
108,0,01725,John Mahaffey,3.17,16,504
109,0,02094,Tony Sills,3.21,15,468
110,0,01381,Fred Funk,3.23,18,558
110,0,02101,Joey Sindelar,3.23,18,558
112,0,01996,Mike Reid,3.24,14,432
113,0,02206,David Toms,3.26,17,522
114,0,02159,Curtis Strange,3.27,10,306
115,0,01133,Billy Ray Brown,3.28,13,396
116,0,01185,Brandel Chamblee,3.29,16,486
116,0,08277,Greg Lesher,3.29,16,486
116,0,01946,Peter Persons,3.29,16,486
116,0,02226,Tray Tyner,3.29,16,486
120,0,01161,Mark Calcavecchia,3.33,15,450
120,0,01489,Steve Hart,3.33,18,540
120,0,01724,Jeff Maggert,3.33,15,450
123,0,06128,Steve Lamontagne,3.37,17,504
123,0,02135,Mike Standly,3.37,17,504
125,0,01783,Mark McCumber,3.38,14,414
126,0,02033,Dave Rummells,3.41,19,558
127,0,01701,Bob Lohr,3.45,18,522
128,0,01945,Kenny Perry,3.47,15,432
128,0,02298,Jim Woodward,3.47,15,432
130,0,01388,Robert Gamez,3.56,16,450
130,0,01444,Ken Green,3.56,16,450
132,0,01181,Jon Chaffee,3.57,18,504
132,0,01771,Blaine McCallister,3.57,18,504
134,0,01690,Bruce Lietzke,3.59,11,306
135,0,01475,Donnie Hammond,3.61,13,360
136,0,02063,Dave Schreyer,3.62,15,414
137,0,01249,John Daly,3.70,16,432
137,0,01323,Brad Fabel,3.70,18,486
137,0,01706,Davis Love III,3.70,16,432
137,0,01723,Andrew Magee,3.70,18,486
137,0,02167,Mike Sullivan,3.70,18,486
137,0,02201,Jim Thorpe,3.70,14,378
143,0,01550,Ed Humenik,3.76,21,558
144,0,06575,Dudley Hart,3.77,19,504
145,0,01129,Bill Britton,3.78,17,450
