RANK,MOVEMENT,PLAYER_ID,PLAYER,RANK/FEDEX MOVEMENT,OTT RANK/PREV FEDEX RANK,PUTT RANK/CUR FEDEX RANK
1,10,35506,Mackenzie Hughes,1,2.243,0
2,23,48081,Xander Schauffele,2,2.125,0
3,44,25396,Kevin Na,3,.608,0
4,45,34363,Tyrrell Hatton,4,.551,0
5,29,29478,Kevin Kisner,5,.413,0
6,44,48822,Sebastián Muñoz,6,.324,0
7,19,35310,Lanto Griffin,7,.306,0
8,7,34360,Patrick Reed,8,.305,0
9,60,26851,Marc Leishman,9,.273,0
10,-9,30927,Brendon Todd,10,.251,0
11,27,28237,Rory McIlroy,11,.244,0
12,-3,30925,Dustin Johnson,12,.236,0
13,20,45486,Joaquin Niemann,13,.211,0
14,-7,45526,Abraham Ancer,14,.115,0
15,5,50525,Collin Morikawa,15,-.015,0
16,-13,29725,Tony Finau,16,-.051,0
17,-11,46970,Jon Rahm,17,-.124,0
18,0,29221,Webb Simpson,18,-.136,0
19,18,34099,Harris English,19,-.155,0
20,19,35891,Cameron Smith,20,-.216,0
21,23,40026,Daniel Berger,21,-.253,0
22,5,33448,Justin Thomas,22,-.402,0
23,8,32839,Hideki Matsuyama,23,-.419,0
24,37,29420,Billy Horschel,24,-.446,0
25,20,39971,Sungjae Im,25,-.468,0
26,30,46046,Scottie Scheffler,26,-.660,0
27,-22,47959,Bryson DeChambeau,27,-.750,0
28,29,23320,Ryan Palmer,28,-1.071,0
29,-10,46717,Viktor Hovland,29,-1.482,0
30,34,52372,Cameron Champ,30,-1.556,0
