RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,06567,Vijay Singh,69.00,1932,28
2,0,20157,Retief Goosen,69.07,967,14
2,0,02206,David Toms,69.07,2072,30
4,0,08793,Tiger Woods,69.22,1246,18
5,0,12652,Cameron Beckman,69.24,2354,34
6,0,01968,Nick Price,69.29,1455,21
7,0,06522,Ernie Els,69.30,1386,20
8,0,01457,Jay Haas,69.38,2220,32
9,0,01797,Rocco Mediate,69.46,1806,26
10,0,21961,Charles Howell III,69.50,3336,48
10,0,22913,John Rollins,69.50,4170,60
12,0,10885,Robert Allenby,69.51,2711,39
13,0,01381,Fred Funk,69.55,3408,49
14,0,01945,Kenny Perry,69.56,2713,39
15,0,02223,Bob Tway,69.57,2574,37
16,0,01810,Phil Mickelson,69.58,1809,26
17,0,01320,Bob Estes,69.63,2855,41
18,0,02010,Loren Roberts,69.70,2579,37
19,0,01553,John Huston,69.71,3137,45
20,0,20572,Rod Pampling,69.72,3207,46
21,0,06251,Chris DiMarco,69.76,2372,34
22,0,10809,Jim Furyk,69.77,2093,30
22,0,02214,Kirk Triplett,69.77,2163,31
24,0,01938,David Peoples,69.84,3492,50
25,0,02239,Scott Verplank,69.85,2305,33
25,0,10423,Mike Weir,69.85,2864,41
27,0,20098,Stuart Appleby,69.87,2655,38
28,0,09011,David Duval,69.89,1957,28
29,0,10860,Justin Leonard,69.91,2237,32
30,0,23983,Luke Donald,69.93,3007,43
31,0,01226,Fred Couples,69.94,2238,32
31,0,08545,Glen Hnatiuk,69.94,3427,49
33,0,01307,Joel Edwards,69.96,3428,49
33,0,23621,Rory Sabbatini,69.96,1819,26
35,0,24357,K.J. Choi,69.97,2449,35
36,0,20127,Chris Riley,70.02,3151,45
37,0,23541,Ben Crane,70.05,2872,41
38,0,11032,Frank Lickliter II,70.12,2945,42
39,0,23614,Rich Beem,70.15,3297,47
40,0,01577,Lee Janzen,70.16,2666,38
40,0,20548,Hidemichi Tanaka,70.16,3087,44
42,0,01024,Billy Andrade,70.17,2947,42
43,0,06621,Joe Durant,70.18,2737,39
44,0,08075,Jerry Kelly,70.19,2597,37
45,0,24925,Jonathan Byrd,70.20,3159,45
45,0,01388,Robert Gamez,70.20,2106,30
47,0,01475,Donnie Hammond,70.21,1966,28
48,0,07457,Steve Flesch,70.23,2809,40
49,0,06575,Dudley Hart,70.24,2599,37
50,0,01139,Olin Browne,70.25,3934,56
50,0,01142,Bart Bryant,70.25,2529,36
52,0,01761,Len Mattiace,70.28,3233,46
53,0,06004,Stephen Ames,70.29,2952,42
54,0,01706,Davis Love III,70.30,2320,33
55,0,01928,Corey Pavin,70.33,2532,36
56,0,01707,Steve Lowery,70.34,2673,38
57,0,20229,Stewart Cink,70.37,2674,38
57,0,20634,Peter Lonard,70.37,3237,46
59,0,12510,Chad Campbell,70.38,3660,52
60,0,24361,Pat Perez,70.40,2464,35
61,0,20498,Briny Baird,70.43,3803,54
61,0,07721,Pat Bates,70.43,3451,49
63,0,06595,Kevin Sutherland,70.45,2959,42
64,0,19824,Craig Barlow,70.46,1973,28
64,0,02002,John Riegger,70.46,3241,46
66,0,10201,Matt Gogel,70.50,2538,36
67,0,20645,John Senden,70.51,3455,49
68,0,12823,Carlos Franco,70.52,4090,58
68,0,10733,Kent Jones,70.52,3667,52
68,0,02246,Duffy Waldorf,70.52,2962,42
71,0,12663,Phil Tataurangi,70.53,3033,43
72,0,23135,Tim Clark,70.54,2469,35
72,0,19846,Brian Gay,70.54,4162,59
74,0,12782,Tim Herron,70.56,3387,48
74,0,01527,Scott Hoch,70.56,1905,27
74,0,06527,Steve Stricker,70.56,1764,25
77,0,01161,Mark Calcavecchia,70.57,2470,35
77,0,23353,J.J. Henry,70.57,4093,58
