RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIES OR BETTER
1,0,52375,Doug Ghim,154
2,0,51349,Nico Echavarria,153
3,0,60067,Joe Highsmith,149
4,0,51894,Vince Whaley,149
5,0,52513,Carson Young,146
6,0,55893,Sam Stevens,146
7,0,40026,Daniel Berger,146
8,0,54591,Ben Griffin,146
9,0,54576,Patrick Fishburn,146
10,0,57900,Chandler Phillips,139
11,0,40162,Justin Lower,135
12,0,36801,Mark Hubbard,135
13,0,51696,Rico Hoey,134
14,0,36699,Patrick Rodgers,133
15,0,50188,S.H. Kim,132
16,0,60004,Jacob Bridgeman,130
17,0,25900,Lucas Glover,130
18,0,30163,Henrik Norlander,129
19,0,27936,Martin Laird,129
20,0,54421,Garrick Higgo,127
21,0,48084,Wesley Bryan,123
22,0,34255,Joseph Bramlett,123
23,0,34076,Joel Dahmen,121
24,0,39975,Michael Kim,120
25,0,47983,Chad Ramey,118
26,0,50484,Hayden Springer,118
27,0,48867,Matti Schmid,117
28,0,46442,Maverick McNealy,117
29,0,46340,Alex Smalley,116
30,0,40115,Adam Svensson,115
31,0,39324,J.J. Spaun,113
32,0,35310,Lanto Griffin,113
33,0,32757,Patton Kizzire,112
34,0,54628,Lee Hodges,110
35,0,35461,Beau Hossler,110
36,0,48319,Tom Whitney,110
37,0,52374,Brandon Wu,110
38,0,36884,Ben Kohles,108
39,0,32791,K.H. Lee,108
40,0,51997,Andrew Novak,107
41,0,27139,David Skinns,107
42,0,47988,Nick Hardy,106
43,0,56762,Will Gordon,105
44,0,33408,Tyson Alexander,104
45,0,50493,Justin Suh,104
46,0,32333,Kevin Tway,103
47,0,49947,Taylor Moore,102
48,0,46441,Robby Shelton,102
49,0,28775,Nate Lashley,101
50,0,27064,Jhonattan Vegas,100
51,0,36326,David Lipsky,99
52,0,48699,Callum Tarren,99
53,0,35506,Mackenzie Hughes,98
54,0,37275,Sam Ryder,98
55,0,34099,Harris English,96
56,0,50497,Adrien Dumont de Chassart,96
57,0,32366,Kevin Chappell,96
58,0,52514,Trace Crowe,95
59,0,50095,Austin Smotherman,95
60,0,40058,Zac Blair,95
61,0,27129,Luke List,93
62,0,23108,Matt Kuchar,93
63,0,51287,Ryo Hisatsune,93
64,0,39546,Keith Mitchell,92
65,0,57975,Harry Hall,92
66,0,54783,Dylan Wu,92
67,0,27214,Kevin Streelman,92
68,0,51890,Greyson Sigg,92
69,0,59836,Pierceson Coody,92
70,0,54328,Norman Xiong,91
71,0,33486,Roger Sloan,91
72,0,47591,Eric Cole,90
73,0,38991,Alejandro Tosti,89
74,0,45242,Kevin Yu,88
75,0,34021,Bud Cauley,88
76,0,12716,Charley Hoffman,88
77,0,56149,Wilson Furr,87
78,0,28252,Seamus Power,85
79,0,29936,Ryan Fox,83
80,0,32070,Rafael Campos,81
81,0,34563,Chesson Hadley,81
82,0,57364,Michael Thorbjornsen,81
83,0,47347,Adam Schenk,81
84,0,57362,Austin Eckroat,80
85,0,45609,Tyler Duncan,80
86,0,35879,Kelly Kraft,79
