RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,01132,Mark Brooks,2' 1",817,1735.667
1,0,06522,Ernie Els,2' 1",480,1005.083
1,0,10809,Jim Furyk,2' 1",720,1518.750
1,0,06012,Greg Kraft,2' 1",717,1508.250
5,0,21209,Sergio Garcia,2' 2",431,921.000
5,0,20105,Jeff Gove,2' 2",940,2038.500
5,0,24924,Bill Haas,2' 2",953,2053.333
5,0,12782,Tim Herron,2' 2",691,1493.917
5,0,24024,Zach Johnson,2' 2",843,1831.167
5,0,01619,Skip Kendall,2' 2",634,1385.333
5,0,20382,Stephen Leaney,2' 2",819,1744.417
5,0,10860,Justin Leonard,2' 2",700,1537.750
5,0,06350,Bob May,2' 2",597,1305.667
5,0,06373,José María Olazábal,2' 2",426,914.500
5,0,20127,Chris Riley,2' 2",698,1515.583
5,0,02104,Jeff Sluman,2' 2",884,1941.333
5,0,06527,Steve Stricker,2' 2",522,1129.500
5,0,02223,Bob Tway,2' 2",731,1603.250
19,0,06197,Michael Allen,2' 3",740,1645.250
19,0,01024,Billy Andrade,2' 3",654,1477.917
19,0,23048,Eric Axley,2' 3",832,1851.417
19,0,01042,Paul Azinger,2' 3",829,1841.000
19,0,22371,Aaron Baddeley,2' 3",673,1489.667
19,0,10505,Shane Bertsch,2' 3",947,2152.583
19,0,20229,Stewart Cink,2' 3",760,1683.000
19,0,01219,John Cook,2' 3",588,1319.667
19,0,19881,Robert Damron,2' 3",866,1916.083
19,0,06034,Marco Dawson,2' 3",803,1777.583
19,0,06251,Chris DiMarco,2' 3",660,1484.333
19,0,12823,Carlos Franco,2' 3",855,1940.250
19,0,19846,Brian Gay,2' 3",998,2262.250
19,0,12645,Brent Geiberger,2' 3",963,2180.000
19,0,20157,Retief Goosen,2' 3",484,1074.417
19,0,23353,J.J. Henry,2' 3",866,1956.000
19,0,21350,Ryuji Imada,2' 3",924,2110.917
19,0,08075,Jerry Kelly,2' 3",910,2075.167
19,0,10565,Ian Leggatt,2' 3",762,1712.917
19,0,01677,Tom Lehman,2' 3",539,1216.417
19,0,01810,Phil Mickelson,2' 3",494,1130.417
19,0,25842,Jon Mills,2' 3",608,1377.750
19,0,01948,Tim Petrovic,2' 3",884,2020.083
19,0,02101,Joey Sindelar,2' 3",867,1936.333
19,0,02214,Kirk Triplett,2' 3",510,1162.000
19,0,12755,Vance Veazey,2' 3",586,1324.667
19,0,02239,Scott Verplank,2' 3",710,1568.250
19,0,02246,Duffy Waldorf,2' 3",904,2050.833
47,0,06004,Stephen Ames,2' 4",466,1087.417
47,0,21407,Arjun Atwal,2' 4",862,2015.000
47,0,07223,Brian Bateman,2' 4",645,1529.333
47,0,23614,Rich Beem,2' 4",707,1658.833
47,0,24507,Jason Bohn,2' 4",966,2288.000
47,0,21646,David Branshaw,2' 4",975,2286.167
47,0,01139,Olin Browne,2' 4",902,2116.667
47,0,01142,Bart Bryant,2' 4",809,1917.333
47,0,20472,Alex Cejka,2' 4",887,2062.167
47,0,01226,Fred Couples,2' 4",354,838.583
47,0,26360,Bubba Dickerson,2' 4",950,2232.417
47,0,06621,Joe Durant,2' 4",1085,2544.000
47,0,01320,Bob Estes,2' 4",818,1929.083
47,0,20121,Todd Fischer,2' 4",938,2186.833
47,0,07457,Steve Flesch,2' 4",1092,2545.917
47,0,06643,Paul Goydos,2' 4",689,1595.333
47,0,23616,Ryan Hietala,2' 4",557,1316.000
47,0,12716,Charley Hoffman,2' 4",950,2219.167
47,0,22378,Trevor Immelman,2' 4",795,1873.917
47,0,01577,Lee Janzen,2' 4",725,1716.583
47,0,01666,Bernhard Langer,2' 4",623,1445.083
47,0,01706,Davis Love III,2' 4",606,1413.083
47,0,01761,Len Mattiace,2' 4",538,1246.750
47,0,01928,Corey Pavin,2' 4",617,1440.833
47,0,23497,Tag Ridings,2' 4",940,2211.667
47,0,24502,Adam Scott,2' 4",552,1269.167
47,0,22548,Patrick Sheehan,2' 4",937,2213.667
47,0,06567,Vijay Singh,2' 4",876,2070.167
47,0,08375,Paul Stankowski,2' 4",700,1633.083
47,0,20548,Hidemichi Tanaka,2' 4",712,1642.917
47,0,23788,D.J. Trahan,2' 4",812,1907.750
47,0,08385,Omar Uresti,2' 4",562,1315.750
47,0,27770,Camilo Villegas,2' 4",883,2037.833
47,0,25804,Bubba Watson,2' 4",800,1878.917
47,0,10423,Mike Weir,2' 4",666,1530.583
47,0,23322,Brett Wetterich,2' 4",798,1865.250
47,0,19913,Ron Whittaker,2' 4",793,1866.833
47,0,12602,Dean Wilson,2' 4",967,2287.000
47,0,21878,Mark Wilson,2' 4",775,1810.083
86,0,10885,Robert Allenby,2' 5",638,1532.750
86,0,01035,Tommy Armour III,2' 5",564,1373.333
86,0,19824,Craig Barlow,2' 5",627,1521.167
86,0,24925,Jonathan Byrd,2' 5",572,1358.833
86,0,12510,Chad Campbell,2' 5",738,1783.750
86,0,20593,Greg Chalmers,2' 5",590,1413.000
86,0,24357,K.J. Choi,2' 5",880,2132.833
86,0,20850,Daniel Chopra,2' 5",908,2182.917
86,0,11123,Chris Couch,2' 5",770,1891.083
86,0,22621,Ben Curtis,2' 5",738,1763.000
86,0,12760,Danny Ellis,2' 5",629,1509.000
86,0,01329,Brad Faxon,2' 5",753,1799.583
86,0,21805,Harrison Frazar,2' 5",769,1861.750
86,0,01381,Fred Funk,2' 5",923,2264.417
86,0,01388,Robert Gamez,2' 5",888,2181.750
86,0,25900,Lucas Glover,2' 5",926,2254.583
86,0,01473,Todd Hamilton,2' 5",585,1415.250
86,0,20766,Padraig Harrington,2' 5",397,949.667
86,0,06575,Dudley Hart,2' 5",757,1831.250
86,0,21961,Charles Howell III,2' 5",881,2116.667
86,0,06573,Brandt Jobe,2' 5",787,1888.833
86,0,26420,Richard Johnson,2' 5",919,2190.000
86,0,20094,Jonathan Kaye,2' 5",992,2385.500
86,0,12662,Thomas Levet,2' 5",548,1341.833
86,0,11032,Frank Lickliter II,2' 5",908,2199.333
86,0,21470,Daisuke Maruyama,2' 5",761,1860.000
86,0,12680,Shigeki Maruyama,2' 5",823,1955.583
86,0,27120,Troy Matteson,2' 5",978,2395.583
86,0,01766,Billy Mayfair,2' 5",860,2048.917
86,0,20631,David McKenzie,2' 5",751,1839.667
86,0,06515,Shaun Micheel,2' 5",872,2111.583
86,0,01823,Larry Mize,2' 5",452,1109.333
86,0,01887,Mark O'Meara,2' 5",367,901.833
86,0,20628,Arron Oberholser,2' 5",678,1647.750
86,0,21949,Joe Ogilvie,2' 5",809,1978.000
86,0,20572,Rod Pampling,2' 5",637,1546.333
86,0,12660,Jesper Parnevik,2' 5",765,1824.500
86,0,01941,Tom Pernice Jr.,2' 5",892,2189.083
86,0,01945,Kenny Perry,2' 5",697,1667.167
86,0,25240,D.A. Points,2' 5",747,1785.500
86,0,21959,Ted Purdy,2' 5",884,2125.750
86,0,22913,John Rollins,2' 5",840,2012.417
86,0,22293,Heath Slocum,2' 5",965,2328.917
86,0,02110,Jerry Smith,2' 5",910,2183.750
86,0,06595,Kevin Sutherland,2' 5",966,2374.167
86,0,23325,Vaughn Taylor,2' 5",786,1918.750
86,0,02206,David Toms,2' 5",653,1550.917
86,0,23349,Charles Warren,2' 5",910,2193.250
86,0,08793,Tiger Woods,2' 5",406,966.417
135,0,20498,Briny Baird,2' 6",788,1955.000
135,0,20099,Doug Barron,2' 6",683,1679.667
135,0,08123,Jeff Brehaut,2' 6",954,2349.000
135,0,23135,Tim Clark,2' 6",611,1531.583
135,0,01249,John Daly,2' 6",434,1094.250
135,0,23983,Luke Donald,2' 6",438,1093.250
135,0,01313,Steve Elkington,2' 6",521,1282.667
135,0,25935,John Engler Jr.,2' 6",693,1735.000
135,0,24358,Robert Garrigus,2' 6",809,2028.333
135,0,23718,Nathan Green,2' 6",957,2376.417
135,0,20378,Mathias Grönberg,2' 6",863,2133.000
135,0,24980,Scott Gutschewski,2' 6",504,1259.417
135,0,20608,David Howell,2' 6",318,788.333
135,0,01553,John Huston,2' 6",680,1718.833
135,0,10733,Kent Jones,2' 6",939,2363.917
135,0,01599,Steve Jones,2' 6",752,1878.917
135,0,20634,Peter Lonard,2' 6",737,1819.083
135,0,01707,Steve Lowery,2' 6",897,2233.167
135,0,24781,Hunter Mahan,2' 6",983,2434.333
135,0,07749,Brett Quigley,2' 6",1002,2509.083
135,0,22405,Justin Rose,2' 6",928,2294.250
135,0,21660,Jason Schultz,2' 6",718,1808.750
135,0,20645,John Senden,2' 6",900,2238.667
135,0,20812,Tjaart van der Walt,2' 6",560,1415.000
135,0,27095,Nick Watney,2' 6",914,2267.750
160,0,20098,Stuart Appleby,2' 7",665,1739.083
160,0,07867,Woody Austin,2' 7",958,2449.750
160,0,01161,Mark Calcavecchia,2' 7",838,2192.000
160,0,08835,Kris Cox,2' 7",786,2017.083
160,0,21753,Brian Davis,2' 7",878,2238.750
160,0,09011,David Duval,2' 7",558,1445.333
160,0,21731,Freddie Jacobson,2' 7",574,1463.333
160,0,01685,J.L. Lewis,2' 7",533,1358.083
160,0,24140,Sean O'Hair,2' 7",829,2138.500
160,0,28475,Jeff Overton,2' 7",939,2397.250
160,0,20691,Greg Owen,2' 7",686,1768.250
160,0,23320,Ryan Palmer,2' 7",879,2268.167
160,0,24361,Pat Perez,2' 7",456,1168.083
160,0,11011,Mike Sposa,2' 7",619,1622.083
160,0,23307,Roger Tambellini,2' 7",608,1563.833
160,0,28780,Nicholas Thompson,2' 7",888,2276.750
160,0,23623,Bo Van Pelt,2' 7",976,2511.750
160,0,25632,Jimmy Walker,2' 7",602,1555.417
178,0,25936,Alex Aragon,2' 8",570,1528.833
178,0,22946,Henrik Bjornstad,2' 8",960,2563.583
178,0,23673,Michael Connell,2' 8",474,1257.417
178,0,23541,Ben Crane,2' 8",616,1629.417
178,0,23409,James Driscoll,2' 8",809,2135.083
178,0,20574,Mathew Goggin,2' 8",655,1738.000
178,0,08537,J.P. Hayes,2' 8",505,1364.167
178,0,27141,J.B. Holmes,2' 8",684,1811.000
178,0,24912,Will MacKenzie,2' 8",853,2241.500
178,0,01724,Jeff Maggert,2' 8",758,2017.333
178,0,22046,Geoff Ogilvy,2' 8",545,1433.667
178,0,25345,Carl Pettersson,2' 8",779,2055.750
178,0,23621,Rory Sabbatini,2' 8",679,1829.583
191,0,26596,Ryan Moore,2' 9",609,1684.000
191,0,24138,Ian Poulter,2' 9",438,1212.167
191,0,07013,Wes Short Jr.,2' 9",928,2555.917
191,0,02106,Chris Smith,2' 9",685,1862.750
195,0,22892,Jason Gore,2' 10",784,2198.750
195,0,27943,Matt Hansen,2' 10",645,1813.583
