RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,01577,Lee Janzen,104.94,385,22,382
2,0,02322,Richard Zokol,103.85,208,12,204
3,0,01219,John Cook,103.73,268,16,262
4,0,23541,Ben Crane,103.71,350,24,339
5,0,20157,Retief Goosen,103.67,218,9,217
6,0,12782,Tim Herron,103.66,383,18,379
7,0,01042,Paul Azinger,103.45,203,13,197
8,0,01527,Scott Hoch,103.41,264,14,259
9,0,12510,Chad Campbell,103.37,475,27,464
10,0,12645,Brent Geiberger,103.20,375,23,364
11,0,12680,Shigeki Maruyama,103.13,288,15,282
12,0,02206,David Toms,103.10,451,26,439
13,0,19817,Michael Muehr,103.04,263,14,257
14,0,01926,Steve Pate,103.03,231,13,225
15,0,06078,Esteban Toledo,102.89,381,21,371
16,0,01457,Jay Haas,102.78,324,18,315
17,0,01024,Billy Andrade,102.74,401,21,391
18,0,12663,Phil Tataurangi,102.71,332,16,325
19,0,01666,Bernhard Langer,102.67,150,6,148
20,0,06004,Stephen Ames,102.62,305,15,298
20,0,01142,Bart Bryant,102.62,343,22,330
22,0,01329,Brad Faxon,102.60,308,13,303
23,0,10585,Scott McCarron,102.59,386,21,375
24,0,07749,Brett Quigley,102.45,408,24,394
24,0,02245,Grant Waite,102.45,449,25,435
26,0,08793,Tiger Woods,102.43,247,11,242
27,0,01378,David Frost,102.31,390,21,378
28,0,12660,Jesper Parnevik,102.30,217,14,208
29,0,01797,Rocco Mediate,102.27,309,15,301
30,0,01945,Kenny Perry,102.23,403,22,390
31,0,20127,Chris Riley,102.22,406,22,393
32,0,19846,Brian Gay,102.16,463,26,447
33,0,06573,Brandt Jobe,102.05,439,15,433
34,0,01313,Steve Elkington,101.99,301,14,293
34,0,10912,Craig Perks,101.99,301,18,289
36,0,06515,Shaun Micheel,101.97,457,22,444
37,0,02106,Chris Smith,101.96,408,18,398
38,0,23125,Brad Elder,101.95,307,14,299
38,0,02104,Jeff Sluman,101.95,512,22,500
40,0,01706,Davis Love III,101.92,365,13,359
41,0,06595,Kevin Sutherland,101.91,314,14,306
42,0,24357,K.J. Choi,101.85,379,19,367
43,0,01361,Dan Forsman,101.84,381,15,373
44,0,08339,Spike McRoy,101.82,275,11,269
45,0,23800,Bryce Molder,101.81,331,15,322
46,0,06012,Greg Kraft,101.80,388,17,378
47,0,10809,Jim Furyk,101.79,335,11,330
48,0,02002,John Riegger,101.75,400,18,389
49,0,01307,Joel Edwards,101.74,459,21,446
50,0,01161,Mark Calcavecchia,101.69,236,13,227
50,0,24937,Jess Daley,101.69,355,14,347
50,0,08633,Per-Ulrik Johansson,101.69,356,21,341
53,0,10425,Jay Williamson,101.66,421,22,406
54,0,20593,Greg Chalmers,101.61,373,21,358
54,0,21949,Joe Ogilvie,101.61,249,9,244
56,0,10107,Deane Pappas,101.60,376,11,371
57,0,02099,Scott Simpson,101.57,255,10,249
58,0,02239,Scott Verplank,101.54,324,10,319
59,0,01938,David Peoples,101.53,457,17,447
60,0,01887,Mark O'Meara,101.43,210,7,206
60,0,20663,Brenden Pappas,101.43,279,12,271
62,0,20572,Rod Pampling,101.37,365,18,352
62,0,06613,Tommy Tolles,101.37,291,10,285
64,0,01185,Brandel Chamblee,101.33,376,12,369
65,0,19824,Craig Barlow,101.32,303,14,293
65,0,20574,Mathew Goggin,101.32,302,10,296
67,0,07867,Woody Austin,101.30,461,20,447
68,0,06522,Ernie Els,101.19,252,12,243
69,0,10885,Robert Allenby,101.11,451,21,435
69,0,23903,Stephen Gangluff,101.11,361,19,346
71,0,01098,Jay Don Blake,101.10,455,19,441
71,0,22046,Geoff Ogilvy,101.10,362,16,350
73,0,01766,Billy Mayfair,101.08,370,16,358
74,0,10733,Kent Jones,101.05,478,15,468
74,0,10860,Justin Leonard,101.05,380,15,369
76,0,01968,Nick Price,101.03,292,10,285
76,0,23623,Bo Van Pelt,101.03,388,14,378
78,0,01810,Phil Mickelson,101.01,396,16,384
79,0,02110,Jerry Smith,100.99,405,18,391
80,0,06643,Paul Goydos,100.98,306,7,302
81,0,06567,Vijay Singh,100.95,422,13,413
82,0,01771,Blaine McCallister,100.92,327,9,321
83,0,01920,Craig Parry,100.91,328,12,319
84,0,01685,J.L. Lewis,100.90,445,19,430
85,0,01139,Olin Browne,100.89,447,21,430
85,0,21805,Harrison Frazar,100.89,338,16,325
87,0,23621,Rory Sabbatini,100.84,239,11,230
88,0,01320,Bob Estes,100.81,369,11,361
89,0,22293,Heath Slocum,100.77,391,13,381
90,0,10213,Dicky Pride,100.75,266,7,261
91,0,23614,Rich Beem,100.73,411,24,390
91,0,01707,Steve Lowery,100.73,412,21,394
91,0,06498,Matt Peterson,100.73,413,15,401
94,0,12388,Michael Clark II,100.72,419,17,405
94,0,12753,David Morland IV,100.72,276,14,264
96,0,02010,Loren Roberts,100.70,427,14,416
97,0,06621,Joe Durant,100.64,312,12,302
98,0,02101,Joey Sindelar,100.61,488,19,472
99,0,01381,Fred Funk,100.60,496,21,478
100,0,08881,Tripp Isenhour,100.58,346,16,332
101,0,01948,Tim Petrovic,100.51,391,15,378
102,0,07003,David Berganio Jr.,100.50,399,11,390
103,0,20498,Briny Baird,100.43,464,19,447
103,0,21961,Charles Howell III,100.43,470,16,456
105,0,02170,Hal Sutton,100.36,278,10,269
106,0,09011,David Duval,100.35,288,8,281
107,0,20566,Kaname Yokoo,100.34,294,13,282
108,0,01724,Jeff Maggert,100.33,302,8,295
109,0,23108,Matt Kuchar,100.32,317,10,308
110,0,10201,Matt Gogel,100.31,327,11,317
111,0,10423,Mike Weir,100.30,332,13,320
112,0,01035,Tommy Armour III,100.29,343,11,333
113,0,07457,Steve Flesch,100.26,387,17,371
114,0,21633,Steve Allan,100.25,407,18,390
114,0,19881,Robert Damron,100.25,397,12,386
114,0,01553,John Huston,100.25,399,24,376
114,0,06332,Neal Lancaster,100.25,400,16,385
114,0,20095,Carl Paulson,100.25,408,13,396
119,0,07721,Pat Bates,100.24,423,12,412
119,0,20029,Notah Begay III,100.24,416,21,396
121,0,20105,Jeff Gove,100.22,456,19,438
121,0,08545,Glen Hnatiuk,100.22,462,22,441
123,0,01761,Len Mattiace,100.20,489,18,472
124,0,22913,John Rollins,100.19,539,16,524
125,0,12652,Cameron Beckman,100.00,332,18,314
125,0,08123,Jeff Brehaut,100.00,420,9,411
125,0,01249,John Daly,100.00,167,6,161
125,0,06251,Chris DiMarco,100.00,410,13,397
125,0,23983,Luke Donald,100.00,459,15,444
125,0,01388,Robert Gamez,100.00,347,13,334
125,0,08537,J.P. Hayes,100.00,302,14,288
125,0,10117,Bob Heintz,100.00,288,10,278
125,0,06373,José María Olazábal,100.00,234,9,225
125,0,01928,Corey Pavin,100.00,296,13,283
125,0,08553,Lee Porter,100.00,392,13,379
125,0,11011,Mike Sposa,100.00,490,18,472
125,0,20436,Garrett Willis,100.00,350,9,341
138,0,12823,Carlos Franco,99.81,526,18,507
139,0,10649,Tom Scherrer,99.77,436,23,412
140,0,24925,Jonathan Byrd,99.75,405,12,392
140,0,08075,Jerry Kelly,99.75,399,12,386
142,0,11032,Frank Lickliter II,99.73,371,13,357
143,0,06617,Brian Henninger,99.67,303,9,293
144,0,01569,Peter Jacobsen,99.65,285,15,269
