RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,23063,Scott Hend,155.1,4869599.000,872
2,0,23322,Brett Wetterich,157.5,5223335.000,921
3,0,08793,Tiger Woods,158.0,4340447.000,763
4,0,01249,John Daly,158.5,4337181.000,760
5,0,21209,Sergio Garcia,161.1,4232524.000,730
6,0,06567,Vijay Singh,161.5,7042486.000,1211
7,0,24980,Scott Gutschewski,162.6,5748742.000,982
8,0,01945,Kenny Perry,162.8,4875768.000,832
9,0,20663,Brenden Pappas,163.0,3867202.000,659
10,0,23552,Hank Kuehne,163.1,5859764.000,998
11,0,20378,Mathias Grönberg,163.6,4559320.000,774
12,0,20396,Lee Westwood,164.8,2723122.000,459
13,0,06599,John Elliott,164.9,4143897.000,698
14,0,23725,Brendan Jones,165.1,5895882.000,992
15,0,25900,Lucas Glover,165.8,6435418.000,1078
16,0,21805,Harrison Frazar,165.9,7640940.000,1279
17,0,01810,Phil Mickelson,166.0,4100720.000,686
18,0,20098,Stuart Appleby,166.1,5227139.000,874
18,0,20572,Rod Pampling,166.1,5739526.000,960
20,0,26679,Kevin Stadler,166.6,6727915.000,1122
21,0,02106,Chris Smith,166.7,6972861.000,1162
22,0,01706,Davis Love III,166.9,4650118.000,774
22,0,23497,Tag Ridings,166.9,6831297.000,1137
24,0,23349,Charles Warren,167.0,6660648.000,1108
25,0,23320,Ryan Palmer,167.1,6636454.000,1103
26,0,24925,Jonathan Byrd,167.7,7719972.000,1279
27,0,24912,Will MacKenzie,167.9,5608211.000,928
28,0,22913,John Rollins,168.0,6869430.000,1136
28,0,23788,D.J. Trahan,168.0,5874206.000,971
30,0,23540,Jason Allred,168.5,5173913.000,853
31,0,24502,Adam Scott,168.6,4387923.000,723
32,0,23621,Rory Sabbatini,168.7,5011010.000,825
33,0,20433,Mark Hensby,168.8,4143399.000,682
34,0,20157,Retief Goosen,168.9,3617238.000,595
35,0,27095,Nick Watney,169.0,6621309.000,1088
36,0,24781,Hunter Mahan,169.2,7803113.000,1281
37,0,21633,Steve Allan,169.3,7333547.000,1203
38,0,26758,David Hearn,169.4,5146243.000,844
39,0,20850,Daniel Chopra,169.5,7749861.000,1270
39,0,06573,Brandt Jobe,169.5,6865102.000,1125
41,0,24140,Sean O'Hair,169.8,7194565.000,1177
42,0,01226,Fred Couples,169.9,3662979.000,599
43,0,20502,Michael Long,170.0,5367788.000,877
44,0,24024,Zach Johnson,170.3,7064501.000,1152
44,0,21959,Ted Purdy,170.3,8484634.000,1384
46,0,01553,John Huston,170.6,6683790.000,1088
47,0,06034,Marco Dawson,170.7,6611962.000,1076
47,0,01927,Dennis Paulson,170.7,4724790.000,769
49,0,20094,Jonathan Kaye,170.9,5500899.000,894
50,0,10885,Robert Allenby,171.2,6157625.000,999
51,0,24361,Pat Perez,171.5,6224114.000,1008
52,0,21407,Arjun Atwal,171.7,5199186.000,841
52,0,23353,J.J. Henry,171.7,7369029.000,1192
52,0,22046,Geoff Ogilvy,171.7,6335315.000,1025
52,0,26287,Roland Thatcher,171.7,5742558.000,929
56,0,23541,Ben Crane,171.9,5519634.000,892
56,0,01361,Dan Forsman,171.9,3936441.000,636
56,0,22405,Justin Rose,171.9,7507740.000,1213
59,0,06332,Neal Lancaster,172.1,7299648.000,1178
60,0,23623,Bo Van Pelt,172.2,7891661.000,1273
61,0,10117,Bob Heintz,172.5,5266799.000,848
61,0,20645,John Senden,172.5,7748211.000,1248
63,0,21961,Charles Howell III,172.7,6205045.000,998
64,0,07867,Woody Austin,172.8,7774240.000,1250
65,0,24507,Jason Bohn,172.9,6932648.000,1114
65,0,23409,James Driscoll,172.9,5323238.000,855
65,0,11032,Frank Lickliter II,172.9,7299651.000,1173
68,0,19824,Craig Barlow,173.1,5396276.000,866
69,0,21951,Joey Snyder III,173.2,7906080.000,1268
70,0,01161,Mark Calcavecchia,173.3,6550251.000,1050
70,0,01707,Steve Lowery,173.3,7373141.000,1182
72,0,12782,Tim Herron,173.5,6627005.000,1061
73,0,12823,Carlos Franco,173.6,5782499.000,925
73,0,01723,Andrew Magee,173.6,6005593.000,961
75,0,24227,Justin Bolli,173.7,5076840.000,812
75,0,23325,Vaughn Taylor,173.7,7727491.000,1236
77,0,25240,D.A. Points,173.8,7076195.000,1131
78,0,20691,Greg Owen,173.9,6098364.000,974
78,0,07749,Brett Quigley,173.9,7275315.000,1162
80,0,12510,Chad Campbell,174.0,6502636.000,1038
80,0,01797,Rocco Mediate,174.0,5620282.000,897
80,0,02206,David Toms,174.0,5493389.000,877
83,0,06197,Michael Allen,174.1,6625563.000,1057
83,0,07223,Brian Bateman,174.1,7314556.000,1167
83,0,12660,Jesper Parnevik,174.1,5772067.000,921
86,0,10962,Bradley Hughes,174.3,4249085.000,677
87,0,08931,Glen Day,174.4,6340756.000,1010
87,0,01685,J.L. Lewis,174.4,7026997.000,1119
89,0,20766,Padraig Harrington,174.5,3504401.000,558
90,0,20498,Briny Baird,174.6,7752009.000,1233
91,0,22548,Patrick Sheehan,174.8,8281097.000,1316
92,0,01724,Jeff Maggert,174.9,5195635.000,825
92,0,21949,Joe Ogilvie,174.9,6798337.000,1080
94,0,01142,Bart Bryant,175.1,6681787.000,1060
95,0,08123,Jeff Brehaut,175.3,5465600.000,866
95,0,25345,Carl Pettersson,175.3,7994860.000,1267
97,0,24290,D.J. Brigman,175.4,5330195.000,844
98,0,21350,Ryuji Imada,175.6,5792007.000,916
98,0,20634,Peter Lonard,175.6,5726416.000,906
98,0,21498,Hideto Tanihara,175.6,3881147.000,614
101,0,24357,K.J. Choi,175.8,4739059.000,749
101,0,01948,Tim Petrovic,175.8,6868201.000,1085
103,0,02101,Joey Sindelar,175.9,8600629.000,1358
103,0,12454,Mario Tiziani,175.9,5300051.000,837
105,0,12645,Brent Geiberger,176.1,4525490.000,714
105,0,10912,Craig Perks,176.1,4944660.000,780
107,0,24604,Hunter Haas,176.2,6338600.000,999
108,0,23135,Tim Clark,176.4,5634374.000,887
109,0,01941,Tom Pernice Jr.,176.5,7727775.000,1216
110,0,01473,Todd Hamilton,176.6,6592803.000,1037
111,0,21731,Freddie Jacobson,176.7,4859284.000,764
111,0,20628,Arron Oberholser,176.7,4492100.000,706
113,0,01766,Billy Mayfair,176.8,8965905.000,1409
114,0,23614,Rich Beem,176.9,4229752.000,664
114,0,08725,Tom Gillis,176.9,5998370.000,942
114,0,12680,Shigeki Maruyama,176.9,7463433.000,1172
114,0,20812,Tjaart van der Walt,176.9,4725266.000,742
118,0,22295,Darron Stiles,177.0,6093205.000,956
119,0,06004,Stephen Ames,177.2,5391060.000,845
119,0,28088,Matt Davidson,177.2,4402777.000,690
119,0,10860,Justin Leonard,177.2,4803108.000,753
122,0,01035,Tommy Armour III,177.4,8042354.000,1259
122,0,20229,Stewart Cink,177.4,6271209.000,982
122,0,06621,Joe Durant,177.4,6060037.000,949
122,0,26420,Richard Johnson,177.4,4042670.000,633
126,0,01388,Robert Gamez,177.6,7091846.000,1109
127,0,06373,José María Olazábal,177.7,3640735.000,569
128,0,22293,Heath Slocum,177.9,7954016.000,1242
129,0,06515,Shaun Micheel,178.1,5622961.000,877
129,0,06595,Kevin Sutherland,178.1,6580144.000,1026
131,0,01042,Paul Azinger,178.2,5118214.000,798
131,0,01313,Steve Elkington,178.2,4849465.000,756
133,0,10423,Mike Weir,178.4,4182101.000,651
134,0,07457,Steve Flesch,178.5,5569876.000,867
134,0,01577,Lee Janzen,178.5,5180748.000,806
136,0,02223,Bob Tway,178.6,5849948.000,910
137,0,22371,Aaron Baddeley,178.7,6612310.000,1028
138,0,01418,Bill Glasson,178.8,3919220.000,609
138,0,10733,Kent Jones,178.8,7744750.000,1203
140,0,08537,J.P. Hayes,178.9,4694336.000,729
141,0,23983,Luke Donald,179.0,3594954.000,558
141,0,10809,Jim Furyk,179.0,6398962.000,993
143,0,08545,Glen Hnatiuk,179.1,4461000.000,692
144,0,23108,Matt Kuchar,179.2,4934429.000,765
144,0,06527,Steve Stricker,179.2,5179662.000,803
146,0,12652,Cameron Beckman,179.3,7488076.000,1160
146,0,06575,Dudley Hart,179.3,6437137.000,997
146,0,01677,Tom Lehman,179.3,4465678.000,692
146,0,20548,Hidemichi Tanaka,179.3,8392102.000,1300
150,0,20472,Alex Cejka,179.4,6130255.000,949
151,0,10425,Jay Williamson,179.5,4123642.000,638
152,0,21806,Paul Gow,179.6,5979372.000,925
153,0,08075,Jerry Kelly,179.7,6785092.000,1049
154,0,01024,Billy Andrade,179.9,6542018.000,1010
154,0,01666,Bernhard Langer,179.9,3989315.000,616
154,0,01823,Larry Mize,179.9,4113135.000,635
154,0,20474,Phillip Price,179.9,5641670.000,871
158,0,06251,Chris DiMarco,180.0,5294803.000,817
158,0,02239,Scott Verplank,180.0,5935873.000,916
160,0,10201,Matt Gogel,180.1,6035540.000,931
161,0,01599,Steve Jones,180.3,4135601.000,637
162,0,21753,Brian Davis,180.6,5696975.000,876
163,0,20160,Charlie Wi,180.7,5398185.000,830
164,0,10585,Scott McCarron,181.0,5439909.000,835
164,0,25847,Rob Rashell,181.0,4855351.000,745
166,0,20099,Doug Barron,181.1,5816627.000,892
166,0,08993,Franklin Langham,181.1,6866820.000,1053
166,0,02104,Jeff Sluman,181.1,7574954.000,1162
169,0,24138,Ian Poulter,181.3,3269084.000,501
169,0,02246,Duffy Waldorf,181.3,6363911.000,975
171,0,12826,Paul Claxton,181.5,5972016.000,914
172,0,23036,Chris Anderson,181.6,5250258.000,803
172,0,08385,Omar Uresti,181.6,6688783.000,1023
174,0,01320,Bob Estes,181.7,7174529.000,1097
175,0,12602,Dean Wilson,182.2,7143857.000,1089
176,0,20121,Todd Fischer,182.7,7939319.000,1207
177,0,02214,Kirk Triplett,182.9,4022356.000,611
178,0,22621,Ben Curtis,183.1,4449682.000,675
179,0,19846,Brian Gay,183.5,8461093.000,1281
180,0,19881,Robert Damron,183.7,7261124.000,1098
181,0,01139,Olin Browne,183.8,7596562.000,1148
182,0,01127,Danny Briggs,184.3,5613848.000,846
183,0,01761,Len Mattiace,184.5,6927894.000,1043
184,0,19972,José Coceres,184.7,4879465.000,734
185,0,01619,Skip Kendall,184.8,6478377.000,974
185,0,12662,Thomas Levet,184.8,3286303.000,494
185,0,25396,Kevin Na,184.8,7263818.000,1092
188,0,01157,Tom Byrum,185.2,7038803.000,1056
188,0,21878,Mark Wilson,185.2,5841223.000,876
190,0,01381,Fred Funk,185.3,7609433.000,1141
191,0,01175,Jim Carter,185.6,5032132.000,753
192,0,01329,Brad Faxon,185.7,5293602.000,792
192,0,20382,Stephen Leaney,185.7,6952647.000,1040
194,0,01219,John Cook,186.4,5415822.000,807
195,0,20127,Chris Riley,186.5,3908214.000,582
196,0,01457,Jay Haas,186.7,3622105.000,539
197,0,01132,Mark Brooks,187.4,5788499.000,858
198,0,02010,Loren Roberts,189.0,4517679.000,664
199,0,01887,Mark O'Meara,189.1,4846714.000,712
200,0,20623,Gavin Coles,189.8,5999206.000,878
201,0,01487,Jeff Hart,190.9,5463629.000,795
202,0,01928,Corey Pavin,194.2,5908234.000,845
