RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,01418,Bill Glasson,155.4,4402571.000,787
2,0,08537,J.P. Hayes,156.1,5338307.000,950
3,0,02214,Kirk Triplett,157.7,4469242.000,787
4,0,10117,Bob Heintz,157.8,6271965.000,1104
5,0,08931,Glen Day,158.4,7481115.000,1312
5,0,01487,Jeff Hart,158.4,5869159.000,1029
5,0,20474,Phillip Price,158.4,6484951.000,1137
8,0,23725,Brendan Jones,158.5,7375945.000,1293
9,0,02010,Loren Roberts,158.6,4926503.000,863
10,0,01761,Len Mattiace,158.7,7763311.000,1359
11,0,06034,Marco Dawson,159.1,8019159.000,1400
11,0,19846,Brian Gay,159.1,9469867.000,1653
13,0,24912,Will MacKenzie,159.2,6972812.000,1217
13,0,01887,Mark O'Meara,159.2,5279048.000,921
15,0,01132,Mark Brooks,159.3,6417442.000,1119
15,0,01139,Olin Browne,159.3,8554950.000,1492
15,0,20094,Jonathan Kaye,159.3,6589747.000,1149
15,0,22295,Darron Stiles,159.3,7128736.000,1243
19,0,06197,Michael Allen,159.5,7901303.000,1376
19,0,20098,Stuart Appleby,159.5,6481871.000,1129
19,0,23621,Rory Sabbatini,159.5,6179457.000,1076
22,0,23036,Chris Anderson,159.6,5971383.000,1039
22,0,01226,Fred Couples,159.6,4457752.000,776
22,0,01473,Todd Hamilton,159.6,7664982.000,1334
25,0,20623,Gavin Coles,159.8,6505588.000,1131
26,0,01823,Larry Mize,160.0,4763421.000,827
27,0,21731,Freddie Jacobson,160.1,5724326.000,993
27,0,21949,Joe Ogilvie,160.1,8066988.000,1400
29,0,22046,Geoff Ogilvy,160.2,7661115.000,1328
29,0,21878,Mark Wilson,160.2,6545220.000,1135
31,0,24024,Zach Johnson,160.3,8577727.000,1486
32,0,01361,Dan Forsman,160.4,4872080.000,844
32,0,08993,Franklin Langham,160.4,7891655.000,1367
32,0,20663,Brenden Pappas,160.4,5047007.000,874
32,0,06527,Steve Stricker,160.4,6091320.000,1055
36,0,22621,Ben Curtis,160.5,5107869.000,884
37,0,12645,Brent Geiberger,160.6,5370691.000,929
37,0,08545,Glen Hnatiuk,160.6,5186235.000,897
37,0,02223,Bob Tway,160.6,6832646.000,1182
40,0,24357,K.J. Choi,160.7,5600941.000,968
41,0,01035,Tommy Armour III,160.8,9469225.000,1636
41,0,26758,David Hearn,160.8,6314402.000,1091
41,0,23108,Matt Kuchar,160.8,5731885.000,990
41,0,10423,Mike Weir,160.8,4885726.000,844
45,0,01175,Jim Carter,160.9,5631328.000,972
45,0,01797,Rocco Mediate,160.9,6749118.000,1165
47,0,01945,Kenny Perry,161.0,6236584.000,1076
48,0,24227,Justin Bolli,161.1,6131843.000,1057
48,0,22293,Heath Slocum,161.1,9379517.000,1617
48,0,02206,David Toms,161.1,6581445.000,1135
48,0,10425,Jay Williamson,161.1,4818896.000,831
52,0,19824,Craig Barlow,161.2,6571200.000,1132
52,0,01388,Robert Gamez,161.2,8348921.000,1439
54,0,01619,Skip Kendall,161.3,7304246.000,1258
55,0,01042,Paul Azinger,161.4,6054145.000,1042
55,0,24502,Adam Scott,161.4,5398718.000,929
57,0,01723,Andrew Magee,161.5,7313839.000,1258
57,0,12680,Shigeki Maruyama,161.5,8874426.000,1526
59,0,07223,Brian Bateman,161.6,8884760.000,1527
59,0,28088,Matt Davidson,161.6,5217199.000,897
59,0,20121,Todd Fischer,161.6,9095157.000,1563
59,0,10733,Kent Jones,161.6,9161797.000,1575
63,0,20099,Doug Barron,161.7,6694127.000,1150
63,0,10860,Justin Leonard,161.7,5682507.000,976
65,0,01381,Fred Funk,161.8,8587756.000,1474
65,0,20634,Peter Lonard,161.8,6895399.000,1184
65,0,24781,Hunter Mahan,161.8,9670881.000,1660
65,0,20628,Arron Oberholser,161.8,5311230.000,912
69,0,23983,Luke Donald,161.9,4173519.000,716
69,0,01685,J.L. Lewis,161.9,8495267.000,1458
69,0,24138,Ian Poulter,161.9,3764665.000,646
69,0,08385,Omar Uresti,161.9,7658207.000,1314
73,0,12782,Tim Herron,162.0,8103004.000,1389
73,0,12454,Mario Tiziani,162.0,6297628.000,1080
