RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,47959,Bryson DeChambeau,314.5,300706,956
2,0,28237,Rory McIlroy,307.6,270109,878
3,0,28420,Ryan Brehm,306.5,149596,488
4,0,52372,Cameron Champ,305.3,277839,910
5,0,30925,Dustin Johnson,304.0,262617,864
6,0,36689,Brooks Koepka,303.9,220025,724
7,0,56278,Matthew Wolff,303.7,215600,710
8,0,21209,Sergio Garcia,302.7,288822,954
8,0,46970,Jon Rahm,302.7,271247,896
10,0,46550,Brandon Hagy,301.8,243823,808
11,0,39546,Keith Mitchell,301.7,281170,932
12,0,51766,Wyndham Clark,301.2,297568,988
13,0,34255,Joseph Bramlett,301.0,234759,780
14,0,48081,Xander Schauffele,300.9,265436,882
14,0,27064,Jhonattan Vegas,300.9,279797,930
16,0,27129,Luke List,300.4,314262,1046
17,0,45486,Joaquin Niemann,300.2,372855,1242
18,0,29970,Dylan Frittelli,299.9,250118,834
19,0,56762,Will Gordon,299.8,284194,948
20,0,36699,Patrick Rodgers,299.7,326035,1088
21,0,33448,Justin Thomas,299.2,283630,948
22,0,46717,Viktor Hovland,298.8,290403,972
23,0,33667,Carlos Ortiz,298.7,345952,1158
24,0,45157,Cam Davis,298.1,373792,1254
24,0,35461,Beau Hossler,298.1,290313,974
26,0,20229,Stewart Cink,298.0,326020,1094
27,0,35450,Patrick Cantlay,297.9,283602,952
28,0,24502,Adam Scott,297.8,246004,826
28,0,25804,Bubba Watson,297.8,247739,832
30,0,46046,Scottie Scheffler,297.7,347670,1168
31,0,30944,Jason Kokrak,297.5,315396,1060
31,0,40042,Tyler McCumber,297.5,224909,756
31,0,23320,Ryan Palmer,297.5,277842,934
34,0,31323,Gary Woodland,297.2,240724,810
35,0,47504,Sam Burns,296.9,301033,1014
35,0,12716,Charley Hoffman,296.9,326010,1098
37,0,33948,Byeong Hun An,296.7,288438,972
38,0,26300,Matt Jones,296.5,347502,1172
38,0,47483,Will Zalatoris,296.5,282258,952
40,0,35617,Martin Trainer,296.4,198024,668
41,0,29725,Tony Finau,296.3,297509,1004
42,0,34213,Grayson Murray,296.0,147993,500
43,0,32333,Kevin Tway,295.9,210118,710
44,0,27554,Scott Harrington,295.6,259248,877
45,0,34046,Jordan Spieth,295.1,303953,1030
46,0,40006,Erik van Rooyen,294.4,278470,946
47,0,35104,Tom Lewis,294.3,286613,974
47,0,32839,Hideki Matsuyama,294.3,344965,1172
47,0,49964,Aaron Wise,294.3,287212,976
50,0,27141,J.B. Holmes,294.2,180021,612
