RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,20396,Lee Westwood,425,Byron Nelson,3,8,894
2,0,52372,Cameron Champ,424,Sentry,4,7,656
3,0,50584,Connor Syme,423,U.S. Open(2020),2,4,891
4,0,30925,Dustin Johnson,419,U.S. Open(2020),4,9,891
5,0,47959,Bryson DeChambeau,414,Sentry,2,12,656
6,0,26300,Matt Jones,410,Pebble Beach,1,3,005
7,0,33141,Keegan Bradley,406,Honda,1,6,734
7,0,35617,Martin Trainer,406,Phoenix Open,1,15,510
9,0,21209,Sergio Garcia,405,U.S. Open(2020),2,9,891
10,0,31323,Gary Woodland,404,Valspar,1,14,665
11,0,32839,Hideki Matsuyama,403,Valero,1,18,770
11,0,24502,Adam Scott,403,Sentry,4,17,656
13,0,33448,Justin Thomas,401,Sentry,4,7,656
14,0,56762,Will Gordon,400,Mayakoba,1,5,733
15,0,29936,Ryan Fox,399,U.S. Open(2020),2,9,891
15,0,32448,James Hahn,399,Charles Schwab,1,18,021
17,0,47995,Davis Riley,398,U.S. Open(2020),2,9,891
18,0,46970,Jon Rahm,397,Sentry,3,17,656
18,0,25493,Nick Taylor,397,Sentry,1,17,656
20,0,45486,Joaquin Niemann,396,Sentry,4,7,656
20,0,29221,Webb Simpson,396,Sentry,3,17,656
20,0,34264,Hudson Swafford,396,Sentry,2,17,656
23,0,48081,Xander Schauffele,395,Sentry,1,17,656
23,0,27064,Jhonattan Vegas,395,BMW Champ,1,11,882
25,0,33667,Carlos Ortiz,394,Sentry,4,17,656
25,0,47483,Will Zalatoris,394,Shriners,4,4,538
27,0,34255,Joseph Bramlett,393,Shriners,4,4,538
27,0,30944,Jason Kokrak,393,Sentry,3,17,656
27,0,36699,Patrick Rodgers,393,Phoenix Open,1,9,510
30,0,35450,Patrick Cantlay,392,Sentry,1,17,656
30,0,35310,Lanto Griffin,392,Sentry,1,17,656
30,0,56278,Matthew Wolff,392,Genesis,3,3,500
33,0,59440,Ricky Castillo,391,U.S. Open(2020),2,9,891
33,0,19846,Brian Gay,391,Sentry,4,17,656
33,0,29478,Kevin Kisner,391,Sentry,4,7,656
33,0,33410,Andrew Landry,391,Sentry,4,17,656
37,0,37212,Paul Barjon,390,U.S. Open(2020),2,9,891
37,0,33974,Dean Burmester,390,PGA Champ,2,7,697
37,0,27554,Scott Harrington,390,Mayakoba,1,5,733
37,0,23108,Matt Kuchar,390,Byron Nelson,4,8,894
37,0,46046,Scottie Scheffler,390,Sentry,4,17,656
42,0,51766,Wyndham Clark,389,PGA Champ,1,11,697
42,0,29725,Tony Finau,389,Sentry,1,12,656
44,0,39977,Max Homa,388,U.S. Open(2020),2,9,891
44,0,35506,Mackenzie Hughes,388,WGC-Workday,1,7,898
44,0,27936,Martin Laird,388,Sentry,4,7,656
47,0,40026,Daniel Berger,386,Sentry,3,18,656
47,0,25364,Paul Casey,386,U.S. Open(2020),1,9,891
47,0,25900,Lucas Glover,386,Wyndham,2,14,752
47,0,37157,Renato Paratore,386,U.S. Open(2020),4,9,891
51,0,20229,Stewart Cink,385,PGA Champ,2,11,697
51,0,46717,Viktor Hovland,385,Sentry,3,18,656
51,0,32757,Patton Kizzire,385,Wells Fargo,2,7,872
51,0,29461,Jamie Lovemark,385,Safeway Open,2,18,552
51,0,56272,Wilco Nienaber,385,Palmetto,3,3,902
51,0,34046,Jordan Spieth,385,Pebble Beach,3,9,005
51,0,30692,Scott Stallings,385,Wells Fargo,2,16,872
58,0,33803,Lucas Bjerregaard,384,Palmetto,2,9,902
58,0,28420,Ryan Brehm,384,Pebble Beach,2,9,005
58,0,34314,Sebastian Cappelen,384,Pebble Beach,2,10,005
58,0,33597,Harry Higgs,384,PGA Champ,1,7,697
58,0,01810,Phil Mickelson,384,U.S. Open(2020),1,9,891
58,0,49771,J.T. Poston,384,U.S. Open(2020),2,9,891
58,0,47128,Richy Werenski,384,Sentry,3,18,656
65,0,31560,Brian Stuard,383,Phoenix Open,2,15,510
65,0,29484,Peter Uihlein,383,Pebble Beach,2,10,005
67,0,26499,Rafa Cabrera Bello,382,Puntacana(2021),2,12,244
67,0,54421,Garrick Higgo,382,Palmetto,2,17,902
67,0,28775,Nate Lashley,382,Pebble Beach,4,9,005
67,0,27129,Luke List,382,Palmetto,1,15,902
67,0,34360,Patrick Reed,382,Sentry,4,18,656
67,0,49964,Aaron Wise,382,Wyndham,3,5,752
73,0,30978,Kiradech Aphibarnrat,381,Wyndham,2,5,752
73,0,47504,Sam Burns,381,Shriners,4,4,538
73,0,45157,Cam Davis,381,PGA Champ,1,11,697
73,0,28089,Jason Day,381,THE PLAYERS,2,9,011
73,0,31646,Emiliano Grillo,381,PGA Champ,2,11,697
73,0,46550,Brandon Hagy,381,Honda,1,18,734
73,0,37455,Si Woo Kim,381,Wyndham,3,5,752
73,0,33486,Roger Sloan,381,Wells Fargo,3,16,872
81,0,27895,Jonas Blixt,380,Palmetto,2,15,902
81,0,29970,Dylan Frittelli,380,Genesis,1,3,500
81,0,35461,Beau Hossler,380,Palmetto,2,9,902
81,0,29926,Danny Lee,380,Genesis,3,12,500
81,0,50006,Willie Mack III,380,John Deere,1,2,669
81,0,32333,Kevin Tway,380,John Deere,3,2,669
87,0,48084,Wesley Bryan,379,Mayakoba,1,5,733
87,0,34099,Harris English,379,Sentry,3,18,656
87,0,34587,Chan Kim,379,PGA Champ,2,7,697
87,0,28237,Rory McIlroy,379,the Memorial,3,1,023
87,0,25396,Kevin Na,379,Shriners,4,4,538
87,0,26331,Charl Schwartzel,379,Byron Nelson,4,8,894
93,0,23983,Luke Donald,378,Mayakoba,1,5,733
93,0,12716,Charley Hoffman,378,Genesis,3,12,500
93,0,55650,Luke Kluver,378,John Deere,1,2,669
93,0,36871,Matthew NeSmith,378,Honda,3,10,734
93,0,40250,Taylor Pendrith,378,U.S. Open(2020),2,9,891
93,0,33419,Cameron Tringale,378,Honda,3,10,734
99,0,39997,Corey Conners,377,Wells Fargo,3,16,872
99,0,59437,Luke Gannon,377,John Deere,1,4,669
99,0,34363,Tyrrell Hatton,377,PGA Champ,2,10,697
99,0,26851,Marc Leishman,377,Sentry,3,18,656
99,0,35104,Tom Lewis,377,U.S. Open(2020),2,9,891
99,0,40042,Tyler McCumber,377,Genesis,3,15,500
99,0,39546,Keith Mitchell,377,Wells Fargo,3,16,872
106,0,34076,Joel Dahmen,376,U.S. Open(2020),2,9,891
106,0,40098,Matt Fitzpatrick,376,Genesis,3,3,500
106,0,47989,Sam Horsfield,376,PGA Champ,1,6,697
106,0,39971,Sungjae Im,376,Sentry,4,12,656
