RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,23983,Luke Donald,4.46,5,112,E
2,0,27942,Rob Oppenheim,4.05,6,148,+1.00
3,0,48119,Ben Taylor,4.00,4,100,+0.50
4,0,24357,K.J. Choi,3.85,4,104,+0.75
4,0,31560,Brian Stuard,3.85,8,208,+0.25
4,0,23325,Vaughn Taylor,3.85,6,156,+0.17
7,0,33404,Chris Baker,3.70,4,108,+0.25
8,0,30927,Brendon Todd,3.49,6,172,+0.33
9,0,36871,Matthew NeSmith,3.41,6,176,+0.50
10,0,26851,Marc Leishman,3.29,5,152,+0.40
11,0,19803,Ryan Armour,3.21,5,156,+0.80
12,0,35230,Nelson Ledesma,3.13,3,96,+1.00
13,0,22371,Aaron Baddeley,2.78,3,108,E
14,0,30692,Scott Stallings,2.63,4,152,E
15,0,27554,Scott Harrington,2.53,4,158,+0.75
16,0,32070,Rafael Campos,2.50,3,120,E
17,0,26476,Chez Reavie,2.38,4,168,E
18,0,26758,David Hearn,2.34,3,128,-0.33
19,0,23108,Matt Kuchar,2.27,3,132,+0.67
20,0,27556,Ted Potter Jr.,2.21,3,136,E
21,0,39975,Michael Kim,2.17,3,138,+0.67
21,0,33419,Cameron Tringale,2.17,4,184,+0.75
23,0,25900,Lucas Glover,2.08,4,192,+0.25
23,0,36801,Mark Hubbard,2.08,4,192,+0.25
23,0,24361,Pat Perez,2.08,4,192,+0.25
23,0,24138,Ian Poulter,2.08,3,144,+0.33
27,0,32640,Troy Merritt,2.04,4,196,-0.25
28,0,28775,Nate Lashley,1.97,3,152,+0.67
28,0,53165,Doc Redman,1.97,3,152,+0.67
30,0,34466,Peter Malnati,1.88,3,160,+0.67
30,0,29908,C.T. Pan,1.88,3,160,+0.33
30,0,51894,Vince Whaley,1.88,3,160,+0.33
33,0,29974,Branden Grace,1.85,3,162,+0.67
34,0,32618,Rhein Gibson,1.79,2,112,+0.50
34,0,34098,Russell Henley,1.79,3,168,E
34,0,35449,Adam Long,1.79,3,168,+0.33
37,0,25686,Jason Dufner,1.74,3,172,-0.33
38,0,34256,Andrew Putnam,1.69,3,178,-0.33
