RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,212.2,39468.5,186
2,0,47959,Bryson DeChambeau,211.6,34907.2,165
3,0,28237,Rory McIlroy,207.3,44576.5,215
4,0,56278,Matthew Wolff,205.4,30404.4,148
5,0,56762,Will Gordon,202.9,53760.4,265
6,0,28420,Ryan Brehm,202.0,29689.3,147
7,0,31323,Gary Woodland,200.7,32112.1,160
8,0,30925,Dustin Johnson,199.7,40743.1,204
9,0,47504,Sam Burns,199.6,60071.0,301
10,0,27064,Jhonattan Vegas,198.7,54451.5,274
11,0,21209,Sergio Garcia,198.5,54791.4,276
12,0,46550,Brandon Hagy,198.2,45578.1,230
13,0,35617,Martin Trainer,197.1,37454.2,190
14,0,51766,Wyndham Clark,196.8,18699.7,95
14,0,27129,Luke List,196.8,61599.9,313
16,0,27554,Scott Harrington,196.3,47301.6,241
17,0,36689,Brooks Koepka,196.2,33946.4,173
18,0,32333,Kevin Tway,195.9,39171.2,200
19,0,40042,Tyler McCumber,195.5,41254.7,211
20,0,45157,Cam Davis,195.4,70722.9,362
21,0,46970,Jon Rahm,195.0,40564.4,208
21,0,24502,Adam Scott,195.0,32373.7,166
23,0,34255,Joseph Bramlett,194.6,45722.4,235
24,0,29970,Dylan Frittelli,194.4,98771.2,508
24,0,47347,Adam Schenk,194.4,65107.7,335
26,0,35658,Kris Ventura,194.3,40617.3,209
27,0,30944,Jason Kokrak,194.1,55111.0,284
28,0,26331,Charl Schwartzel,193.8,56577.3,292
29,0,47483,Will Zalatoris,193.7,46295.8,239
30,0,25804,Bubba Watson,193.6,34081.6,176
31,0,35461,Beau Hossler,193.4,61318.7,317
32,0,32102,Rickie Fowler,193.2,48112.9,249
33,0,33141,Keegan Bradley,193.0,56537.1,293
34,0,01810,Phil Mickelson,192.9,35102.6,182
34,0,39546,Keith Mitchell,192.9,48810.5,253
34,0,48081,Xander Schauffele,192.9,36652.4,190
37,0,30911,Tommy Fleetwood,192.7,27555.5,143
38,0,28089,Jason Day,192.2,39205.9,204
38,0,27141,J.B. Holmes,192.2,80523.0,419
40,0,33948,Byeong Hun An,192.0,55685.9,290
41,0,33486,Roger Sloan,191.9,118582.9,618
42,0,20229,Stewart Cink,191.8,58494.4,305
43,0,36699,Patrick Rodgers,191.6,60723.2,317
44,0,35310,Lanto Griffin,191.3,48390.3,253
45,0,29725,Tony Finau,191.2,53720.6,281
45,0,27095,Nick Watney,191.2,33658.7,176
47,0,32662,Michael Gligic,191.1,52352.6,274
47,0,27349,Alex Noren,191.1,53686.4,281
49,0,39977,Max Homa,191.0,48507.2,254
49,0,33448,Justin Thomas,191.0,45084.6,236
51,0,34264,Hudson Swafford,190.2,47549.1,250
52,0,46402,Talor Gooch,190.1,61404.9,323
53,0,48887,Matt Wallace,190.0,22991.8,121
54,0,12716,Charley Hoffman,189.8,53519.5,282
55,0,33204,Shane Lowry,189.7,44206.4,233
56,0,32839,Hideki Matsuyama,189.6,52893.9,279
57,0,45486,Joaquin Niemann,189.4,60417.4,319
58,0,35450,Patrick Cantlay,189.2,52397.4,277
59,0,32070,Rafael Campos,189.0,31949.3,169
60,0,33667,Carlos Ortiz,188.9,63842.3,338
61,0,46717,Viktor Hovland,188.8,60970.8,323
62,0,30692,Scott Stallings,188.7,45285.2,240
63,0,26851,Marc Leishman,188.5,38083.4,202
64,0,39971,Sungjae Im,188.2,86191.1,458
64,0,34213,Grayson Murray,188.2,26542.3,141
64,0,37275,Sam Ryder,188.2,47605.2,253
67,0,27936,Martin Laird,187.8,46570.8,248
68,0,34099,Harris English,187.7,45976.0,245
68,0,34563,Chesson Hadley,187.7,42610.4,227
68,0,23320,Ryan Palmer,187.7,40349.7,215
71,0,26300,Matt Jones,187.6,72399.9,386
72,0,34314,Sebastian Cappelen,187.3,29222.6,156
72,0,29926,Danny Lee,187.3,37464.0,200
72,0,35104,Tom Lewis,187.3,55995.2,299
75,0,36871,Matt NeSmith,187.2,48304.4,258
76,0,22405,Justin Rose,187.1,26757.0,143
76,0,46046,Scottie Scheffler,187.1,60802.9,325
78,0,32757,Patton Kizzire,187.0,69548.4,372
79,0,25364,Paul Casey,186.9,44477.8,238
80,0,31646,Emiliano Grillo,186.5,54631.2,293
80,0,33419,Cameron Tringale,186.5,53522.7,287
80,0,40006,Erik van Rooyen,186.5,47368.1,254
83,0,33597,Harry Higgs,186.2,59017.5,317
83,0,24361,Pat Perez,186.2,55301.1,297
83,0,49964,Aaron Wise,186.2,52868.3,284
86,0,34363,Tyrrell Hatton,186.0,30872.8,166
87,0,50525,Collin Morikawa,185.9,41084.6,221
88,0,32254,Xinjun Zhang,185.8,36040.6,194
89,0,48045,Michael Gellerman,185.6,25247.8,136
89,0,34046,Jordan Spieth,185.6,56053.4,302
89,0,29518,Brendan Steele,185.6,47131.3,254
89,0,25632,Jimmy Walker,185.6,43244.9,233
93,0,46442,Maverick McNealy,185.5,56957.7,307
94,0,49771,J.T. Poston,185.4,58590.9,316
94,0,34431,Robert Streb,185.4,55999.7,302
96,0,32448,James Hahn,185.3,48536.0,262
96,0,28252,Seamus Power,185.3,36880.9,199
96,0,32139,Danny Willett,185.3,18896.9,102
99,0,29268,Bronson Burgoon,184.9,46412.2,251
99,0,39997,Corey Conners,184.9,65823.9,356
101,0,33399,Adam Hadwin,184.8,55260.8,299
101,0,30163,Henrik Norlander,184.8,57671.5,312
103,0,48822,Sebastián Muñoz,184.4,59737.0,324
103,0,53165,Doc Redman,184.4,53858.3,292
103,0,35891,Cameron Smith,184.4,46273.0,251
106,0,21961,Charles Howell III,184.3,36860.8,200
106,0,37189,Harold Varner III,184.3,63574.3,345
108,0,32640,Troy Merritt,184.0,56292.1,306
109,0,24924,Bill Haas,183.9,27769.5,151
