RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
1,0,27770,Camilo Villegas,1.510,365.389,242,1.537,1.464
2,0,33120,Mark Anderson,1.507,238.130,158,1.534,1.457
2,0,19803,Ryan Armour,1.507,453.644,301,1.539,1.464
2,0,34255,Joseph Bramlett,1.507,345.013,229,1.539,1.450
2,0,34563,Chesson Hadley,1.507,339.139,225,1.539,1.454
2,0,49766,Hank Lebioda,1.507,358.575,238,1.531,1.461
2,0,35891,Cameron Smith,1.507,378.273,251,1.536,1.443
2,0,34046,Jordan Spieth,1.507,446.032,296,1.539,1.447
9,0,26329,Louis Oosthuizen,1.506,316.155,210,1.530,1.470
9,0,29908,C.T. Pan,1.506,432.117,287,1.536,1.456
9,0,31560,Brian Stuard,1.506,581.164,386,1.538,1.443
9,0,33448,Justin Thomas,1.506,355.353,236,1.536,1.464
13,0,33948,Byeong Hun An,1.505,428.851,285,1.539,1.459
13,0,29268,Bronson Burgoon,1.505,370.170,246,1.539,1.451
13,0,34314,Sebastian Cappelen,1.505,228.814,152,1.537,1.430
13,0,29970,Dylan Frittelli,1.505,340.152,226,1.538,1.469
13,0,27644,Brian Harman,1.505,532.872,354,1.538,1.443
13,0,29221,Webb Simpson,1.505,279.846,186,1.529,1.449
19,0,34099,Harris English,1.504,368.492,245,1.538,1.459
19,0,29535,Brice Garnett,1.504,433.205,288,1.535,1.429
19,0,25900,Lucas Glover,1.504,448.080,298,1.537,1.430
19,0,31420,Anirban Lahiri,1.504,364.061,242,1.532,1.472
19,0,24502,Adam Scott,1.504,242.140,161,1.535,1.474
19,0,49960,Sepp Straka,1.504,445.041,296,1.538,1.448
25,0,45526,Abraham Ancer,1.503,495.860,330,1.529,1.445
25,0,47504,Sam Burns,1.503,447.878,298,1.535,1.449
25,0,35450,Patrick Cantlay,1.503,416.427,277,1.537,1.461
25,0,25364,Paul Casey,1.503,357.753,238,1.528,1.442
25,0,51766,Wyndham Clark,1.503,70.618,47,1.533,1.439
25,0,45609,Tyler Duncan,1.503,458.337,305,1.534,1.462
25,0,34098,Russell Henley,1.503,453.878,302,1.537,1.390
25,0,12716,Charley Hoffman,1.503,414.930,276,1.539,1.458
25,0,33410,Andrew Landry,1.503,395.212,263,1.531,1.474
25,0,33204,Shane Lowry,1.503,341.186,227,1.532,1.438
25,0,47993,Denny McCarthy,1.503,467.578,311,1.537,1.452
25,0,24140,Sean O'Hair,1.503,265.945,177,1.536,1.430
25,0,22056,Cameron Percy,1.503,437.291,291,1.534,1.436
25,0,46970,Jon Rahm,1.503,312.679,208,1.533,1.423
25,0,37189,Harold Varner III,1.503,510.979,340,1.534,1.458
25,0,47128,Richy Werenski,1.503,542.460,361,1.531,1.451
25,0,32139,Danny Willett,1.503,142.739,95,1.532,1.467
42,0,39997,Corey Conners,1.502,527.360,351,1.534,1.434
42,0,46435,Austin Cook,1.502,423.557,282,1.538,1.397
42,0,52375,Doug Ghim,1.502,429.675,286,1.536,1.464
42,0,33399,Adam Hadwin,1.502,449.016,299,1.535,1.439
42,0,35461,Beau Hossler,1.502,464.039,309,1.539,1.429
42,0,25818,Scott Piercy,1.502,438.704,292,1.538,1.384
42,0,33486,Roger Sloan,1.502,369.374,246,1.539,1.382
42,0,27330,Josh Teater,1.502,231.332,154,1.527,1.439
42,0,23623,Bo Van Pelt,1.502,292.890,195,1.539,1.420
51,0,20229,Stewart Cink,1.501,451.882,301,1.531,1.429
51,0,35310,Lanto Griffin,1.501,379.632,253,1.535,1.425
51,0,35506,Mackenzie Hughes,1.501,402.280,268,1.536,1.417
51,0,26300,Matt Jones,1.501,495.277,330,1.532,1.440
51,0,33122,Russell Knox,1.501,531.313,354,1.535,1.371
51,0,32791,K.H. Lee,1.501,582.497,388,1.533,1.453
51,0,26851,Marc Leishman,1.501,303.103,202,1.538,1.430
51,0,35104,Tom Lewis,1.501,441.174,294,1.532,1.449
51,0,24138,Ian Poulter,1.501,339.259,226,1.535,1.455
51,0,30110,Kyle Stanley,1.501,465.199,310,1.535,1.441
51,0,48119,Ben Taylor,1.501,201.130,134,1.527,1.451
51,0,47483,Will Zalatoris,1.501,351.348,234,1.534,1.398
63,0,31646,Emiliano Grillo,1.500,433.382,289,1.536,1.439
63,0,39977,Max Homa,1.500,375.039,250,1.528,1.438
63,0,32816,Satoshi Kodaira,1.500,397.622,265,1.537,1.367
63,0,28775,Nate Lashley,1.500,365.911,244,1.533,1.443
63,0,34213,Grayson Murray,1.500,202.494,135,1.539,1.212
63,0,30692,Scott Stallings,1.500,353.892,236,1.537,1.407
63,0,23788,D.J. Trahan,1.500,288.061,192,1.533,1.449
63,0,25632,Jimmy Walker,1.500,343.462,229,1.531,1.413
71,0,33141,Keegan Bradley,1.499,433.306,289,1.537,1.444
71,0,34076,Joel Dahmen,1.499,395.763,264,1.537,1.437
71,0,29420,Billy Horschel,1.499,355.306,237,1.539,1.440
71,0,32757,Patton Kizzire,1.499,551.807,368,1.534,1.442
71,0,33667,Carlos Ortiz,1.499,499.029,333,1.531,1.437
71,0,32150,Michael Thompson,1.499,416.734,278,1.536,1.450
71,0,48887,Matt Wallace,1.499,169.336,113,1.521,1.430
71,0,25804,Bubba Watson,1.499,263.883,176,1.538,1.438
71,0,51894,Vince Whaley,1.499,338.730,226,1.538,1.443
80,0,26499,Rafa Cabrera Bello,1.498,322.079,215,1.536,1.441
80,0,52372,Cameron Champ,1.498,277.164,185,1.534,1.450
80,0,29725,Tony Finau,1.498,416.501,278,1.534,1.431
80,0,29974,Branden Grace,1.498,336.951,225,1.538,1.259
80,0,27141,J.B. Holmes,1.498,269.710,180,1.536,1.375
80,0,34174,John Huh,1.498,314.660,210,1.521,1.453
80,0,46441,Robby Shelton,1.498,422.500,282,1.539,1.437
