RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,23983,Luke Donald,.874,46.346,53
2,0,25364,Paul Casey,.824,36.258,44
3,0,25345,Carl Pettersson,.817,67.836,83
4,0,12602,Dean Wilson,.780,36.666,47
5,0,20593,Greg Chalmers,.778,67.700,87
6,0,19846,Brian Gay,.729,59.751,82
7,0,20157,Retief Goosen,.682,36.128,53
8,0,23108,Matt Kuchar,.633,47.492,75
9,0,25720,Chad Collins,.626,46.945,75
10,0,24024,Zach Johnson,.582,43.681,75
11,0,20160,Charlie Wi,.559,49.745,89
12,0,21350,Ryuji Imada,.551,46.306,84
13,0,26882,Michael Sim,.517,27.402,53
14,0,32640,Troy Merritt,.516,39.768,77
15,0,26300,Matt Jones,.515,41.231,80
16,0,10585,Scott McCarron,.512,42.499,83
17,0,22371,Aaron Baddeley,.502,44.202,88
18,0,25396,Kevin Na,.492,37.389,76
19,0,23800,Bryce Molder,.474,34.567,73
20,0,27649,Brandt Snedeker,.463,34.734,75
21,0,21961,Charles Howell III,.454,40.861,90
22,0,06527,Steve Stricker,.435,24.378,56
23,0,23320,Ryan Palmer,.433,30.735,71
24,0,01329,Brad Faxon,.425,20.410,48
25,0,28475,Jeff Overton,.408,28.988,71
26,0,10809,Jim Furyk,.405,24.324,60
27,0,25190,Jeff Quinney,.388,31.028,80
28,0,24361,Pat Perez,.379,31.430,83
29,0,22046,Geoff Ogilvy,.371,18.547,50
30,0,29221,Webb Simpson,.369,33.930,92
31,0,06004,Stephen Ames,.367,25.319,69
32,0,20070,Matt Bettencourt,.366,25.601,70
33,0,20850,Daniel Chopra,.365,24.436,67
34,0,08725,Tom Gillis,.355,31.921,90
35,0,23673,Michael Connell,.338,26.006,77
35,0,23718,Nathan Green,.338,27.359,81
37,0,01619,Skip Kendall,.336,16.457,49
38,0,01313,Steve Elkington,.331,19.528,59
39,0,06522,Ernie Els,.330,18.164,55
40,0,08375,Paul Stankowski,.328,17.409,53
41,0,24490,George McNeill,.324,22.673,70
42,0,23409,James Driscoll,.311,22.989,74
43,0,11123,Chris Couch,.305,17.975,59
44,0,26596,Ryan Moore,.302,18.414,61
45,0,31560,Brian Stuard,.287,20.383,71
