RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,24502,Adam Scott,1.164,60.547,52
2,0,06567,Vijay Singh,.979,55.791,57
3,0,06527,Steve Stricker,.773,43.269,56
4,0,27770,Camilo Villegas,.755,42.270,56
5,0,01810,Phil Mickelson,.738,42.069,57
6,0,06522,Ernie Els,.735,40.405,55
7,0,23638,Brendon de Jonge,.721,65.622,91
8,0,24846,Ricky Barnes,.675,56.015,83
9,0,23983,Luke Donald,.661,35.023,53
10,0,10885,Robert Allenby,.642,39.152,61
11,0,10809,Jim Furyk,.641,38.470,60
12,0,12510,Chad Campbell,.606,49.080,81
13,0,23135,Tim Clark,.591,40.181,68
14,0,22056,Cameron Percy,.589,34.741,59
15,0,01797,Rocco Mediate,.568,34.632,61
16,0,22293,Heath Slocum,.546,39.877,73
17,0,20766,Padraig Harrington,.524,23.077,44
18,0,27095,Nick Watney,.517,35.706,69
19,0,24924,Bill Haas,.515,38.651,75
20,0,24357,K.J. Choi,.507,30.948,61
21,0,22046,Geoff Ogilvy,.488,24.410,50
22,0,25364,Paul Casey,.483,21.260,44
23,0,10423,Mike Weir,.466,18.651,40
24,0,20472,Alex Cejka,.464,31.584,68
25,0,02239,Scott Verplank,.456,25.523,56
26,0,20645,John Senden,.455,39.573,87
27,0,23788,D.J. Trahan,.450,36.911,82
28,0,07749,Brett Quigley,.425,37.379,88
29,0,01766,Billy Mayfair,.424,27.542,65
30,0,28087,Kris Blanks,.417,30.883,74
30,0,26851,Marc Leishman,.417,30.009,72
32,0,27466,Spencer Levin,.413,40.481,98
33,0,12705,Cliff Kresge,.410,18.472,45
34,0,32102,Rickie Fowler,.395,32.798,83
35,0,23541,Ben Crane,.379,25.012,66
36,0,08375,Paul Stankowski,.377,19.967,53
37,0,01706,Davis Love III,.364,24.037,66
38,0,01161,Mark Calcavecchia,.363,11.966,33
39,0,23108,Matt Kuchar,.336,25.185,75
39,0,25632,Jimmy Walker,.336,23.540,70
41,0,20498,Briny Baird,.334,26.410,79
42,0,25396,Kevin Na,.333,25.274,76
42,0,23325,Vaughn Taylor,.333,26.329,79
44,0,23349,Charles Warren,.327,17.979,55
45,0,24507,Jason Bohn,.324,23.981,74
46,0,26951,Johnson Wagner,.323,23.927,74
47,0,12716,Charley Hoffman,.317,24.370,77
48,0,20229,Stewart Cink,.309,20.068,65
49,0,21731,Freddie Jacobson,.302,23.276,77
50,0,10860,Justin Leonard,.299,21.510,72
