RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,35658,Kris Ventura,43.66,31,71,-28,+3.00
2,0,28420,Ryan Brehm,38.96,30,77,-29,+10.00
3,0,56762,Will Gordon,38.30,18,47,-17,+1.00
4,0,52375,Doug Ghim,36.84,14,38,-15,+2.00
4,0,32448,James Hahn,36.84,21,57,-23,-13.00
6,0,27129,Luke List,35.03,55,157,-59,+4.00
7,0,27330,Josh Teater,35.00,14,40,-14,+2.00
8,0,31646,Emiliano Grillo,33.65,35,104,-35,-2.00
9,0,49298,Kramer Hickok,33.33,20,60,-20,-2.00
9,0,33413,Ben Martin,33.33,12,36,-10,-4.00
11,1,31557,Jim Herman,32.93,27,82,-26,-11.00
12,1,29484,Peter Uihlein,32.79,20,61,-21,-9.00
13,1,45157,Cam Davis,32.77,39,119,-41,+5.00
14,1,32102,Rickie Fowler,32.63,31,95,-33,+1.00
15,1,47504,Sam Burns,32.41,47,145,-50,-3.00
16,1,46550,Brandon Hagy,32.18,28,87,-32,+5.00
17,1,28252,Seamus Power,31.43,11,35,-12,-1.00
18,1,33122,Russell Knox,31.11,28,90,-24,-9.00
19,1,21407,Arjun Atwal,30.77,8,26,-8,-4.00
20,1,32662,Michael Gligic,30.30,20,66,-22,-10.00
21,1,48119,Ben Taylor,30.00,12,40,-10,-2.00
22,1,30944,Jason Kokrak,29.91,35,117,-32,E
23,1,49960,Sepp Straka,29.71,41,138,-41,-1.00
24,1,39953,Chase Seiffert,29.69,19,64,-23,-6.00
25,12,29221,Webb Simpson,29.46,33,112,-30,-4.00
26,1,56278,Matthew Wolff,29.44,53,180,-53,+9.00
27,1,27064,Jhonattan Vegas,29.35,27,92,-27,+3.00
28,15,28237,Rory McIlroy,29.25,43,147,-49,+7.00
29,0,40042,Tyler McCumber,29.21,26,89,-26,+6.00
30,1,33120,Mark Anderson,28.57,16,56,-18,E
30,1,31323,Gary Woodland,28.57,40,140,-43,+2.00
32,2,33419,Cameron Tringale,28.46,35,123,-32,-10.00
33,2,34255,Joseph Bramlett,28.38,21,74,-23,-3.00
34,-8,52372,Cameron Champ,28.33,51,180,-52,+17.00
35,1,29518,Brendan Steele,28.32,32,113,-26,-4.00
36,2,37275,Sam Ryder,28.24,37,131,-35,+1.00
37,2,27214,Kevin Streelman,28.18,31,110,-29,-22.00
38,2,25818,Scott Piercy,28.04,30,107,-32,-5.00
39,-9,32839,Hideki Matsuyama,28.00,42,150,-39,-8.00
40,1,32150,Michael Thompson,27.84,27,97,-27,-8.00
41,1,33404,Chris Baker,27.69,18,65,-16,+1.00
42,1,34563,Chesson Hadley,27.66,26,94,-27,-5.00
43,2,27936,Martin Laird,27.59,16,58,-17,-1.00
44,3,32618,Rhein Gibson,27.45,14,51,-13,-1.00
45,3,25493,Nick Taylor,27.37,26,95,-30,-7.00
46,4,33449,Zack Sucher,27.27,15,55,-15,+5.00
47,5,32333,Kevin Tway,27.03,20,74,-16,+4.00
48,10,46046,Scottie Scheffler,26.92,42,156,-45,-9.00
49,12,47959,Bryson DeChambeau,26.80,52,194,-53,+5.00
50,3,25686,Jason Dufner,26.74,23,86,-23,-13.00
51,-3,35891,Cameron Smith,26.73,27,101,-30,+10.00
52,2,22405,Justin Rose,26.67,20,75,-19,-4.00
53,-2,50525,Collin Morikawa,26.63,45,169,-45,-21.00
54,1,53165,Doc Redman,26.56,34,128,-35,-13.00
55,2,39997,Corey Conners,26.53,39,147,-39,-11.00
56,-10,33448,Justin Thomas,26.35,39,148,-40,-2.00
57,2,39977,Max Homa,26.15,34,130,-32,-1.00
58,2,33141,Keegan Bradley,26.09,30,115,-29,-4.00
59,3,30692,Scott Stallings,25.83,31,120,-35,+3.00
60,3,30911,Tommy Fleetwood,25.68,19,74,-16,+2.00
61,4,21961,Charles Howell III,25.66,29,113,-33,-3.00
62,4,36801,Mark Hubbard,25.53,36,141,-43,-14.00
62,4,01810,Phil Mickelson,25.53,24,94,-26,-2.00
64,-9,46717,Viktor Hovland,25.37,34,134,-41,+7.00
65,4,23108,Matt Kuchar,25.26,24,95,-27,-5.00
66,4,40026,Daniel Berger,25.19,33,131,-31,-12.00
67,3,28307,Matt Every,25.00,23,92,-22,+5.00
67,3,48045,Michael Gellerman,25.00,12,48,-14,-6.00
67,8,39971,Sungjae Im,25.00,44,176,-42,-3.00
67,3,35449,Adam Long,25.00,32,128,-34,-17.00
71,5,26300,Matt Jones,24.82,34,137,-33,-6.00
72,5,27554,Scott Harrington,24.80,31,125,-33,+2.00
73,6,35461,Beau Hossler,24.76,26,105,-27,+5.00
74,6,46441,Robby Shelton,24.62,32,130,-33,-2.00
75,7,32757,Patton Kizzire,24.44,22,90,-25,-8.00
76,7,34076,Joel Dahmen,24.39,30,123,-34,+5.00
77,13,29420,Billy Horschel,24.37,29,119,-34,-7.00
78,6,22371,Aaron Baddeley,24.32,18,74,-20,-3.00
79,6,47993,Denny McCarthy,24.29,34,140,-36,+4.00
80,-10,48822,Sebastián Muñoz,24.21,46,190,-47,-8.00
81,5,39546,Keith Mitchell,24.19,30,124,-29,+8.00
82,5,35532,Tom Hoge,24.17,29,120,-23,-6.00
83,5,32254,Xinjun Zhang,24.03,31,129,-30,-8.00
84,5,45609,Tyler Duncan,24.00,30,125,-28,-6.00
85,-7,30925,Dustin Johnson,23.97,29,121,-38,+7.00
86,4,12716,Charley Hoffman,23.89,27,113,-25,-12.00
87,-7,45486,Joaquin Niemann,23.88,32,134,-31,-7.00
87,5,25632,Jimmy Walker,23.88,16,67,-18,-5.00
89,4,46402,Talor Gooch,23.75,38,160,-41,+2.00
89,4,34213,Grayson Murray,23.75,19,80,-21,+8.00
91,4,33204,Shane Lowry,23.61,17,72,-17,-5.00
92,4,24361,Pat Perez,23.29,17,73,-20,-8.00
93,4,23788,D.J. Trahan,23.19,16,69,-16,-4.00
94,4,47347,Adam Schenk,23.14,28,121,-29,-6.00
95,4,21209,Sergio Garcia,22.99,20,87,-16,-5.00
96,16,48081,Xander Schauffele,22.89,38,166,-34,-9.00
97,4,19803,Ryan Armour,22.78,18,79,-18,-14.00
97,4,20229,Stewart Cink,22.78,18,79,-19,-10.00
97,4,33667,Carlos Ortiz,22.78,36,158,-37,+5.00
100,4,28679,Fabián Gómez,22.73,15,66,-17,+6.00
