RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,25364,Paul Casey,3986,1719
2,0,20585,Niclas Fasth,3298,1697
3,0,10425,Jay Williamson,3237,0
4,0,25562,Andres Romero,2749,879
5,0,19970,Robert Karlsson,2135,694
6,0,20569,Richard Green,1571,245
7,0,24236,Nick Dougherty,959,0
8,0,24512,Simon Dyson,921,0
9,0,10944,Thomas Bjørn,764,642
10,0,12461,Paul McGinley,728,116
11,0,19958,Miguel Angel Jiménez,678,86
12,0,20686,Jeev Milkha Singh,624,330
13,0,08191,Paul Broadhurst,584,77
14,0,08635,Colin Montgomerie,579,422
15,0,20945,Markus Brier,507,0
15,0,27776,Pelle Edberg,507,0
17,0,20218,Shingo Katayama,488,210
18,0,22792,Peter Hanson,443,0
19,0,26500,Alejandro Cañizares,428,0
20,0,24663,Y.E. Yang,410,199
21,0,26331,Charl Schwartzel,396,116
22,0,20121,Todd Fischer,393,0
23,0,27088,Johan Edfors,390,163
24,0,22983,Bradley Dredge,347,262
25,0,24511,Thongchai Jaidee,335,335
26,0,20400,Michael Campbell,333,210
27,0,29416,Andy Bare,261,0
28,0,27576,Anton Haig,204,204
29,0,22582,Kyle Thompson,195,0
30,0,25572,Graeme McDowell,194,0
31,0,25972,Pablo Martin Benavides,167,0
32,0,08993,Franklin Langham,142,0
33,0,22379,Mark Foster,130,0
34,0,23969,Graeme Storm,111,52
35,0,20832,Raphael Jacquelin,106,48
36,0,21461,Kenneth Ferrie,102,0
37,0,29939,Fabrizio Zanotti,93,0
38,0,23129,Ross Bain,83,0
39,0,28456,Andrew Ruthkoski,82,0
40,0,24083,Marcus Fraser,79,0
41,0,19795,Kelly Mitchum,76,0
42,0,20566,Kaname Yokoo,75,0
43,0,28670,Wonjoon Lee,70,0
44,0,26525,Grégory Bourdy,64,0
45,0,20369,John Bickerton,63,63
45,0,26329,Louis Oosthuizen,63,63
47,0,23821,Yusaku Miyazato,63,0
48,0,24459,Richard Sterne,62,62
49,0,20935,Toru Taniguchi,60,0
50,0,23982,Jon Bevan,59,0
51,0,24846,Ricky Barnes,57,0
52,0,08725,Tom Gillis,57,0
52,0,28310,Lee Williams,57,0
54,0,24184,Alastair Forsyth,56,0
55,0,24748,WC Liang,56,56
55,0,22400,Hennie Otto,56,56
57,0,30786,Brady Schnell,56,0
58,0,20367,Fredrik Andersson Hed,55,0
58,0,07707,Mike Small,55,0
60,0,22540,Anthony Wall,55,55
61,0,25896,Ryan Benzel,54,0
62,0,26758,David Hearn,54,0
63,0,24039,Prom Meesawat,53,53
64,0,26956,Bronson La'Cassie,53,0
65,0,21498,Hideto Tanihara,53,53
66,0,19883,Joe Daley,52,0
66,0,22951,Azuma Yano,52,0
68,0,22896,Grégory Havret,52,52
69,0,28307,Matt Every,52,0
70,0,07941,Mike Grob,51,0
71,0,23091,Alan Morin,50,0
72,0,21207,José Manuel Lara,49,49
73,0,10875,Todd Demsey,49,0
74,0,27124,Chris Baryla,49,0
75,0,25074,Martin Rominger,46,0
76,0,27958,Ryan Blaum,44,0
77,0,06078,Esteban Toledo,44,0
78,0,29725,Tony Finau,25,0
