RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,08793,Tiger Woods,2351.850,30574.046
2,0,01810,Phil Mickelson,890.941,16036.931
3,0,10809,Jim Furyk,878.479,16691.105
4,0,06567,Vijay Singh,831.699,19129.074
5,0,24502,Adam Scott,746.375,11195.624
6,0,24357,K.J. Choi,737.378,15484.928
7,0,22405,Justin Rose,724.856,8698.267
8,0,23621,Rory Sabbatini,713.056,13548.069
9,0,21209,Sergio Garcia,703.126,10546.883
10,0,24024,Zach Johnson,702.151,13340.867
11,0,06522,Ernie Els,690.749,8979.738
12,0,21528,Henrik Stenson,610.706,6717.771
13,0,02239,Scott Verplank,593.964,10691.346
14,0,20766,Padraig Harrington,585.512,8782.673
15,0,21961,Charles Howell III,577.421,12125.850
16,0,06527,Steve Stricker,558.989,10620.784
17,0,20848,Ángel Cabrera,545.137,5996.511
18,0,22371,Aaron Baddeley,522.360,9402.482
19,0,23983,Luke Donald,510.353,8676.008
20,0,23135,Tim Clark,487.868,6342.279
21,0,22046,Geoff Ogilvy,479.037,8622.657
22,0,07867,Woody Austin,476.488,10482.734
23,0,27649,Brandt Snedeker,474.803,11870.075
24,0,01161,Mark Calcavecchia,448.317,8966.334
25,0,24781,Hunter Mahan,442.814,10184.727
26,0,02206,David Toms,434.254,8250.824
27,0,22913,John Rollins,422.067,9707.543
28,0,26289,Boo Weekley,417.010,9591.227
29,0,24925,Jonathan Byrd,408.275,7757.232
30,0,19972,José Coceres,405.829,4869.953
31,0,10885,Robert Allenby,376.798,7535.969
32,0,20229,Stewart Cink,372.639,7080.150
33,0,07223,Brian Bateman,372.561,4843.290
34,0,01666,Bernhard Langer,351.211,4916.947
35,0,22378,Trevor Immelman,350.511,6309.206
36,0,22293,Heath Slocum,340.026,6800.515
37,0,20098,Stuart Appleby,339.940,6798.799
38,0,27095,Nick Watney,337.911,6420.315
39,0,06012,Greg Kraft,333.750,1335.000
40,0,25804,Bubba Watson,329.469,6589.374
41,0,08075,Jerry Kelly,318.046,6678.958
42,0,01797,Rocco Mediate,317.815,4767.225
43,0,21878,Mark Wilson,311.244,6224.885
44,0,06643,Paul Goydos,309.829,5267.089
45,0,20157,Retief Goosen,307.357,3688.285
46,0,06595,Kevin Sutherland,294.388,5887.750
47,0,24138,Ian Poulter,288.957,4334.358
48,0,25190,Jeff Quinney,288.236,6052.964
49,0,24361,Pat Perez,282.346,6211.612
50,0,20104,Ken Duke,279.806,6435.534
51,0,22348,Nick O'Hern,276.689,4980.410
52,0,29718,Anthony Kim,273.334,6013.342
53,0,28475,Jeff Overton,270.681,2977.494
54,0,12716,Charley Hoffman,270.052,5941.154
55,0,20628,Arron Oberholser,266.918,4537.608
56,0,27770,Camilo Villegas,266.461,5329.225
57,0,06004,Stephen Ames,265.919,4786.535
58,0,01766,Billy Mayfair,265.623,6109.331
59,0,25345,Carl Pettersson,261.377,6011.680
60,0,20645,John Senden,260.428,5729.421
61,0,26596,Ryan Moore,256.324,5382.811
62,0,20572,Rod Pampling,252.683,5559.025
63,0,01381,Fred Funk,250.028,4500.502
64,0,25900,Lucas Glover,248.071,5953.705
65,0,23322,Brett Wetterich,246.810,5429.817
66,0,21731,Freddie Jacobson,244.340,3176.417
67,0,01142,Bart Bryant,237.288,4271.188
68,0,01945,Kenny Perry,234.588,4926.354
69,0,23325,Vaughn Taylor,231.816,4868.134
70,0,01677,Tom Lehman,231.345,3701.522
71,0,27120,Troy Matteson,226.622,4985.685
72,0,21753,Brian Davis,222.117,4442.330
73,0,27060,John Mallinger,219.042,4599.886
74,0,20382,Stephen Leaney,218.867,4596.214
75,0,24140,Sean O'Hair,218.079,4579.669
76,0,01706,Davis Love III,218.015,4142.283
77,0,23718,Nathan Green,213.124,5114.986
78,0,21350,Ryuji Imada,208.531,5004.744
79,0,28158,Steve Marino,208.253,4789.813
80,0,23623,Bo Van Pelt,205.338,4722.771
81,0,06373,José María Olazábal,200.139,3202.222
82,0,20634,Peter Lonard,198.518,4764.433
83,0,12602,Dean Wilson,191.665,4408.291
84,0,19846,Brian Gay,188.893,4344.538
85,0,10423,Mike Weir,187.139,3555.643
86,0,23108,Matt Kuchar,183.855,3493.250
87,0,24912,Will MacKenzie,182.336,4558.399
88,0,25396,Kevin Na,181.167,3261.013
89,0,22892,Jason Gore,180.127,3962.786
90,0,10860,Justin Leonard,176.580,3884.750
91,0,21949,Joe Ogilvie,174.690,4192.561
92,0,23349,Charles Warren,170.229,3915.261
93,0,07457,Steve Flesch,164.751,4118.764
94,0,23353,J.J. Henry,164.732,3624.111
95,0,01948,Tim Petrovic,164.068,4101.697
96,0,01724,Jeff Maggert,163.368,3103.995
97,0,01313,Steve Elkington,161.056,3543.238
98,0,01035,Tommy Armour III,159.193,2865.479
99,0,27141,J.B. Holmes,158.874,2859.733
100,0,20160,Charlie Wi,156.898,3137.969
101,0,06515,Shaun Micheel,155.374,3262.846
102,0,21633,Steve Allan,154.964,2479.431
103,0,06332,Neal Lancaster,154.214,1079.500
104,0,06251,Chris DiMarco,153.879,3385.346
105,0,01320,Bob Estes,150.792,3015.842
106,0,01941,Tom Pernice Jr.,148.360,3560.642
107,0,22621,Ben Curtis,147.752,2955.032
108,0,02256,Tom Watson,146.250,292.500
109,0,24358,Robert Garrigus,142.242,2987.083
110,0,20859,Anders Hansen,142.059,1988.819
111,0,12782,Tim Herron,138.873,3055.202
112,0,12510,Chad Campbell,137.980,3035.569
113,0,24507,Jason Bohn,137.272,2333.619
114,0,12705,Cliff Kresge,135.865,3124.885
115,0,20498,Briny Baird,133.426,3068.789
116,0,26679,Kevin Stadler,132.823,3054.934
117,0,08537,J.P. Hayes,132.671,2653.425
118,0,21959,Ted Purdy,127.345,3056.289
119,0,20472,Alex Cejka,126.316,2399.998
120,0,20396,Lee Westwood,123.852,990.814
121,0,24490,George McNeill,123.813,2847.704
122,0,07547,Craig Kanada,123.030,3075.756
123,0,21805,Harrison Frazar,117.836,2710.235
124,0,01139,Olin Browne,116.732,1284.049
125,0,06575,Dudley Hart,115.658,1387.899
126,0,23788,D.J. Trahan,115.244,2765.855
127,0,23541,Ben Crane,115.231,691.383
128,0,10117,Bob Heintz,113.864,2163.424
129,0,07749,Brett Quigley,113.609,2613.013
130,0,27933,John Merrick,112.290,2358.098
131,0,06621,Joe Durant,108.741,2392.298
132,0,20623,Gavin Coles,108.707,2174.143
133,0,20850,Daniel Chopra,108.440,2819.428
134,0,20574,Mathew Goggin,107.321,2468.383
135,0,06034,Marco Dawson,104.285,1668.555
136,0,26882,Michael Sim,104.001,1144.012
137,0,25679,B.J. Staten,103.804,726.625
138,0,01707,Steve Lowery,102.394,1535.917
139,0,22806,Doug LaBelle II,101.125,2427.009
140,0,23614,Rich Beem,100.068,2101.427
141,0,11032,Frank Lickliter II,98.861,2174.943
142,0,12660,Jesper Parnevik,98.820,1976.400
143,0,25273,Andrew Buckle,98.391,1771.041
144,0,12755,Vance Veazey,97.891,783.125
145,0,08385,Omar Uresti,97.500,292.500
146,0,24924,Bill Haas,97.319,2335.667
147,0,01024,Billy Andrade,96.143,2018.996
148,0,23320,Ryan Palmer,93.109,2141.510
149,0,19803,Ryan Armour,90.197,2164.728
