RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,08793,Tiger Woods,68.00,680,10
2,0,23135,Tim Clark,68.22,614,9
3,0,10809,Jim Furyk,69.13,1037,15
4,0,21731,Freddie Jacobson,69.36,971,14
5,0,12705,Cliff Kresge,69.45,1389,20
6,0,06004,Stephen Ames,69.46,903,13
7,0,01707,Steve Lowery,69.50,695,10
8,0,06527,Steve Stricker,69.60,696,10
9,0,27649,Brandt Snedeker,69.65,1184,17
10,0,01810,Phil Mickelson,69.67,1254,18
11,0,22371,Aaron Baddeley,69.75,558,8
12,0,24357,K.J. Choi,69.80,698,10
13,0,27963,Chris Stroud,69.83,838,12
14,0,12782,Tim Herron,69.86,978,14
15,0,20574,Mathew Goggin,69.95,1399,20
16,0,19972,José Coceres,70.00,700,10
16,0,20628,Arron Oberholser,70.00,420,6
16,0,22293,Heath Slocum,70.00,910,13
19,0,06567,Vijay Singh,70.05,1331,19
20,0,25345,Carl Pettersson,70.06,1261,18
21,0,06034,Marco Dawson,70.07,981,14
21,0,20634,Peter Lonard,70.07,981,14
23,0,24502,Adam Scott,70.08,911,13
24,0,20378,Mathias Grönberg,70.11,1262,18
24,0,26596,Ryan Moore,70.11,1262,18
24,0,23623,Bo Van Pelt,70.11,1332,19
27,0,02223,Bob Tway,70.12,1823,26
28,0,23983,Luke Donald,70.13,561,8
29,0,21753,Brian Davis,70.17,1263,18
30,0,23349,Charles Warren,70.18,1544,22
31,0,26882,Michael Sim,70.22,632,9
32,0,24925,Jonathan Byrd,70.23,913,13
33,0,20850,Daniel Chopra,70.25,1405,20
34,0,20766,Padraig Harrington,70.29,984,14
35,0,22212,Craig Lile,70.30,1406,20
36,0,28486,Michael Putnam,70.31,1125,16
37,0,20498,Briny Baird,70.36,1548,22
38,0,19803,Ryan Armour,70.38,1478,21
39,0,21209,Sergio Garcia,70.40,704,10
40,0,06595,Kevin Sutherland,70.41,1549,22
40,0,12602,Dean Wilson,70.41,1549,22
42,0,24490,George McNeill,70.43,1479,21
42,0,28475,Jeff Overton,70.43,493,7
44,0,24358,Robert Garrigus,70.44,1127,16
45,0,10885,Robert Allenby,70.46,916,13
45,0,24290,D.J. Brigman,70.46,916,13
47,0,21949,Joe Ogilvie,70.48,1480,21
48,0,07547,Craig Kanada,70.50,1269,18
49,0,21470,Daisuke Maruyama,70.53,1199,17
50,0,01766,Billy Mayfair,70.57,988,14
51,0,20160,Charlie Wi,70.58,1341,19
52,0,23718,Nathan Green,70.59,1200,17
53,0,20645,John Senden,70.60,1412,20
54,0,20105,Jeff Gove,70.61,1271,18
54,0,24924,Bill Haas,70.61,1271,18
56,0,27933,John Merrick,70.62,1483,21
57,0,23108,Matt Kuchar,70.63,1130,16
58,0,02101,Joey Sindelar,70.64,989,14
59,0,19846,Brian Gay,70.65,1625,23
60,0,23320,Ryan Palmer,70.66,2049,29
61,0,01388,Robert Gamez,70.67,1272,18
61,0,06373,José María Olazábal,70.67,636,9
63,0,12652,Cameron Beckman,70.68,1343,19
64,0,20127,Chris Riley,70.71,990,14
64,0,25804,Bubba Watson,70.71,990,14
66,0,01320,Bob Estes,70.73,1061,15
66,0,10425,Jay Williamson,70.73,778,11
68,0,20572,Rod Pampling,70.77,920,13
68,0,23621,Rory Sabbatini,70.77,920,13
70,0,01142,Bart Bryant,70.79,991,14
71,0,29718,Anthony Kim,70.80,1416,20
71,0,02246,Duffy Waldorf,70.80,1062,15
73,0,08075,Jerry Kelly,70.81,1133,16
74,0,23638,Brendon de Jonge,70.82,1204,17
74,0,25190,Jeff Quinney,70.82,1204,17
76,0,08375,Paul Stankowski,70.83,850,12
77,0,01941,Tom Pernice Jr.,70.84,1346,19
78,0,24507,Jason Bohn,70.85,921,13
79,0,23325,Vaughn Taylor,70.86,992,14
79,0,12714,Chris Tidland,70.86,496,7
81,0,01313,Steve Elkington,70.87,1063,15
82,0,07223,Brian Bateman,70.88,567,8
82,0,07457,Steve Flesch,70.88,1205,17
84,0,20472,Alex Cejka,70.93,1064,15
85,0,21805,Harrison Frazar,70.94,1206,17
85,0,01948,Tim Petrovic,70.94,1277,18
87,0,25686,Jason Dufner,71.00,1420,20
87,0,06522,Ernie Els,71.00,639,9
87,0,27770,Camilo Villegas,71.00,1207,17
87,0,10423,Mike Weir,71.00,994,14
91,0,21806,Paul Gow,71.05,1421,20
91,0,11032,Frank Lickliter II,71.05,1350,19
93,0,11123,Chris Couch,71.10,711,10
93,0,02239,Scott Verplank,71.10,711,10
95,0,25273,Andrew Buckle,71.11,1280,18
96,0,23614,Rich Beem,71.13,1067,15
96,0,10733,Kent Jones,71.13,1138,16
96,0,24781,Hunter Mahan,71.13,1138,16
99,0,26679,Kevin Stadler,71.14,1565,22
100,0,21350,Ryuji Imada,71.15,1423,20
101,0,10117,Bob Heintz,71.17,1281,18
102,0,20104,Ken Duke,71.20,1068,15
102,0,24138,Ian Poulter,71.20,356,5
104,0,22806,Doug LaBelle II,71.23,1852,26
104,0,26881,Jarrod Lyle,71.23,1567,22
104,0,23322,Brett Wetterich,71.23,926,13
107,0,23933,Michael Boyd,71.24,1211,17
107,0,21959,Ted Purdy,71.24,1781,25
109,0,20859,Anders Hansen,71.25,855,12
109,0,22405,Justin Rose,71.25,570,8
111,0,22913,John Rollins,71.28,1283,18
112,0,06643,Paul Goydos,71.30,713,10
113,0,20433,Mark Hensby,71.31,927,13
113,0,24140,Sean O'Hair,71.31,927,13
115,0,23613,Rich Barcelo,71.33,1284,18
115,0,01161,Mark Calcavecchia,71.33,856,12
115,0,20229,Stewart Cink,71.33,856,12
115,0,25900,Lucas Glover,71.33,1284,18
119,0,19824,Craig Barlow,71.36,785,11
120,0,26420,Richard Johnson,71.37,1356,19
121,0,25892,Steve Wheatcroft,71.38,1713,24
122,0,07363,Craig Bowden,71.39,1285,18
123,0,22892,Jason Gore,71.40,1071,15
123,0,26951,Johnson Wagner,71.40,1071,15
125,0,24024,Zach Johnson,71.44,1286,18
126,0,01024,Billy Andrade,71.45,1572,22
126,0,06621,Joe Durant,71.45,1429,20
128,0,10860,Justin Leonard,71.46,929,13
129,0,12510,Chad Campbell,71.50,1001,14
129,0,01677,Tom Lehman,71.50,858,12
129,0,01706,Davis Love III,71.50,858,12
129,0,21528,Henrik Stenson,71.50,572,8
129,0,21878,Mark Wilson,71.50,858,12
134,0,24980,Scott Gutschewski,71.53,1073,15
135,0,08931,Glen Day,71.54,930,13
136,0,23788,D.J. Trahan,71.55,1574,22
137,0,01797,Rocco Mediate,71.56,1145,16
137,0,25396,Kevin Na,71.56,1145,16
139,0,23497,Tag Ridings,71.60,716,10
140,0,22621,Ben Curtis,71.62,931,13
141,0,20623,Gavin Coles,71.63,1146,16
142,0,06515,Shaun Micheel,71.64,1003,14
143,0,27060,John Mallinger,71.65,1218,17
144,0,01724,Jeff Maggert,71.67,1290,18
145,0,07867,Woody Austin,71.68,1362,19
146,0,06251,Chris DiMarco,71.69,932,13
146,0,12660,Jesper Parnevik,71.69,1147,16
148,0,22378,Trevor Immelman,71.70,717,10
149,0,23048,Eric Axley,71.74,1363,19
150,0,12195,Tom Johnson,71.75,1148,16
150,0,27120,Troy Matteson,71.75,861,12
152,0,24912,Will MacKenzie,71.78,1292,18
153,0,26289,Boo Weekley,71.79,1005,14
154,0,02214,Kirk Triplett,71.80,1077,15
155,0,01157,Tom Byrum,71.83,862,12
156,0,12716,Charley Hoffman,71.86,1006,14
156,0,02206,David Toms,71.86,1006,14
158,0,24361,Pat Perez,71.88,575,8
158,0,21660,Jason Schultz,71.88,1222,17
160,0,27702,Matt Hendrix,71.90,1510,21
161,0,01035,Tommy Armour III,71.92,863,12
161,0,01945,Kenny Perry,71.92,935,13
163,0,21961,Charles Howell III,71.93,1079,15
164,0,21633,Steve Allan,71.94,1223,17
164,0,08537,J.P. Hayes,71.94,1223,17
166,0,01381,Fred Funk,72.00,792,11
166,0,12680,Shigeki Maruyama,72.00,792,11
166,0,07749,Brett Quigley,72.00,720,10
169,0,20382,Stephen Leaney,72.05,1585,22
170,0,28158,Steve Marino,72.06,1297,18
170,0,23800,Bryce Molder,72.06,1225,17
172,0,27141,J.B. Holmes,72.13,577,8
173,0,01928,Corey Pavin,72.14,1010,14
174,0,26360,Bubba Dickerson,72.15,938,13
174,0,23353,J.J. Henry,72.15,938,13
176,0,29476,Kyle Reifers,72.17,866,12
177,0,08881,Tripp Isenhour,72.23,1589,22
178,0,22046,Geoff Ogilvy,72.25,867,12
179,0,22348,Nick O'Hern,72.27,1084,15
179,0,02104,Jeff Sluman,72.27,795,11
181,0,24457,Jaco Van Zyl,72.29,1229,17
182,0,21646,David Branshaw,72.33,1085,15
182,0,27095,Nick Watney,72.33,1085,15
184,0,01577,Lee Janzen,72.35,1230,17
185,0,06197,Michael Allen,72.47,1232,17
185,0,01132,Mark Brooks,72.47,1087,15
187,0,20691,Greg Owen,72.48,1522,21
188,0,10213,Dicky Pride,72.52,1668,23
189,0,24449,Parker McLachlin,72.73,1091,15
190,0,20157,Retief Goosen,72.80,364,5
191,0,20098,Stuart Appleby,72.91,802,11
192,0,08123,Jeff Brehaut,72.92,948,13
193,0,22295,Darron Stiles,73.13,1170,16
194,0,02036,Jim Rutledge,73.17,878,12
195,0,01473,Todd Hamilton,73.43,1028,14
196,0,01249,John Daly,74.22,668,9
