RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,34265,Will Wilcox,61.64,143,232
2,0,28089,Jason Day,60.58,272,449
3,0,20229,Stewart Cink,60.30,278,461
4,0,28500,Martin Flores,59.23,324,547
5,0,35541,John Peterson,59.21,225,380
6,0,28780,Nicholas Thompson,58.56,219,374
7,0,37273,Derek Ernst,58.24,205,352
8,0,29725,Tony Finau,57.93,391,675
9,0,30944,Jason Kokrak,57.87,309,534
10,0,21528,Henrik Stenson,57.48,146,254
11,0,31557,Jim Herman,56.44,228,404
11,0,30925,Dustin Johnson,56.44,254,450
13,0,29518,Brendan Steele,56.36,257,456
14,0,21961,Charles Howell III,56.32,392,696
15,0,20691,Greg Owen,56.23,185,329
16,0,34264,Hudson Swafford,56.08,272,485
17,0,36689,Brooks Koepka,55.97,272,486
18,0,26951,Johnson Wagner,55.56,200,360
19,0,25804,Bubba Watson,55.53,236,425
20,0,26289,Boo Weekley,54.95,222,404
21,0,33418,Shawn Stefani,54.93,273,497
22,0,25364,Paul Casey,54.83,227,414
23,0,23638,Brendon de Jonge,54.74,277,506
24,0,33448,Justin Thomas,54.71,337,616
25,0,24924,Bill Haas,54.52,241,442
26,0,30852,Ryo Ishikawa,54.48,292,536
27,0,20848,Ángel Cabrera,54.41,179,329
28,0,31202,William McGirt,54.33,251,462
29,0,28486,Michael Putnam,54.29,247,455
30,0,35545,Blayne Barber,54.28,203,374
31,0,28023,Byron Smith,54.21,174,321
32,0,22405,Justin Rose,54.17,182,336
33,0,20645,John Senden,54.11,191,353
34,0,32448,James Hahn,54.08,285,527
35,0,24925,Jonathan Byrd,54.02,168,311
35,0,26331,Charl Schwartzel,54.02,188,348
37,0,23621,Rory Sabbatini,53.91,241,447
38,0,12716,Charley Hoffman,53.89,298,553
39,0,26329,Louis Oosthuizen,53.70,196,365
40,0,27095,Nick Watney,53.66,264,492
41,0,22892,Jason Gore,53.43,179,335
42,0,30736,Oscar Fraustro,53.31,153,287
43,0,25900,Lucas Glover,53.27,212,398
44,0,06567,Vijay Singh,53.12,230,433
45,0,33667,Carlos Ortiz,52.89,284,537
46,0,23353,J.J. Henry,52.81,263,498
47,0,32334,Charlie Beljan,52.80,198,375
48,0,32366,Kevin Chappell,52.76,229,434
49,0,31323,Gary Woodland,52.75,240,455
50,0,23800,Bryce Molder,52.49,211,402
51,0,30946,Alex Prugh,52.48,222,423
52,0,25834,Daniel Summerhays,52.42,282,538
53,0,24361,Pat Perez,52.39,241,460
54,0,23548,Bill Lunde,52.36,122,233
55,0,39977,Max Homa,52.34,235,449
56,0,34431,Robert Streb,52.31,329,629
57,0,27214,Kevin Streelman,52.25,209,400
58,0,22056,Cameron Percy,52.20,202,387
58,0,36699,Patrick Rodgers,52.20,166,318
60,0,21209,Sergio Garcia,52.02,167,321
61,0,25632,Jimmy Walker,51.99,301,579
62,0,37454,Whee Kim,51.97,198,381
63,0,24490,George McNeill,51.93,242,466
64,0,25191,Gonzalo Fernandez-Castaño,51.91,217,418
65,0,06522,Ernie Els,51.87,180,347
66,0,40058,Zac Blair,51.83,241,465
67,0,22046,Geoff Ogilvy,51.81,143,276
68,0,25240,D.A. Points,51.76,220,425
69,0,25198,Francesco Molinari,51.74,89,172
70,0,23320,Ryan Palmer,51.57,246,477
71,0,23108,Matt Kuchar,51.55,250,485
72,0,35532,Tom Hoge,51.54,234,454
72,0,32839,Hideki Matsuyama,51.54,235,456
74,0,29479,Scott Brown,51.49,259,503
75,0,35451,Scott Pinckney,51.46,246,478
76,0,26851,Marc Leishman,51.44,232,451
77,0,29720,Andres Gonzales,51.39,258,502
78,0,33413,Ben Martin,51.35,228,444
79,0,24140,Sean O'Hair,51.28,241,470
80,0,24358,Robert Garrigus,51.26,203,396
81,0,01706,Davis Love III,51.20,128,250
82,0,20396,Lee Westwood,51.19,151,295
83,0,25345,Carl Pettersson,50.99,309,606
84,0,32150,Michael Thompson,50.96,240,471
85,0,34358,Jonathan Randolph,50.92,222,436
86,0,27064,Jhonattan Vegas,50.85,268,527
87,0,29478,Kevin Kisner,50.83,245,482
88,0,26758,David Hearn,50.82,247,486
89,0,24507,Jason Bohn,50.80,191,376
90,0,31193,Jim Renner,50.77,199,392
91,0,28132,Tyrone Van Aswegen,50.71,178,351
92,0,26476,Chez Reavie,50.68,111,219
93,0,27644,Brian Harman,50.67,228,450
94,0,29420,Billy Horschel,50.59,257,508
95,0,25562,Andres Romero,50.57,220,435
96,0,23048,Eric Axley,50.44,172,341
97,0,34261,Scott Langley,50.41,246,488
98,0,29223,Sam Saunders,50.37,204,405
99,0,29535,Brice Garnett,50.35,215,427
100,0,29222,Billy Hurley III,50.27,188,374
101,0,29289,S.Y. Noh,50.24,207,412
102,0,29476,Kyle Reifers,50.20,247,492
