RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,08793,Tiger Woods,-.089,45,-4.00
2,0,27060,John Mallinger,-.083,72,-6.00
3,0,20850,Daniel Chopra,-.065,77,-5.00
3,0,06527,Steve Stricker,-.065,62,-4.00
5,0,08845,Scott Sterling,-.059,34,-2.00
6,0,24663,Y.E. Yang,-.054,56,-3.00
7,0,10733,Kent Jones,-.053,57,-3.00
8,0,12602,Dean Wilson,-.046,65,-3.00
9,0,27770,Camilo Villegas,-.045,44,-2.00
10,0,23108,Matt Kuchar,-.044,68,-3.00
11,0,26498,Matt Weibring,-.036,56,-2.00
12,0,06522,Ernie Els,-.034,58,-2.00
13,0,26596,Ryan Moore,-.031,65,-2.00
14,0,20848,Ángel Cabrera,-.024,41,-1.00
15,0,01810,Phil Mickelson,-.023,44,-1.00
15,0,22548,Patrick Sheehan,-.023,43,-1.00
17,0,10425,Jay Williamson,-.019,52,-1.00
18,0,10885,Robert Allenby,-.018,57,-1.00
18,0,30711,Colt Knost,-.018,57,-1.00
18,0,23800,Bryce Molder,-.018,55,-1.00
21,0,01473,Todd Hamilton,-.017,58,-1.00
22,0,10809,Jim Furyk,-.016,62,-1.00
23,0,24024,Zach Johnson,-.014,70,-1.00
23,0,21878,Mark Wilson,-.014,70,-1.00
25,0,25900,Lucas Glover,-.013,79,-1.00
25,0,01706,Davis Love III,-.013,77,-1.00
27,0,12652,Cameron Beckman,E,85,E
27,0,01142,Bart Bryant,E,36,E
27,0,24358,Robert Garrigus,E,52,E
27,0,20574,Mathew Goggin,E,59,E
27,0,20157,Retief Goosen,E,57,E
27,0,24924,Bill Haas,E,66,E
27,0,23353,J.J. Henry,E,68,E
27,0,12782,Tim Herron,E,69,E
27,0,21961,Charles Howell III,E,58,E
27,0,26300,Matt Jones,E,49,E
27,0,01677,Tom Lehman,E,35,E
27,0,10860,Justin Leonard,E,79,E
27,0,26695,Michael Letzig,E,87,E
27,0,23548,Bill Lunde,E,71,E
27,0,01724,Jeff Maggert,E,79,E
27,0,28158,Steve Marino,E,61,E
27,0,24490,George McNeill,E,73,E
27,0,20572,Rod Pampling,E,58,E
27,0,25345,Carl Pettersson,E,62,E
27,0,24138,Ian Poulter,E,41,E
27,0,27649,Brandt Snedeker,E,71,E
27,0,26679,Kevin Stadler,E,59,E
27,0,23349,Charles Warren,E,46,E
27,0,25804,Bubba Watson,E,51,E
51,0,01948,Tim Petrovic,+.010,97,+1.00
52,0,28475,Jeff Overton,+.011,87,+1.00
53,0,27120,Troy Matteson,+.013,77,+1.00
53,0,25396,Kevin Na,+.013,75,+1.00
53,0,28780,Nicholas Thompson,+.013,75,+1.00
53,0,23788,D.J. Trahan,+.013,78,+1.00
57,0,08075,Jerry Kelly,+.014,69,+1.00
57,0,01941,Tom Pernice Jr.,+.014,71,+1.00
59,0,25686,Jason Dufner,+.015,67,+1.00
59,0,27214,Kevin Streelman,+.015,66,+1.00
59,0,26951,Johnson Wagner,+.015,66,+1.00
62,0,22961,David Mathis,+.016,64,+1.00
63,0,28087,Kris Blanks,+.019,54,+1.00
63,0,20593,Greg Chalmers,+.019,54,+1.00
65,0,22046,Geoff Ogilvy,+.020,50,+1.00
66,0,26881,Jarrod Lyle,+.021,48,+1.00
67,0,22371,Aaron Baddeley,+.023,43,+1.00
67,0,23541,Ben Crane,+.023,86,+2.00
69,0,10117,Bob Heintz,+.024,41,+1.00
70,0,24781,Hunter Mahan,+.026,76,+2.00
70,0,21949,Joe Ogilvie,+.026,76,+2.00
70,0,20127,Chris Riley,+.026,76,+2.00
73,0,26851,Marc Leishman,+.027,74,+2.00
74,0,22295,Darron Stiles,+.028,36,+1.00
75,0,23778,Brad Adamonis,+.029,70,+2.00
76,0,21350,Ryuji Imada,+.030,66,+2.00
77,0,07867,Woody Austin,+.031,65,+2.00
77,0,23320,Ryan Palmer,+.031,65,+2.00
79,0,30925,Dustin Johnson,+.035,57,+2.00
79,0,01797,Rocco Mediate,+.035,57,+2.00
81,0,23623,Bo Van Pelt,+.036,83,+3.00
82,0,20645,John Senden,+.037,81,+3.00
83,0,24925,Jonathan Byrd,+.038,78,+3.00
83,0,01577,Lee Janzen,+.038,52,+2.00
85,0,01035,Tommy Armour III,+.039,51,+2.00
85,0,10585,Scott McCarron,+.039,77,+3.00
87,0,20498,Briny Baird,+.041,73,+3.00
87,0,23983,Luke Donald,+.041,49,+2.00
89,0,01928,Corey Pavin,+.042,72,+3.00
90,0,01132,Mark Brooks,+.043,47,+2.00
91,0,21731,Freddie Jacobson,+.044,68,+3.00
92,0,01945,Kenny Perry,+.045,67,+3.00
92,0,06539,Rick Price,+.045,44,+2.00
92,0,02239,Scott Verplank,+.045,67,+3.00
92,0,10423,Mike Weir,+.045,66,+3.00
96,0,23135,Tim Clark,+.047,64,+3.00
97,0,20229,Stewart Cink,+.048,62,+3.00
97,0,21753,Brian Davis,+.048,84,+4.00
97,0,23497,Tag Ridings,+.048,42,+2.00
97,0,22293,Heath Slocum,+.048,83,+4.00
101,0,24140,Sean O'Hair,+.049,61,+3.00
101,0,27963,Chris Stroud,+.049,61,+3.00
101,0,26497,Casey Wittenberg,+.049,61,+3.00
104,0,23621,Rory Sabbatini,+.051,59,+3.00
105,0,24503,Jeff Klauk,+.052,77,+4.00
106,0,21805,Harrison Frazar,+.053,57,+3.00
106,0,21209,Sergio Garcia,+.053,38,+2.00
106,0,23325,Vaughn Taylor,+.053,75,+4.00
109,0,06251,Chris DiMarco,+.054,92,+5.00
110,0,06012,Greg Kraft,+.055,55,+3.00
110,0,25818,Scott Piercy,+.055,73,+4.00
110,0,20160,Charlie Wi,+.055,73,+4.00
113,0,22621,Ben Curtis,+.056,36,+2.00
113,0,01320,Bob Estes,+.056,71,+4.00
115,0,20104,Ken Duke,+.057,70,+4.00
115,0,27936,Martin Laird,+.057,53,+3.00
117,0,26301,James Nitties,+.059,68,+4.00
118,0,29718,Anthony Kim,+.060,50,+3.00
118,0,01766,Billy Mayfair,+.060,67,+4.00
118,0,27933,John Merrick,+.060,67,+4.00
118,0,29221,Webb Simpson,+.060,83,+5.00
122,0,06595,Kevin Sutherland,+.062,65,+4.00
123,0,20766,Padraig Harrington,+.064,47,+3.00
124,0,24846,Ricky Barnes,+.067,45,+3.00
125,0,20098,Stuart Appleby,+.068,59,+4.00
125,0,12510,Chad Campbell,+.068,74,+5.00
125,0,01313,Steve Elkington,+.068,59,+4.00
125,0,01707,Steve Lowery,+.068,74,+5.00
125,0,22348,Nick O'Hern,+.068,74,+5.00
130,0,23048,Eric Axley,+.070,43,+3.00
130,0,25632,Jimmy Walker,+.070,57,+4.00
132,0,06197,Michael Allen,+.071,70,+5.00
132,0,23614,Rich Beem,+.071,56,+4.00
134,0,07457,Steve Flesch,+.074,68,+5.00
134,0,27466,Spencer Levin,+.074,54,+4.00
136,0,24361,Pat Perez,+.076,66,+5.00
137,0,26476,Chez Reavie,+.078,64,+5.00
138,0,26420,Richard Johnson,+.082,61,+5.00
139,0,24507,Jason Bohn,+.083,84,+7.00
139,0,25190,Jeff Quinney,+.083,84,+7.00
141,0,01161,Mark Calcavecchia,+.085,59,+5.00
141,0,31416,Derek Fathauer,+.085,47,+4.00
141,0,19846,Brian Gay,+.085,82,+7.00
141,0,23718,Nathan Green,+.085,82,+7.00
141,0,06567,Vijay Singh,+.085,47,+4.00
146,0,25240,D.A. Points,+.086,93,+8.00
147,0,07749,Brett Quigley,+.090,78,+7.00
148,0,01226,Fred Couples,+.091,33,+3.00
149,0,28089,Jason Day,+.093,43,+4.00
