RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,10944,Thomas Bjørn,$814148,1049648
2,0,19958,Miguel Angel Jiménez,$488848,716348
3,0,08635,Colin Montgomerie,$409044,653044
4,0,06373,José María Olazábal,$320971,552221
5,0,20396,Lee Westwood,$293303,911636
6,0,20766,Padraig Harrington,$265313,491813
7,0,21961,Charles Howell III,$263533,263533
8,0,19825,Darren Clarke,$254114,1393364
9,0,20992,Kazuhiko Hosokawa,$227588,227588
10,0,20157,Retief Goosen,$196093,337926
11,0,01666,Bernhard Langer,$189955,254455
12,0,20763,Pierre Fulke,$100587,133587
13,0,07007,Stephen Sear,$90000,90000
14,0,20400,Michael Campbell,$86223,321723
15,0,23552,Hank Kuehne,$85656,85656
16,0,12626,Joey Gullion,$84651,84651
17,0,20848,Ángel Cabrera,$78256,159506
18,0,21959,Ted Purdy,$72000,72000
19,0,20387,Jarmo Sandelin,$66432,66432
20,0,20939,Keiichiro Fukabori,$64350,64350
21,0,01796,Mark McNulty,$56346,56346
22,0,12661,Todd Barranger,$43767,43767
23,0,20566,Kaname Yokoo,$41286,41286
24,0,02300,Ian Woosnam,$40342,75092
25,0,12461,Paul McGinley,$38717,138217
26,0,10881,Brian Kontak,$37950,37950
27,0,20548,Hidemichi Tanaka,$37750,124916
28,0,01906,Masashi Jumbo Ozaki,$37673,37673
29,0,07003,David Berganio Jr.,$34625,34625
30,0,20385,Dean Robertson,$30366,30366
31,0,08553,Lee Porter,$28247,28247
32,0,02020,Eduardo Romero,$23534,70034
33,0,19905,Andrew Coltart,$22807,162057
34,0,24940,Edward Loar,$22667,22667
35,0,23349,Charles Warren,$22056,22056
36,0,19972,José Coceres,$21256,89756
37,0,10821,Toshi Izawa,$20500,20500
38,0,06795,Jeff Freeman,$20090,20090
39,0,01824,Yoshinori Mizumaki,$19328,19328
40,0,01224,Jeff Coston,$17967,17967
41,0,01491,Rick Hartmann,$15891,15891
42,0,20650,Jarrod Moseley,$15707,15707
42,0,22348,Nick O'Hern,$15707,15707
42,0,20601,Gary Orr,$15707,106207
42,0,20505,Lucas Parsons,$15707,45873
42,0,20944,Tsuyoshi Yoneyama,$15707,15707
47,0,25115,Michael Kirk,$14894,14894
48,0,12714,Chris Tidland,$14438,14438
49,0,24925,Jonathan Byrd,$14130,14130
50,0,21806,Paul Gow,$13627,13627
51,0,10217,Warren Schutte,$13578,13578
52,0,21185,Takao Nogami,$12856,12856
52,0,06731,Jeff Roth,$12856,12856
54,0,19957,Ian Garbutt,$12754,12754
55,0,20691,Greg Owen,$11843,11843
56,0,01883,Christy O'Connor,$11273,11273
57,0,25052,Derek Gillespie,$11220,11220
58,0,20764,Desvonde Botes,$10970,10970
58,0,08633,Per-Ulrik Johansson,$10970,10970
58,0,24138,Ian Poulter,$10970,10970
61,0,01118,Gordon Brand Jr.,$10742,10742
62,0,24734,Lionel Alexandre,$10628,10628
62,0,02076,Peter Senior,$10628,43628
64,0,01001,Tommy Aaron,$10488,10488
65,0,24502,Adam Scott,$10200,10200
66,0,06659,Frank Dobbs,$8900,8900
67,0,21878,Mark Wilson,$8500,8500
68,0,02196,Robert Thompson,$8320,8320
69,0,20771,Steven Alker,$8160,8160
70,0,19823,David Howser,$8127,8127
71,0,24742,Bruce Smith,$7240,7240
72,0,24604,Hunter Haas,$6685,6685
73,0,22746,Steven Young,$6480,6480
74,0,20035,Rob McMillan,$6270,6270
75,0,06270,Bobby Gage,$6210,6210
76,0,23620,Pat Nanney Jr.,$6090,6090
77,0,19968,Jeff Williams,$5880,5880
78,0,23590,Joey Maxon,$5852,5852
79,0,24565,Jorge Benedetti,$5771,5771
80,0,23689,Korky Kemp,$5760,5760
81,0,02191,Tim Thelen,$5656,5656
82,0,25031,Andy Miller,$5640,5640
83,0,22652,Brent Winston,$5580,5580
84,0,01560,David Ishii,$5568,5568
85,0,23903,Stephen Gangluff,$5460,5460
86,0,06197,Michael Allen,$4936,4936
87,0,23776,Garrett Morrison,$4896,4896
88,0,21129,Chris Wollmann,$4540,4540
89,0,01302,R.W. Eaks,$4180,4180
